uniqueid,fullname,gender,dob,party,stateabr,district,statedistid,congress109,congress110,congress111,congress112,congress113,congress114,congress115,congress116,congress117,congress118,twitterhandle,joinedon,yearjoined
ChJ-UT03,"Chaffetz, Jason",M,2067-03-26,Republican,UT,3,4903,0,0,111,112,113,114,0,0,0,0,jasoninthehouse,2008-12-01,2008
ObJ-CA23,"Obernolte, Jay",M,1970-08-18,Republican,CA,23,0623,0,0,0,0,0,0,0,0,117,118,JayObernolte,2011-01-01,2011
DeJ-CA10,"Denham, Jeff",M,2067-07-29,Republican,CA,10,0610,0,0,0,112,113,114,115,0,0,0,JeffDenham,2009-02-01,2009
FlJ-AZ06,"Flake, Jeff",M,2062-12-31,Republican,AZ,6,0406,109,110,111,112,0,0,0,0,0,0,JeffFlake,2008-08-01,2008
FoJ-NE01,"Fortenberry, Jeff",M,2060-12-27,Republican,NE,1,3101,109,110,111,112,113,114,115,116,117,0,JeffFortenberry,2009-01-01,2009
KiJ-VA02,"Kiggans, Jennifer A",F,1971-06-18,Republican,VA,2,5102,0,0,0,0,0,0,0,0,0,118,JenKiggans,2019-04-01,2019
MoJ-KS01,"Moran, Jerry",M,2054-05-29,Republican,KS,1,2001,109,110,111,0,0,0,0,0,0,0,JerryMoran,2009-01-01,2009
WeJ-IL11,"Weller, Jerry",M,2057-07-07,Republican,IL,11,1711,109,110,0,0,0,0,0,0,0,0,JerryWeller1,2013-12-01,2013
JoJ-OH04,"Jordan, Jim",M,2064-02-17,Republican,OH,4,3904,0,110,111,112,113,114,115,116,117,118,Jim_Jordan,2008-01-01,2008
MoJ-VA08,"Moran, James P.",M,2045-05-16,Democratic,VA,8,5108,109,110,111,112,113,0,0,0,0,0,Jim_Moran,2009-06-01,2009
LaJ-RI02,"Langevin, James R.",M,2064-04-22,Democratic,RI,2,4402,109,110,111,112,113,114,115,116,117,0,JimLangevin,2009-01-01,2009
NuJ-IA01,"Nussle, Jim",M,2060-06-27,Republican,IA,1,1901,109,0,0,0,0,0,0,0,0,0,JimNussle,2009-02-01,2009
ObJ-MN08,"Oberstar, James L.",M,2034-09-10,Democratic,MN,8,2708,109,110,111,0,0,0,0,0,0,0,JimOberstar,2009-02-09,2009
ReJ-OH16,"Renacci, James B.",M,2058-12-03,Republican,OH,16,3916,0,0,0,112,113,114,115,0,0,0,JimRenacci,2014-02-01,2014
RyJ-KS02,"Ryun, Jim",M,2047-04-29,Republican,KS,2,2002,109,0,0,0,0,0,0,0,0,0,jimryun,2009-12-01,2009
MoJ-GU00,"Moylan, James C.",M,2062-07-18,Republican,GU,0,0000,0,0,0,0,0,0,0,0,0,118,JMoylanforGuam,2022-12-01,2022
CaJ-TX20,"Castro, Joaquin",M,1974-09-16,Democratic,TX,20,4820,0,0,0,0,113,114,115,116,117,118,JoaquinCastrotx,2010-01-01,2010
CrJ-NY14,"Crowley, Joseph",M,2062-03-16,Democratic,NY,14,3614,109,110,111,112,113,114,115,0,0,0,JoeCrowleyNY,2010-02-01,2010
GaJ-FL26,"Garcia, Joe",M,2063-10-19,Democratic,FL,26,1226,0,0,0,0,113,0,0,0,0,0,JoeGarcia,2007-12-01,2007
KeJ-MA04,"Kennedy, Joseph P., III",M,1980-10-04,Democratic,MA,4,2504,0,0,0,0,113,114,115,116,0,0,joekennedy,2013-01-01,2013
PiJ-PA16,"Pitts, Joseph R.",M,2039-10-10,Republican,PA,16,4216,109,110,111,112,113,114,0,0,0,0,JoePitts4PA,2010-02-01,2010
SeJ-NY23,"Sempolinski, Joseph",M,1983-02-10,Republican,NY,23,3623,0,0,0,0,0,0,0,0,117,0,JoeSempo,2021-01-01,2021
SeJ-PA07,"Sestak, Joe",M,2051-12-12,Democratic,PA,7,4207,0,110,111,0,0,0,0,0,0,0,JoeSestak,2009-06-01,2009
BaJ-GA12,"Barrow, John",M,2055-10-31,Democratic,GA,12,1312,109,110,111,112,113,0,0,0,0,0,JohnBarrowMC,2020-04-01,2020
BoJ-AR03,"Boozman, John",M,2050-12-10,Republican,AR,3,0503,109,110,111,0,0,0,0,0,0,0,JohnBoozman,2007-04-01,2007
CaJ-DE00,"Carney, John C., Jr.",M,2056-05-20,Democratic,DE,0,1000,0,0,0,112,113,114,0,0,0,0,JohnCarneyDE,2011-01-01,2011
CuJ-TX07,"Culberson, John Abney",M,2056-08-24,Republican,TX,7,4807,109,110,111,112,113,114,115,0,0,0,johnculberson,2008-05-01,2008
DeJ-MD06,"Delaney, John K.",M,2063-04-16,Democratic,MD,6,2406,0,0,0,0,113,114,115,0,0,0,JohnDelaney,2011-12-01,2011
DiJ-MI12,"Dingell, John D.",M,2026-07-08,Democratic,MI,12,2612,109,110,111,112,113,0,0,0,0,0,JohnDingell,2010-01-01,2010
JaJ-MI10,"James, John",M,1981-06-08,Republican,MI,10,2610,0,0,0,0,0,0,0,0,0,118,JohnJamesMI,2017-05-01,2017
RaJ-TX04,"Ratcliffe, John",M,2065-10-20,Republican,TX,4,4804,0,0,0,0,0,114,115,116,0,0,JohnRatcliffe,2014-10-01,2014
YaJ-KY03,"Yarmuth, John A.",M,2047-11-04,Democratic,KY,3,2103,0,110,111,112,113,114,115,116,117,0,JohnYarmuth,2011-10-01,2011
PoJ-NV03,"Porter, Jon C.",M,2055-05-16,Republican,NV,3,3203,109,110,0,0,0,0,0,0,0,0,jportertweets,2011-10-01,2011
DoJ-CA04,"Doolittle, John T.",M,2050-10-30,Republican,CA,4,0604,109,110,0,0,0,0,0,0,0,0,jtdoolittle1950,2014-09-01,2014
CaJ-TX31,"Carter, John R.",M,2041-11-06,Republican,TX,31,4831,109,110,111,112,113,114,115,116,117,118,JudgeCarter,2008-12-01,2008
PoT-TX02,"Poe, Ted",M,2048-09-10,Republican,TX,2,4802,109,110,111,112,113,114,115,0,0,0,JudgeTedPoe,2009-09-01,2009
BiJ-IL13,"Biggert, Judy",F,2037-08-15,Republican,IL,13,1713,109,110,111,112,0,0,0,0,0,0,JudyBiggert,2009-02-01,2009
AmJ-MI03,"Amash, Justin",M,1980-04-18,Libertarian,MI,3,2603,0,0,0,112,113,114,115,116,0,0,justinamash,2011-01-01,2011
RiK-NY04,"Rice, Kathleen M.",F,2065-02-15,Democratic,NY,4,3604,0,0,0,0,0,114,115,116,117,0,KathleenRice,2009-10-01,2009
MaK-NC06,"Manning, Kathy E.",F,2056-12-03,Democratic,NC,6,3706,0,0,0,0,0,0,0,0,117,118,KathyManningNC,2017-12-01,2017
DaK-PA03,"Dahlkemper, Kathleen A.",F,2057-12-10,Democratic,PA,3,4203,0,0,111,0,0,0,0,0,0,0,kdahlkemper,2011-04-01,2011
ElK-MN05,"Ellison, Keith",M,2063-08-04,Democratic,MN,5,2705,0,110,111,112,113,114,115,0,0,0,keithellison,2008-03-01,2008
RoK-PA12,"Rothfus, Keith J.",M,2062-04-25,Republican,PA,12,4212,0,0,0,0,113,114,115,0,0,0,KeithRothfus,2013-02-01,2013
KeR-FL08,"Keller, Ric",M,2064-09-05,Republican,FL,8,1208,109,110,0,0,0,0,0,0,0,0,keller_ric,2019-02-01,2019
CaK-CA41,"Calvert, Ken",M,2053-06-08,Republican,CA,41,0641,109,110,111,112,113,114,115,116,117,118,KenCalvert,2009-01-01,2009
MeK-FL17,"Meek, Kendrick B.",M,2066-09-06,Democratic,FL,17,1217,109,110,111,0,0,0,0,0,0,0,KendrickMeek,2009-03-01,2009
BeK-MI11,"Bentivolio, Kerry L.",M,2051-10-06,Republican,MI,11,2611,0,0,0,0,113,0,0,0,0,0,KerryB4Congress,2012-07-01,2012
YoK-KS03,"Yoder, Kevin",M,1976-11-08,Republican,KS,3,2003,0,0,0,112,113,114,115,0,0,0,kevinyoder,2011-02-01,2011
SaG-MP00,"Sablan, Gregorio Kilili Camacho",M,2055-01-19,Democratic,MP,0,0000,0,0,111,112,113,114,115,116,117,118,Kilili_Sablan,2017-11-01,2017
NoK-SD00,"Noem, Kristi L.",F,1971-11-30,Republican,SD,0,4600,0,0,0,112,113,114,115,0,0,0,KristiNoem,2010-02-01,2010
HaK-GA05,"Hall, Kwanza",M,1971-05-01,Democratic,GA,5,1305,0,0,0,0,0,0,0,116,0,0,kwanzahall,2007-09-01,2007
ClW-MO01,"Clay, Wm. Lacy",M,2056-07-27,Democratic,MO,1,2901,109,110,111,112,113,114,115,116,0,0,LacyClayMO1,2012-05-01,2012
SmL-TX21,"Smith, Lamar",M,2047-11-19,Republican,TX,21,4821,109,110,111,112,113,114,115,0,0,0,LamarSmithTX21,2008-08-01,2008
GoL-TX05,"Gooden, Lance",M,1982-12-01,Republican,TX,5,4805,0,0,0,0,0,0,0,116,117,118,Lancegooden,2018-08-01,2018
LaS-OH14,"LaTourette, Steven C.",M,2054-07-22,Republican,OH,14,3914,109,110,111,112,0,0,0,0,0,0,LaTourette,2009-01-01,2009
ZeL-NY01,"Zeldin, Lee M.",M,1980-01-30,Republican,NY,1,3601,0,0,0,0,0,114,115,116,117,0,LeeMZeldin,2014-08-01,2014
TeL-NE02,"Terry, Lee",M,2062-01-29,Republican,NE,2,3102,109,110,111,112,113,0,0,0,0,0,LEETERRYNE,2008-12-01,2008
BoL-IA03,"Boswell, Leonard L.",M,2034-01-10,Democratic,IA,3,1903,109,110,111,112,0,0,0,0,0,0,LeonardBoswell,2009-02-01,2009
LeJ-MN02,"Lewis, Jason",M,2055-09-23,Republican,MN,2,2702,0,0,0,0,0,0,115,0,0,0,LewisForMN,2009-09-01,2009
DiL-FL21,"Diaz-Balart, Lincoln",M,2054-08-13,Republican,FL,21,1221,109,110,111,0,0,0,0,0,0,0,LincolnDBalart,2012-08-01,2012
LiJ-GA07,"Linder, John",M,2042-09-09,Republican,GA,7,1307,109,110,111,0,0,0,0,0,0,0,linderje,2013-12-01,2013
ChL-WY00,"Cheney, Liz",F,2066-07-28,Republican,WY,0,5600,0,0,0,0,0,0,115,116,117,0,Liz_Cheney,2009-12-01,2009
SaL-CA46,"Sanchez, Loretta",F,2060-01-07,Democratic,CA,46,0646,109,110,111,112,113,114,0,0,0,0,LorettaSanchez,2010-01-01,2010
GoL-TX01,"Gohmert, Louie",M,2053-08-18,Republican,TX,1,4801,109,110,111,112,113,114,115,116,117,0,LouieGohmertTX1,2016-01-01,2016
SlL-NY25,"Slaughter, Louise McIntosh",F,2029-08-14,Democratic,NY,25,3625,109,110,111,112,113,114,115,0,0,0,louiseslaughter,2009-08-01,2009
LoN-NY17,"Lowey, Nita M.",F,2037-07-05,Democratic,NY,17,3617,109,110,111,112,113,114,115,116,0,0,Lowey4Congress,2012-08-01,2012
FoL-PR00,"Fortuno, Luis G.",M,2060-10-31,Republican,PR,0,0000,109,110,0,0,0,0,0,0,0,0,luisfortuno51,2010-08-01,2010
WoL-CA06,"Woolsey, Lynn C.",F,2037-11-03,Democratic,CA,6,0606,109,110,111,112,0,0,0,0,0,0,lynnwoolsey,2009-04-01,2009
ThM-TX13,"Thornberry, Mac",M,2058-07-15,Republican,TX,13,4813,109,110,111,112,113,114,115,116,0,0,MacTXPress,2011-09-01,2011
MaT-NJ07,"Malinowski, Tom",M,2065-09-23,Democratic,NJ,7,3407,0,0,0,0,0,0,0,116,117,0,Malinowski,2016-12-01,2016
MaT-PA12,"Marino, Tom",M,2052-08-15,Republican,PA,12,4212,0,0,0,112,113,114,115,0,0,0,MarinoPA10,2014-09-01,2014
DiM-FL26,"Diaz-Balart, Mario",M,2061-09-25,Republican,FL,26,1226,109,110,111,112,113,114,115,116,117,118,MarioDB,2009-01-01,2009
AmM-NV02,"Amodei, Mark E.",M,2058-06-12,Republican,NV,2,3202,0,0,0,112,113,114,115,116,117,118,MarkAmodeiNV2,2011-11-01,2011
MeM-NC11,"Meadows, Mark",M,2059-07-28,Republican,NC,11,3711,0,0,0,0,113,114,115,116,0,0,MarkMeadows,2012-11-01,2012
SaM-SC01,"Sanford, Mark",M,2060-05-28,Republican,SC,1,4501,0,0,0,0,113,114,115,0,0,0,MarkSanford,2009-04-01,2009
UdM-CO02,"Udall, Mark",M,2050-07-18,Democratic,CO,2,0802,109,110,0,0,0,0,0,0,0,0,MarkUdall,2007-08-01,2007
BlM-TN07,"Blackburn, Marsha",F,2052-06-06,Republican,TN,7,4707,109,110,111,112,113,114,115,0,0,0,MarshaBlackburn,2011-04-01,2011
McM-AZ02,"McSally, Martha",F,2066-03-22,Republican,AZ,2,0402,0,0,0,0,0,114,115,0,0,0,MarthaMcSallyAZ,2012-02-01,2012
RoM-AL02,"Roby, Martha",F,1976-07-27,Republican,AL,2,0102,0,0,0,112,113,114,115,116,0,0,MarthaRobyAL,2010-12-01,2010
HeM-NM01,"Heinrich, Martin",M,1971-10-17,Democratic,NM,1,3501,0,0,111,112,0,0,0,0,0,0,MartinHeinrich,2013-01-01,2013
MeM-MA05,"Meehan, Martin T.",M,2056-12-30,Democratic,MA,5,2505,109,0,0,0,0,0,0,0,0,0,MartyMeehan,2015-11-01,2015
BoM-CA45,"Bono Mack, Mary",F,2061-10-24,Republican,CA,45,0645,109,110,111,112,0,0,0,0,0,0,MaryBonoUSA,2009-01-01,2009
KiM-OH15,"Kilroy, Mary Jo",F,2049-04-30,Democratic,OH,15,3915,0,0,111,0,0,0,0,0,0,0,MaryJoKilroy,2008-06-01,2008
SaM-AZ05,"Salmon, Matt",M,2058-01-21,Republican,AZ,5,0405,0,0,0,0,113,114,0,0,0,0,MattSalmonAZ,2011-04-01,2011
HiM-NY22,"Hinchey, Maurice D.",M,2038-10-27,Democratic,NY,22,3622,109,110,111,112,0,0,0,0,0,0,mauricehinchey,2009-09-01,2009
MiM-OH07,"Miller, Max L.",M,1988-11-13,Republican,OH,7,3907,0,0,0,0,0,0,0,0,0,118,MaxMillerOH,2019-07-01,2019
FlM-TX34,"Flores, Mayra",F,1986-01-01,Republican,TX,34,4834,0,0,0,0,0,0,0,0,117,0,MayraFlores2022,2009-11-01,2009
HiM-HI02,"Hirono, Mazie K.",F,2047-11-03,Democratic,HI,2,1502,0,110,111,112,0,0,0,0,0,0,maziehirono,2009-11-01,2009
MeC-LA03,"Melancon, Charlie",M,2047-10-03,Democratic,LA,3,2203,109,110,111,0,0,0,0,0,0,0,melancon2010,2009-08-01,2009
LoM-UT04,"Love, Mia B.",F,1975-12-06,Republican,UT,4,4904,0,0,0,0,0,114,115,0,0,0,MiaBLove,2011-07-01,2011
BuM-TX26,"Burgess, Michael C.",M,2050-12-23,Republican,TX,26,4826,109,110,111,112,113,114,115,116,117,118,michaelcburgess,2008-08-01,2008
GrM-NY11,"Grimm, Michael G.",M,1970-02-07,Republican,NY,11,3611,0,0,0,112,113,0,0,0,0,0,MichaelGrimmNY,2017-08-01,2017
MiM-ME02,"Michaud, Michael H.",M,2055-01-18,Democratic,ME,2,2302,109,110,111,112,113,0,0,0,0,0,Michaud2014,2013-06-01,2013
BaM-MN06,"Bachmann, Michele",F,2056-04-06,Republican,MN,6,2706,0,110,111,112,113,0,0,0,0,0,MicheleBachmann,2008-12-01,2008
LuM-NM01,"Lujan Grisham, Michelle",F,2059-10-24,Democratic,NM,1,3501,0,0,0,0,113,114,115,0,0,0,Michelle4NM,2011-09-01,2011
MuM-SC05,"Mulvaney, Mick",M,2067-07-21,Republican,SC,5,4505,0,0,0,112,113,114,0,0,0,0,MickMulvaneyOMB,2017-07-01,2017
TrD-MI11,"Trott, David A.",M,2060-10-16,Republican,MI,11,2611,0,0,0,0,0,114,115,0,0,0,MIDaveTrott,2014-11-01,2014
PeM-IN06,"Pence, Mike",M,2059-06-07,Republican,IN,6,1806,109,110,111,112,0,0,0,0,0,0,Mike_Pence,2009-02-01,2009
BiM-MI08,"Bishop, Mike",M,2067-03-18,Republican,MI,8,2608,0,0,0,0,0,114,115,0,0,0,MikeBishopMI,2009-05-01,2009
CaM-MA07,"Capuano, Michael E.",M,2052-01-09,Democratic,MA,7,2507,109,110,111,112,113,114,115,0,0,0,mikecapuano,2009-09-01,2009
KeM-PA16,"Kelly, Mike",M,2048-05-10,Republican,PA,16,4216,0,0,0,112,113,114,115,116,117,118,MikeKellyPA,2012-01-01,2012
McM-NC07,"McIntyre, Mike",M,2056-08-06,Democratic,NC,7,3707,109,110,111,112,113,0,0,0,0,0,MikeMcIntyreNC,2009-06-01,2009
PoM-KS04,"Pompeo, Mike",M,2063-12-30,Republican,KS,4,2004,0,0,0,112,113,114,0,0,0,0,mikepompeo,2019-08-01,2019
RoM-AR04,"Ross, Mike",M,2061-08-02,Democratic,AR,4,0504,109,110,111,112,0,0,0,0,0,0,MikeRossUpdates,2010-01-01,2010
WaM-CA45,"Walters, Mimi",F,2062-05-14,Republican,CA,45,0645,0,0,0,0,0,114,115,0,0,0,MimiWaltersCA,2014-02-01,2014
JoM-NY17,"Jones, Mondaire",M,1987-05-18,Democratic,NY,17,3617,0,0,0,0,0,0,0,0,117,0,MondaireJones,2017-06-01,2017
HaN-NY19,"Hayworth, Nan A. S.",F,2059-12-14,Republican,NY,19,3619,0,0,0,112,0,0,0,0,0,0,NanHayworth,2011-01-01,2011
DeN-GA09,"Deal, Nathan",M,2042-08-25,Republican,GA,9,1309,109,110,111,0,0,0,0,0,0,0,NathanDeal,2009-06-01,2009
AbN-HI01,"Abercrombie, Neil",M,2038-06-26,Democratic,HI,1,1501,109,110,111,0,0,0,0,0,0,0,neilabercrombie,2007-11-01,2007
LaN-NY23,"Langworthy, Nicholas A.",M,1981-02-27,Republican,NY,23,3623,0,0,0,0,0,0,0,0,0,118,NickLangworthy,2009-01-01,2009
LaN-TX22,"Lampson, Nick",M,2045-02-14,Democratic,TX,22,4822,0,110,0,0,0,0,0,0,0,0,nlampson,2009-02-01,2009
ToN-CA35,"Torres, Norma J.",F,2065-04-04,Democratic,CA,35,0635,0,0,0,0,0,114,115,116,117,118,NormaJTorres,2011-01-01,2011
VeN-NY07,"Velazquez, Nydia M.",F,2053-03-28,Democratic,NY,7,3607,109,110,111,112,113,114,115,116,117,118,NydiaVelazquez,2010-07-01,2010
BrA-MD04,"Brown, Anthony G.",M,2061-11-21,Democratic,MD,4,2404,0,0,0,0,0,0,115,116,117,0,OAGMaryland,2017-01-01,2017
MeP-PA07,"Meehan, Patrick",M,2055-10-20,Republican,PA,7,4207,0,0,0,112,113,114,115,0,0,0,PatMeehanPA,2010-01-01,2010
McP-NC10,"McHenry, Patrick T.",M,1975-11-22,Republican,NC,10,3710,109,110,111,112,113,114,115,116,117,118,PatrickMcHenry,2009-03-01,2009
MuP-FL18,"Murphy, Patrick",M,1983-03-30,Democratic,FL,18,1218,0,0,0,0,113,114,0,0,0,0,PatrickMurphyFL,2011-03-01,2011
MuP-PA08,"Murphy, Patrick J.",M,1973-10-19,Democratic,PA,8,4208,0,110,111,0,0,0,0,0,0,0,PatrickMurphyPA,2010-10-01,2010
TiP-OH12,"Tiberi, Patrick J.",M,2062-10-21,Republican,OH,12,3912,109,110,111,112,113,114,115,0,0,0,PatTiberi,2012-10-01,2012
BrP-GA10,"Broun, Paul C.",M,2046-05-14,Republican,GA,10,1310,0,110,111,112,113,0,0,0,0,0,PaulBrounforGA,2010-09-01,2010
HoP-NH02,"Hodes, Paul W.",M,2051-03-21,Democratic,NH,2,3302,0,110,111,0,0,0,0,0,0,0,paulhodes1,2013-04-01,2013
GrA-TX09,"Green, Al",M,2047-09-01,Democratic,TX,9,4809,109,110,111,112,113,114,115,116,117,118,RepAlGreen,2010-04-01,2010
KaP-PA11,"Kanjorski, Paul E.",M,2037-04-02,Democratic,PA,11,4211,109,110,111,0,0,0,0,0,0,0,PaulKanjorski,2010-06-01,2010
PeS-NM02,"Pearce, Stevan",M,2047-08-24,Republican,NM,2,3502,0,110,0,112,113,114,115,0,0,0,Pearce4NM,2009-05-01,2009
PiP-PR00,"Pierluisi, Pedro R.",M,2059-04-26,Democratic,PR,0,0000,0,0,111,112,113,114,0,0,0,0,pedropierluisi,2009-04-01,2009
GaP-TX23,"Gallego, Pete P.",M,2061-12-02,Democratic,TX,23,4823,0,0,0,0,113,0,0,0,0,0,petegallego,2009-08-01,2009
RoP-IL06,"Roskam, Peter J.",M,2061-09-13,Republican,IL,6,1706,0,110,111,112,113,114,115,0,0,0,PeterRoskam,2009-02-01,2009
WeP-VT00,"Welch, Peter",M,2047-05-02,Democratic,VT,0,5000,0,110,111,112,113,114,115,116,117,0,PeterWelch,2013-05-01,2013
SeP-TX17,"Sessions, Pete",M,2055-03-22,Republican,TX,17,4817,109,110,111,112,113,114,115,0,117,118,PeteSessions,2009-01-01,2009
KeP-RI01,"Kennedy, Patrick J.",M,2067-07-14,Democratic,RI,1,4401,109,110,111,0,0,0,0,0,0,0,PJK4brainhealth,2012-04-01,2012
CaF-TX23,"Canseco, Francisco Quico",M,2049-07-30,Republican,TX,23,4823,0,0,0,112,0,0,0,0,0,0,QuicoCanseco,2014-04-01,2014
EmR-IL05,"Emanuel, Rahm",M,2059-11-29,Democratic,IL,5,1705,109,110,0,0,0,0,0,0,0,0,RahmEmanuel,2010-10-01,2010
HaR-TX04,"Hall, Ralph M.",M,2023-05-03,Republican,TX,4,4804,109,110,111,112,113,0,0,0,0,0,RalphHallPress,2013-02-01,2013
FoJ-VA04,"Forbes, J. Randy",M,2052-02-17,Republican,VA,4,5104,109,110,111,112,113,114,0,0,0,0,Randy_Forbes,2008-06-01,2008
NeR-TX19,"Neugebauer, Randy",M,2049-12-24,Republican,TX,19,4819,109,110,111,112,113,114,0,0,0,0,RandyNeugebauer,2009-04-01,2009
LaR-ID01,"Labrador, Raul R.",M,2067-12-08,Republican,ID,1,1601,0,0,0,112,113,114,115,0,0,0,Raul_Labrador,2011-02-01,2011
LaR-IL18,"LaHood, Ray",M,2045-12-06,Republican,IL,18,1718,109,110,0,0,0,0,0,0,0,0,RayLaHood,2013-07-01,2013
CrM-PA12,"Critz, Mark S.",M,2062-01-05,Democratic,PA,12,4212,0,0,111,112,0,0,0,0,0,0,realMarkCritz,2010-02-01,2010
ReR-AZ01,"Renzi, Rick",M,2058-06-11,Republican,AZ,1,0401,109,110,0,0,0,0,0,0,0,0,RenziRick,2019-02-01,2019
ClA-GA09,"Clyde, Andrew S.",M,2063-11-22,Republican,GA,9,1309,0,0,0,0,0,0,0,0,117,118,Rep_Clyde,2021-02-01,2021
JaJ-IL01,"Jackson, Jonathan L.",M,2066-01-07,Democratic,IL,1,1701,0,0,0,0,0,0,0,0,0,118,rep_jackson,2023-01-01,2023
MaS-RI02,"Magaziner, Seth",M,1983-07-22,Democratic,RI,2,4402,0,0,0,0,0,0,0,0,0,118,Rep_Magaziner,2023-01-01,2023
GrP-AL05,"Griffith, Parker",M,2042-08-06,Republican,AL,5,0105,0,0,111,0,0,0,0,0,0,0,Rep_P_Griffith,2010-02-01,2010
PeM-AK00,"Peltola, Mary Sattler",F,1973-08-31,Democratic,AK,0,0200,0,0,0,0,0,0,0,0,117,118,rep_peltola,2022-09-01,2022
SoS-FL02,"Southerland, Steve II",M,2065-10-10,Republican,FL,2,1202,0,0,0,112,113,0,0,0,0,0,Rep_Southerland,2011-01-01,2011
StM-NM01,"Stansbury, Melanie Ann",F,1979-01-31,Democratic,NM,1,3501,0,0,0,0,0,0,0,0,117,118,Rep_Stansbury,2021-06-01,2021
WoS-AR03,"Womack, Steve",M,2057-02-18,Republican,AR,3,0503,0,0,0,112,113,114,115,116,117,118,rep_stevewomack,2011-01-01,2011
BeA-FL04,"Bean, Aaron",M,2067-01-25,Republican,FL,4,1204,0,0,0,0,0,0,0,0,0,118,RepAaronBean,2022-01-01,2022
AbR-LA05,"Abraham, Ralph Lee",M,2054-09-16,Republican,LA,5,2205,0,0,0,0,0,114,115,116,0,0,RepAbraham,2015-01-01,2015
AdA-NC12,"Adams, Alma S.",F,2046-05-27,Democratic,NC,12,3712,0,0,0,0,113,114,115,116,117,118,RepAdams,2014-01-01,2014
ScA-CA30,"Schiff, Adam B.",M,2060-06-22,Democratic,CA,30,0630,109,110,111,112,113,114,115,116,117,118,RepAdamSchiff,2009-04-01,2009
SmA-WA09,"Smith, Adam",M,2065-06-15,Democratic,WA,9,5309,109,110,111,112,113,114,115,116,117,118,RepAdamSmith,2009-03-01,2009
SmA-NE03,"Smith, Adrian",M,1970-12-19,Republican,NE,3,3103,0,110,111,112,113,114,115,116,117,118,RepAdrianSmith,2011-01-01,2011
MoA-WV02,"Mooney, Alexander X.",M,1971-06-07,Republican,WV,2,5402,0,0,0,0,0,114,115,116,117,118,RepAlexMooney,2015-01-01,2015
RaA-AS00,"Radewagen, Aumua Amata Coleman",F,2047-12-29,Republican,AS,0,0000,0,0,0,0,0,114,115,116,117,118,RepAmata,2015-02-01,2015
CaA-IN07,"Carson, Andre",M,1974-10-16,Democratic,IN,7,1807,0,110,111,112,113,114,115,116,117,118,RepAndreCarson,2010-10-01,2010
BaA-KY06,"Barr, Andy",M,1973-07-24,Republican,KY,6,2106,0,0,0,0,113,114,115,116,117,118,RepAndyBarr,2013-01-01,2013
BiA-AZ05,"Biggs, Andy",M,2058-11-07,Republican,AZ,5,0405,0,0,0,0,0,0,115,116,117,118,RepAndyBiggsAZ,2017-01-01,2017
HaA-MD01,"Harris, Andy",M,2057-01-25,Republican,MD,1,2401,0,0,0,112,113,114,115,116,117,118,RepAndyHarrisMD,2012-01-01,2012
KiA-NJ03,"Kim, Andy",M,1982-07-12,Democratic,NJ,3,3403,0,0,0,0,0,0,0,116,117,118,RepAndyKimNJ,2018-01-01,2018
LeA-MI09,"Levin, Andy",M,2060-08-10,Democratic,MI,9,2609,0,0,0,0,0,0,0,116,117,0,RepAndyLevin,2019-01-01,2019
CrA-MN02,"Craig, Angie",F,1972-02-14,Democratic,MN,2,2702,0,0,0,0,0,0,0,116,117,118,RepAngieCraig,2019-01-01,2019
EsA-CA16,"Eshoo, Anna G.",F,2042-12-13,Democratic,CA,16,0616,109,110,111,112,113,114,115,116,117,118,RepAnnaEshoo,2011-02-01,2011
KuA-NH02,"Kuster, Ann M.",F,2056-09-05,Democratic,NH,2,3302,0,0,0,0,113,114,115,116,117,118,RepAnnieKuster,2013-01-01,2013
WaA-MO02,"Wagner, Ann",F,2062-09-13,Republican,MO,2,2902,0,0,0,0,113,114,115,116,117,118,RepAnnWagner,2012-01-01,2012
OcA-NY14,"Ocasio-Cortez, Alexandria",F,1989-10-13,Democratic,NY,14,3614,0,0,0,0,0,0,0,116,117,118,RepAOC,2018-01-01,2018
ArK-ND00,"Armstrong, Kelly",F,1976-10-08,Republican,ND,0,3800,0,0,0,0,0,0,0,116,117,118,RepArmstrongND,2019-01-01,2019
ArJ-TX19,"Arrington, Jodey C.",M,1972-03-09,Republican,TX,19,4819,0,0,0,0,0,0,115,116,117,118,RepArrington,2017-01-01,2017
HiA-IA02,"Hinson, Ashley",F,1983-06-27,Republican,IA,2,1902,0,0,0,0,0,0,0,0,117,118,RepAshleyHinson,2020-01-01,2020
AuJ-MA04,"Auchincloss, Jake",M,1988-01-29,Democratic,MA,4,2504,0,0,0,0,0,0,0,0,117,118,RepAuchincloss,2020-01-01,2020
BaT-OH12,"Balderson, Troy",M,2062-01-16,Republican,OH,12,3912,0,0,0,0,0,0,115,116,117,118,RepBalderson,2018-09-01,2018
LeB-CA12,"Lee, Barbara",F,2046-07-16,Democratic,CA,12,0612,109,110,111,112,113,114,115,116,117,118,RepBarbaraLee,2011-02-01,2011
BaN-CA44,"Barragan, Nanette Diaz",F,1976-09-15,Democratic,CA,44,0644,0,0,0,0,0,0,115,116,117,118,RepBarragan,2017-01-01,2017
BaJ-SC03,"Barrett, J. Gresham",M,2061-02-14,Republican,SC,3,4503,109,110,111,0,0,0,0,0,0,0,RepBarrett,2009-01-01,2009
