uniqueid,fullname,gender,dob,party,stateabr,district,congress109,twitterhandle,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted
RaJ-TX04,"Ratcliffe, John",M,2065-10-20,Republican,TX,4,0,JohnRatcliffe,2014-10-01,2014,,,
YaJ-KY03,"Yarmuth, John A.",M,2047-11-04,Democratic,KY,3,0,JohnYarmuth,2011-10-01,2011,,,
PoJ-NV03,"Porter, Jon C.",M,2055-05-16,Republican,NV,3,109,jportertweets,2011-10-01,2011,2005-01-03,2007-01-03,-50
DoJ-CA04,"Doolittle, John T.",M,2050-10-30,Republican,CA,4,109,jtdoolittle1950,2014-09-01,2014,2005-01-03,2007-01-03,-45
CaJ-TX31,"Carter, John R.",M,2041-11-06,Republican,TX,31,109,JudgeCarter,2008-12-01,2008,2005-01-03,2007-01-03,-36
PoT-TX02,"Poe, Ted",M,2048-09-10,Republican,TX,2,109,JudgeTedPoe,2009-09-01,2009,2005-01-03,2007-01-03,-43
BiJ-IL13,"Biggert, Judy",F,2037-08-15,Republican,IL,13,109,JudyBiggert,2009-02-01,2009,2005-01-03,2007-01-03,-32
AmJ-MI03,"Amash, Justin",M,1980-04-18,Libertarian,MI,3,0,justinamash,2011-01-01,2011,,,
RiK-NY04,"Rice, Kathleen M.",F,2065-02-15,Democratic,NY,4,0,KathleenRice,2009-10-01,2009,,,
MaK-NC06,"Manning, Kathy E.",F,2056-12-03,Democratic,NC,6,0,KathyManningNC,2017-12-01,2017,,,
DaK-PA03,"Dahlkemper, Kathleen A.",F,2057-12-10,Democratic,PA,3,0,kdahlkemper,2011-04-01,2011,,,
ElK-MN05,"Ellison, Keith",M,2063-08-04,Democratic,MN,5,0,keithellison,2008-03-01,2008,,,
RoK-PA12,"Rothfus, Keith J.",M,2062-04-25,Republican,PA,12,0,KeithRothfus,2013-02-01,2013,,,
KeR-FL08,"Keller, Ric",M,2064-09-05,Republican,FL,8,109,keller_ric,2019-02-01,2019,2005-01-03,2007-01-03,-59
CaK-CA41,"Calvert, Ken",M,2053-06-08,Republican,CA,41,109,KenCalvert,2009-01-01,2009,2005-01-03,2007-01-03,-48
MeK-FL17,"Meek, Kendrick B.",M,2066-09-06,Democratic,FL,17,109,KendrickMeek,2009-03-01,2009,2005-01-03,2007-01-03,-61
BeK-MI11,"Bentivolio, Kerry L.",M,2051-10-06,Republican,MI,11,0,KerryB4Congress,2012-07-01,2012,,,
YoK-KS03,"Yoder, Kevin",M,1976-11-08,Republican,KS,3,0,kevinyoder,2011-02-01,2011,,,
SaG-MP00,"Sablan, Gregorio Kilili Camacho",M,2055-01-19,Democratic,MP,0,0,Kilili_Sablan,2017-11-01,2017,,,
NoK-SD00,"Noem, Kristi L.",F,1971-11-30,Republican,SD,0,0,KristiNoem,2010-02-01,2010,,,
HaK-GA05,"Hall, Kwanza",M,1971-05-01,Democratic,GA,5,0,kwanzahall,2007-09-01,2007,,,
ClW-MO01,"Clay, Wm. Lacy",M,2056-07-27,Democratic,MO,1,109,LacyClayMO1,2012-05-01,2012,2005-01-03,2007-01-03,-51
SmL-TX21,"Smith, Lamar",M,2047-11-19,Republican,TX,21,109,LamarSmithTX21,2008-08-01,2008,2005-01-03,2007-01-03,-42
GoL-TX05,"Gooden, Lance",M,1982-12-01,Republican,TX,5,0,Lancegooden,2018-08-01,2018,,,
LaS-OH14,"LaTourette, Steven C.",M,2054-07-22,Republican,OH,14,109,LaTourette,2009-01-01,2009,2005-01-03,2007-01-03,-49
ZeL-NY01,"Zeldin, Lee M.",M,1980-01-30,Republican,NY,1,0,LeeMZeldin,2014-08-01,2014,,,
TeL-NE02,"Terry, Lee",M,2062-01-29,Republican,NE,2,109,LEETERRYNE,2008-12-01,2008,2005-01-03,2007-01-03,-57
BoL-IA03,"Boswell, Leonard L.",M,2034-01-10,Democratic,IA,3,109,LeonardBoswell,2009-02-01,2009,2005-01-03,2007-01-03,-29
LeJ-MN02,"Lewis, Jason",M,2055-09-23,Republican,MN,2,0,LewisForMN,2009-09-01,2009,,,
DiL-FL21,"Diaz-Balart, Lincoln",M,2054-08-13,Republican,FL,21,109,LincolnDBalart,2012-08-01,2012,2005-01-03,2007-01-03,-49
LiJ-GA07,"Linder, John",M,2042-09-09,Republican,GA,7,109,linderje,2013-12-01,2013,2005-01-03,2007-01-03,-37
ChL-WY00,"Cheney, Liz",F,2066-07-28,Republican,WY,0,0,Liz_Cheney,2009-12-01,2009,,,
SaL-CA46,"Sanchez, Loretta",F,2060-01-07,Democratic,CA,46,109,LorettaSanchez,2010-01-01,2010,2005-01-03,2007-01-03,-55
GoL-TX01,"Gohmert, Louie",M,2053-08-18,Republican,TX,1,109,LouieGohmertTX1,2016-01-01,2016,2005-01-03,2007-01-03,-48
SlL-NY25,"Slaughter, Louise McIntosh",F,2029-08-14,Democratic,NY,25,109,louiseslaughter,2009-08-01,2009,2005-01-03,2007-01-03,-24
LoN-NY17,"Lowey, Nita M.",F,2037-07-05,Democratic,NY,17,109,Lowey4Congress,2012-08-01,2012,2005-01-03,2007-01-03,-32
FoL-PR00,"Fortuno, Luis G.",M,2060-10-31,Republican,PR,0,109,luisfortuno51,2010-08-01,2010,2005-01-03,2007-01-03,-55
WoL-CA06,"Woolsey, Lynn C.",F,2037-11-03,Democratic,CA,6,109,lynnwoolsey,2009-04-01,2009,2005-01-03,2007-01-03,-32
ThM-TX13,"Thornberry, Mac",M,2058-07-15,Republican,TX,13,109,MacTXPress,2011-09-01,2011,2005-01-03,2007-01-03,-53
MaT-NJ07,"Malinowski, Tom",M,2065-09-23,Democratic,NJ,7,0,Malinowski,2016-12-01,2016,,,
MaT-PA12,"Marino, Tom",M,2052-08-15,Republican,PA,12,0,MarinoPA10,2014-09-01,2014,,,
DiM-FL26,"Diaz-Balart, Mario",M,2061-09-25,Republican,FL,26,109,MarioDB,2009-01-01,2009,2005-01-03,2007-01-03,-56
AmM-NV02,"Amodei, Mark E.",M,2058-06-12,Republican,NV,2,0,MarkAmodeiNV2,2011-11-01,2011,,,
MeM-NC11,"Meadows, Mark",M,2059-07-28,Republican,NC,11,0,MarkMeadows,2012-11-01,2012,,,
SaM-SC01,"Sanford, Mark",M,2060-05-28,Republican,SC,1,0,MarkSanford,2009-04-01,2009,,,
UdM-CO02,"Udall, Mark",M,2050-07-18,Democratic,CO,2,109,MarkUdall,2007-08-01,2007,2005-01-03,2007-01-03,-45
BlM-TN07,"Blackburn, Marsha",F,2052-06-06,Republican,TN,7,109,MarshaBlackburn,2011-04-01,2011,2005-01-03,2007-01-03,-47
McM-AZ02,"McSally, Martha",F,2066-03-22,Republican,AZ,2,0,MarthaMcSallyAZ,2012-02-01,2012,,,
RoM-AL02,"Roby, Martha",F,1976-07-27,Republican,AL,2,0,MarthaRobyAL,2010-12-01,2010,,,
HeM-NM01,"Heinrich, Martin",M,1971-10-17,Democratic,NM,1,0,MartinHeinrich,2013-01-01,2013,,,
MeM-MA05,"Meehan, Martin T.",M,2056-12-30,Democratic,MA,5,109,MartyMeehan,2015-11-01,2015,2005-01-03,2007-01-03,-52
BoM-CA45,"Bono Mack, Mary",F,2061-10-24,Republican,CA,45,109,MaryBonoUSA,2009-01-01,2009,2005-01-03,2007-01-03,-56
KiM-OH15,"Kilroy, Mary Jo",F,2049-04-30,Democratic,OH,15,0,MaryJoKilroy,2008-06-01,2008,,,
SaM-AZ05,"Salmon, Matt",M,2058-01-21,Republican,AZ,5,0,MattSalmonAZ,2011-04-01,2011,,,
HiM-NY22,"Hinchey, Maurice D.",M,2038-10-27,Democratic,NY,22,109,mauricehinchey,2009-09-01,2009,2005-01-03,2007-01-03,-33
MiM-OH07,"Miller, Max L.",M,1988-11-13,Republican,OH,7,0,MaxMillerOH,2019-07-01,2019,,,
FlM-TX34,"Flores, Mayra",F,1986-01-01,Republican,TX,34,0,MayraFlores2022,2009-11-01,2009,,,
HiM-HI02,"Hirono, Mazie K.",F,2047-11-03,Democratic,HI,2,0,maziehirono,2009-11-01,2009,,,
MeC-LA03,"Melancon, Charlie",M,2047-10-03,Democratic,LA,3,109,melancon2010,2009-08-01,2009,2005-01-03,2007-01-03,-42
LoM-UT04,"Love, Mia B.",F,1975-12-06,Republican,UT,4,0,MiaBLove,2011-07-01,2011,,,
BuM-TX26,"Burgess, Michael C.",M,2050-12-23,Republican,TX,26,109,michaelcburgess,2008-08-01,2008,2005-01-03,2007-01-03,-46
GrM-NY11,"Grimm, Michael G.",M,1970-02-07,Republican,NY,11,0,MichaelGrimmNY,2017-08-01,2017,,,
MiM-ME02,"Michaud, Michael H.",M,2055-01-18,Democratic,ME,2,109,Michaud2014,2013-06-01,2013,2005-01-03,2007-01-03,-50
BaM-MN06,"Bachmann, Michele",F,2056-04-06,Republican,MN,6,0,MicheleBachmann,2008-12-01,2008,,,
LuM-NM01,"Lujan Grisham, Michelle",F,2059-10-24,Democratic,NM,1,0,Michelle4NM,2011-09-01,2011,,,
MuM-SC05,"Mulvaney, Mick",M,2067-07-21,Republican,SC,5,0,MickMulvaneyOMB,2017-07-01,2017,,,
TrD-MI11,"Trott, David A.",M,2060-10-16,Republican,MI,11,0,MIDaveTrott,2014-11-01,2014,,,
PeM-IN06,"Pence, Mike",M,2059-06-07,Republican,IN,6,109,Mike_Pence,2009-02-01,2009,2005-01-03,2007-01-03,-54
BiM-MI08,"Bishop, Mike",M,2067-03-18,Republican,MI,8,0,MikeBishopMI,2009-05-01,2009,,,
CaM-MA07,"Capuano, Michael E.",M,2052-01-09,Democratic,MA,7,109,mikecapuano,2009-09-01,2009,2005-01-03,2007-01-03,-47
KeM-PA16,"Kelly, Mike",M,2048-05-10,Republican,PA,16,0,MikeKellyPA,2012-01-01,2012,,,
McM-NC07,"McIntyre, Mike",M,2056-08-06,Democratic,NC,7,109,MikeMcIntyreNC,2009-06-01,2009,2005-01-03,2007-01-03,-51
PoM-KS04,"Pompeo, Mike",M,2063-12-30,Republican,KS,4,0,mikepompeo,2019-08-01,2019,,,
RoM-AR04,"Ross, Mike",M,2061-08-02,Democratic,AR,4,109,MikeRossUpdates,2010-01-01,2010,2005-01-03,2007-01-03,-56
WaM-CA45,"Walters, Mimi",F,2062-05-14,Republican,CA,45,0,MimiWaltersCA,2014-02-01,2014,,,
JoM-NY17,"Jones, Mondaire",M,1987-05-18,Democratic,NY,17,0,MondaireJones,2017-06-01,2017,,,
HaN-NY19,"Hayworth, Nan A. S.",F,2059-12-14,Republican,NY,19,0,NanHayworth,2011-01-01,2011,,,
DeN-GA09,"Deal, Nathan",M,2042-08-25,Republican,GA,9,109,NathanDeal,2009-06-01,2009,2005-01-03,2007-01-03,-37
AbN-HI01,"Abercrombie, Neil",M,2038-06-26,Democratic,HI,1,109,neilabercrombie,2007-11-01,2007,2005-01-03,2007-01-03,-33
LaN-NY23,"Langworthy, Nicholas A.",M,1981-02-27,Republican,NY,23,0,NickLangworthy,2009-01-01,2009,,,
LaN-TX22,"Lampson, Nick",M,2045-02-14,Democratic,TX,22,0,nlampson,2009-02-01,2009,,,
ToN-CA35,"Torres, Norma J.",F,2065-04-04,Democratic,CA,35,0,NormaJTorres,2011-01-01,2011,,,
VeN-NY07,"Velazquez, Nydia M.",F,2053-03-28,Democratic,NY,7,109,NydiaVelazquez,2010-07-01,2010,2005-01-03,2007-01-03,-48
BrA-MD04,"Brown, Anthony G.",M,2061-11-21,Democratic,MD,4,0,OAGMaryland,2017-01-01,2017,,,
MeP-PA07,"Meehan, Patrick",M,2055-10-20,Republican,PA,7,0,PatMeehanPA,2010-01-01,2010,,,
McP-NC10,"McHenry, Patrick T.",M,1975-11-22,Republican,NC,10,109,PatrickMcHenry,2009-03-01,2009,2005-01-03,2007-01-03,29
MuP-FL18,"Murphy, Patrick",M,1983-03-30,Democratic,FL,18,0,PatrickMurphyFL,2011-03-01,2011,,,
MuP-PA08,"Murphy, Patrick J.",M,1973-10-19,Democratic,PA,8,0,PatrickMurphyPA,2010-10-01,2010,,,
TiP-OH12,"Tiberi, Patrick J.",M,2062-10-21,Republican,OH,12,109,PatTiberi,2012-10-01,2012,2005-01-03,2007-01-03,-57
BrP-GA10,"Broun, Paul C.",M,2046-05-14,Republican,GA,10,0,PaulBrounforGA,2010-09-01,2010,,,
HoP-NH02,"Hodes, Paul W.",M,2051-03-21,Democratic,NH,2,0,paulhodes1,2013-04-01,2013,,,
GrA-TX09,"Green, Al",M,2047-09-01,Democratic,TX,9,109,RepAlGreen,2010-04-01,2010,2005-01-03,2007-01-03,-42
KaP-PA11,"Kanjorski, Paul E.",M,2037-04-02,Democratic,PA,11,109,PaulKanjorski,2010-06-01,2010,2005-01-03,2007-01-03,-32
PeS-NM02,"Pearce, Stevan",M,2047-08-24,Republican,NM,2,0,Pearce4NM,2009-05-01,2009,,,
PiP-PR00,"Pierluisi, Pedro R.",M,2059-04-26,Democratic,PR,0,0,pedropierluisi,2009-04-01,2009,,,
GaP-TX23,"Gallego, Pete P.",M,2061-12-02,Democratic,TX,23,0,petegallego,2009-08-01,2009,,,
RoP-IL06,"Roskam, Peter J.",M,2061-09-13,Republican,IL,6,0,PeterRoskam,2009-02-01,2009,,,
WeP-VT00,"Welch, Peter",M,2047-05-02,Democratic,VT,0,0,PeterWelch,2013-05-01,2013,,,
SeP-TX17,"Sessions, Pete",M,2055-03-22,Republican,TX,17,109,PeteSessions,2009-01-01,2009,2005-01-03,2007-01-03,-50
KeP-RI01,"Kennedy, Patrick J.",M,2067-07-14,Democratic,RI,1,109,PJK4brainhealth,2012-04-01,2012,2005-01-03,2007-01-03,-62
CaF-TX23,"Canseco, Francisco Quico",M,2049-07-30,Republican,TX,23,0,QuicoCanseco,2014-04-01,2014,,,
EmR-IL05,"Emanuel, Rahm",M,2059-11-29,Democratic,IL,5,109,RahmEmanuel,2010-10-01,2010,2005-01-03,2007-01-03,-54
HaR-TX04,"Hall, Ralph M.",M,2023-05-03,Republican,TX,4,109,RalphHallPress,2013-02-01,2013,2005-01-03,2007-01-03,-18
FoJ-VA04,"Forbes, J. Randy",M,2052-02-17,Republican,VA,4,109,Randy_Forbes,2008-06-01,2008,2005-01-03,2007-01-03,-47
NeR-TX19,"Neugebauer, Randy",M,2049-12-24,Republican,TX,19,109,RandyNeugebauer,2009-04-01,2009,2005-01-03,2007-01-03,-45
LaR-ID01,"Labrador, Raul R.",M,2067-12-08,Republican,ID,1,0,Raul_Labrador,2011-02-01,2011,,,
LaR-IL18,"LaHood, Ray",M,2045-12-06,Republican,IL,18,109,RayLaHood,2013-07-01,2013,2005-01-03,2007-01-03,-40
CrM-PA12,"Critz, Mark S.",M,2062-01-05,Democratic,PA,12,0,realMarkCritz,2010-02-01,2010,,,
ReR-AZ01,"Renzi, Rick",M,2058-06-11,Republican,AZ,1,109,RenziRick,2019-02-01,2019,2005-01-03,2007-01-03,-53
ClA-GA09,"Clyde, Andrew S.",M,2063-11-22,Republican,GA,9,0,Rep_Clyde,2021-02-01,2021,,,
JaJ-IL01,"Jackson, Jonathan L.",M,2066-01-07,Democratic,IL,1,0,rep_jackson,2023-01-01,2023,,,
MaS-RI02,"Magaziner, Seth",M,1983-07-22,Democratic,RI,2,0,Rep_Magaziner,2023-01-01,2023,,,
GrP-AL05,"Griffith, Parker",M,2042-08-06,Republican,AL,5,0,Rep_P_Griffith,2010-02-01,2010,,,
PeM-AK00,"Peltola, Mary Sattler",F,1973-08-31,Democratic,AK,0,0,rep_peltola,2022-09-01,2022,,,
SoS-FL02,"Southerland, Steve II",M,2065-10-10,Republican,FL,2,0,Rep_Southerland,2011-01-01,2011,,,
StM-NM01,"Stansbury, Melanie Ann",F,1979-01-31,Democratic,NM,1,0,Rep_Stansbury,2021-06-01,2021,,,
WoS-AR03,"Womack, Steve",M,2057-02-18,Republican,AR,3,0,rep_stevewomack,2011-01-01,2011,,,
BeA-FL04,"Bean, Aaron",M,2067-01-25,Republican,FL,4,0,RepAaronBean,2022-01-01,2022,,,
AbR-LA05,"Abraham, Ralph Lee",M,2054-09-16,Republican,LA,5,0,RepAbraham,2015-01-01,2015,,,
AdA-NC12,"Adams, Alma S.",F,2046-05-27,Democratic,NC,12,0,RepAdams,2014-01-01,2014,,,
ScA-CA30,"Schiff, Adam B.",M,2060-06-22,Democratic,CA,30,109,RepAdamSchiff,2009-04-01,2009,2005-01-03,2007-01-03,-55
SmA-WA09,"Smith, Adam",M,2065-06-15,Democratic,WA,9,109,RepAdamSmith,2009-03-01,2009,2005-01-03,2007-01-03,-60
SmA-NE03,"Smith, Adrian",M,1970-12-19,Republican,NE,3,0,RepAdrianSmith,2011-01-01,2011,,,
MoA-WV02,"Mooney, Alexander X.",M,1971-06-07,Republican,WV,2,0,RepAlexMooney,2015-01-01,2015,,,
RaA-AS00,"Radewagen, Aumua Amata Coleman",F,2047-12-29,Republican,AS,0,0,RepAmata,2015-02-01,2015,,,
CaA-IN07,"Carson, Andre",M,1974-10-16,Democratic,IN,7,0,RepAndreCarson,2010-10-01,2010,,,
BaA-KY06,"Barr, Andy",M,1973-07-24,Republican,KY,6,0,RepAndyBarr,2013-01-01,2013,,,
BiA-AZ05,"Biggs, Andy",M,2058-11-07,Republican,AZ,5,0,RepAndyBiggsAZ,2017-01-01,2017,,,
HaA-MD01,"Harris, Andy",M,2057-01-25,Republican,MD,1,0,RepAndyHarrisMD,2012-01-01,2012,,,
KiA-NJ03,"Kim, Andy",M,1982-07-12,Democratic,NJ,3,0,RepAndyKimNJ,2018-01-01,2018,,,
LeA-MI09,"Levin, Andy",M,2060-08-10,Democratic,MI,9,0,RepAndyLevin,2019-01-01,2019,,,
CrA-MN02,"Craig, Angie",F,1972-02-14,Democratic,MN,2,0,RepAngieCraig,2019-01-01,2019,,,
EsA-CA16,"Eshoo, Anna G.",F,2042-12-13,Democratic,CA,16,109,RepAnnaEshoo,2011-02-01,2011,2005-01-03,2007-01-03,-37
KuA-NH02,"Kuster, Ann M.",F,2056-09-05,Democratic,NH,2,0,RepAnnieKuster,2013-01-01,2013,,,
WaA-MO02,"Wagner, Ann",F,2062-09-13,Republican,MO,2,0,RepAnnWagner,2012-01-01,2012,,,
OcA-NY14,"Ocasio-Cortez, Alexandria",F,1989-10-13,Democratic,NY,14,0,RepAOC,2018-01-01,2018,,,
ArK-ND00,"Armstrong, Kelly",F,1976-10-08,Republican,ND,0,0,RepArmstrongND,2019-01-01,2019,,,
ArJ-TX19,"Arrington, Jodey C.",M,1972-03-09,Republican,TX,19,0,RepArrington,2017-01-01,2017,,,
HiA-IA02,"Hinson, Ashley",F,1983-06-27,Republican,IA,2,0,RepAshleyHinson,2020-01-01,2020,,,
AuJ-MA04,"Auchincloss, Jake",M,1988-01-29,Democratic,MA,4,0,RepAuchincloss,2020-01-01,2020,,,
BaT-OH12,"Balderson, Troy",M,2062-01-16,Republican,OH,12,0,RepBalderson,2018-09-01,2018,,,
LeB-CA12,"Lee, Barbara",F,2046-07-16,Democratic,CA,12,109,RepBarbaraLee,2011-02-01,2011,2005-01-03,2007-01-03,-41
BaN-CA44,"Barragan, Nanette Diaz",F,1976-09-15,Democratic,CA,44,0,RepBarragan,2017-01-01,2017,,,
BaJ-SC03,"Barrett, J. Gresham",M,2061-02-14,Republican,SC,3,109,RepBarrett,2009-01-01,2009,2005-01-03,2007-01-03,-56
MoB-AL02,"Moore, Barry",M,2066-09-26,Republican,AL,2,0,RepBarryMoore,2020-01-01,2020,,,
BeJ-OH03,"Beatty, Joyce",F,2050-03-12,Democratic,OH,3,0,RepBeatty,2013-03-01,2013,,,
BaB-VT00,"Balint, Becca",F,2068-05-04,Democratic,VT,0,0,RepBeccaB,2022-01-01,2022,,,
ClB-VA06,"Cline, Ben",M,1972-02-29,Republican,VA,6,0,RepBenCline,2018-01-01,2018,,,
BeC-OR02,"Bentz, Cliff",M,2052-01-12,Republican,OR,2,0,RepBentz,2021-01-01,2021,,,
BeA-CA06,"Bera, Ami",M,2065-03-02,Democratic,CA,6,0,RepBera,2012-11-01,2012,,,
VaB-TX24,"Van Duyne, Beth",F,1970-11-16,Republican,TX,24,0,RepBethVanDuyne,2020-12-01,2020,,,
BiS-OK05,"Bice, Stephanie I.",F,1973-11-11,Republican,OK,5,0,RepBice,2020-12-01,2020,,,
FoB-IL11,"Foster, Bill",M,2055-10-07,Democratic,IL,11,0,RepBillFoster,2013-01-01,2013,,,
JoB-OH06,"Johnson, Bill",M,2054-11-10,Republican,OH,6,0,RepBillJohnson,2010-11-01,2010,,,
LuB-MO03,"Luetkemeyer, Blaine",M,2052-05-07,Republican,MO,3,0,RepBlaine,2013-09-01,2013,,,
MoB-UT01,"Moore, Blake D.",M,1980-06-22,Republican,UT,1,0,RepBlakeMoore,2020-12-01,2020,,,
BlE-OR03,"Blumenauer, Earl",M,2048-08-16,Democratic,OR,3,109,repblumenauer,2008-08-01,2008,2005-01-03,2007-01-03,-43
GoB-VA05,"Good, Bob",M,2065-09-11,Republican,VA,5,0,RepBobGood,2021-01-01,2021,,,
BoL-CO03,"Boebert, Lauren",F,1986-12-19,Republican,CO,3,0,RepBoebert,2020-12-01,2020,,,
BoS-OR01,"Bonamici, Suzanne",F,2054-10-14,Democratic,OR,1,0,RepBonamici,2012-04-01,2012,,,
WaB-NJ12,"Watson Coleman, Bonnie",F,2045-02-06,Democratic,NJ,12,0,RepBonnie,2015-01-01,2015,,,
BoM-IL12,"Bost, Mike",M,2060-12-30,Republican,IL,12,0,RepBost,2015-01-01,2015,,,
BoJ-NY16,"Bowman, Jamaal",M,1976-04-01,Democratic,NY,16,0,RepBowman,2020-12-01,2020,,,
AsB-NE02,"Ashford, Brad",M,2049-11-10,Democratic,NE,2,0,RepBradAshford,2015-01-01,2015,,,
WeB-OH02,"Wenstrup, Brad R.",M,2058-06-17,Republican,OH,2,0,RepBradWenstrup,2012-03-01,2012,,,
BrJ-OK02,"Brecheen, Josh",M,1979-06-19,Republican,OK,2,0,RepBrecheen,2022-12-01,2022,,,
BaB-TX36,"Babin, Brian",M,2048-03-23,Republican,TX,36,0,RepBrianBabin,2014-12-01,2014,,,
FiB-PA01,"Fitzpatrick, Brian K.",M,1973-12-17,Republican,PA,1,0,RepBrianFitz,2017-01-01,2017,,,
HiB-NY26,"Higgins, Brian",M,2059-10-06,Democratic,NY,26,109,RepBrianHiggins,2009-04-01,2009,2005-01-03,2007-01-03,-54
MaB-FL21,"Mast, Brian J.",M,1980-07-10,Republican,FL,21,0,RepBrianMast,2016-12-01,2016,,,
BrA-NY22,"Brindisi, Anthony",M,1978-11-22,Democratic,NY,22,0,RepBrindisi,2019-01-01,2019,,,
BrJ-CA26,"Brownley, Julia",F,2052-08-28,Democratic,CA,26,0,RepBrownley,2013-03-01,2013,,,
StB-WI01,"Steil, Bryan",M,1981-03-03,Republican,WI,1,0,RepBryanSteil,2018-12-01,2018,,,
CaE-GA01,"Carter, Earl L. Buddy",M,2057-09-06,Republican,GA,1,0,RepBuddyCarter,2015-01-15,2015,,,
OwB-UT04,"Owens, Burgess",M,2051-08-02,Republican,UT,4,0,RepBurgessOwens,2020-12-01,2020,,,
CaY-CO08,"Caraveo, Yadira",F,1980-12-23,Democratic,CO,8,0,RepCaraveoMD,2023-01-01,2023,,,
CaS-CA24,"Carbajal, Salud O.",M,2064-11-18,Democratic,CA,24,0,RepCarbajal,2017-01-01,2017,,,
CaT-CA29,"Cardenas, Tony",M,2063-03-31,Democratic,CA,29,0,repcardenas,2013-02-01,2013,,,
CaD-CA18,"Cardoza, Dennis A.",M,2059-03-31,Democratic,CA,18,109,RepCardoza,2010-01-01,2010,2005-01-03,2007-01-03,-54
GiC-FL28,"Gimenez, Carlos A.",M,2054-01-17,Republican,FL,28,0,RepCarlos,2020-12-01,2020,,,
MiC-WV01,"Miller, Carol D.",F,2050-11-04,Republican,WV,1,0,RepCarolMiller,2019-01-01,2019,,,
CaM-PA08,"Cartwright, Matt",M,2061-05-01,Democratic,PA,8,0,RepCartwright,2012-08-01,2012,,,
CaG-TX35,"Casar, Greg",M,1989-05-04,Democratic,TX,35,0,RepCasar,2022-03-01,2022,,,
CaS-IL06,"Casten, Sean",M,1971-11-23,Democratic,IL,6,0,RepCasten,2019-01-01,2019,,,
CaM-NC11,"Cawthorn, Madison",M,1995-08-01,Republican,NC,11,0,RepCawthorn,2020-12-01,2020,,,
BaC-NH02,"Bass, Charles F.",M,2052-01-08,Republican,NH,2,109,RepCharlesBass,2011-01-01,2011,2005-01-03,2007-01-03,-47
DjC-HI01,"Djou, Charles K.",M,1970-08-09,Republican,HI,1,0,RepCharlesDjou,2010-06-01,2010,,,
DeC-PA15,"Dent, Charles W.",M,2060-05-24,Republican,PA,15,109,RepCharlieDent,2011-01-01,2011,2005-01-03,2007-01-03,-55
BuC-IL17,"Bustos, Cheri",F,2061-10-17,Democratic,IL,17,0,RepCheri,2013-01-01,2013,,,
RoC-TX21,"Roy, Chip",M,1972-08-07,Republican,TX,21,0,RepChipRoy,2019-01-01,2019,,,
PaC-NH01,"Pappas, Chris",M,1980-06-04,Democratic,NH,1,0,RepChrisPappas,2018-01-01,2018,,,
StC-UT02,"Stewart, Chris",M,2060-07-15,Republican,UT,2,0,RepChrisStewart,2013-01-01,2013,,,
FlC-TN03,"Fleischmann, Charles J. Chuck",M,2062-10-11,Republican,TN,3,0,RepChuck,2011-01-01,2011,,,
CiJ-AZ06,"Ciscomani, Juan",M,1982-08-31,Republican,AZ,6,0,RepCiscomani,2022-12-01,2022,,,
HiC-LA03,"Higgins, Clay",M,2061-08-24,Republican,LA,3,0,RepClayHiggins,2017-03-01,2017,,,
ClE-MO05,"Cleaver, Emanuel",M,2044-10-26,Democratic,MO,5,109,repcleaver,2020-07-01,2020,2005-01-03,2007-01-03,-39
StC-FL06,"Stearns, Cliff",M,2041-04-16,Republican,FL,6,109,RepCliffStearns,2009-02-01,2009,2005-01-03,2007-01-03,-36
ClM-TX27,"Cloud, Michael",M,1975-05-13,Republican,TX,27,0,RepCloudTX,2018-09-01,2018,,,
CoS-TN09,"Cohen, Steve",M,2049-05-24,Democratic,TN,9,0,RepCohen,2010-07-01,2010,,,
AlC-TX32,"Allred, Colin Z.",M,1983-04-15,Democratic,TX,32,0,RepColinAllred,2018-12-01,2018,,,
CoC-CA22,"Conway, Connie",F,2050-09-25,Republican,CA,22,0,RepConnieConway,2022-07-01,2022,,,
BuC-MO01,"Bush, Cori",F,1976-07-21,Democratic,MO,1,0,RepCori,2018-06-01,2018,,,
CuH-TX28,"Cuellar, Henry",M,2055-09-19,Democratic,TX,28,109,RepCuellar,2010-11-01,2010,2005-01-03,2007-01-03,-50
CuE-MD07,"Cummings, Elijah E.",M,2051-01-18,Democratic,MD,7,109,RepCummings,2012-08-01,2012,2005-01-03,2007-01-03,-46
CuJ-SC01,"Cunningham, Joe",M,1982-05-26,Democratic,SC,1,0,RepCunningham,2019-01-01,2019,,,
ClC-FL19,"Clawson, Curt",M,2059-09-28,Republican,FL,19,0,RepCurtClawson,2014-08-01,2014,,,
StD-AL05,"Strong, Dale W.",M,1970-05-08,Republican,AL,5,0,RepDaleStrong,2017-01-01,2017,,,
BiD-NC08,"Bishop, Dan",M,2064-07-01,Republican,NC,8,0,RepDanBishop,2019-09-01,2019,,,
CrD-TX02,"Crenshaw, Dan",M,1984-03-14,Republican,TX,2,0,RepDanCrenshaw,2019-01-01,2019,,,
DoD-NY11,"Donovan, Daniel M., Jr.",M,2056-11-06,Republican,NY,11,0,RepDanDonovan,2015-07-01,2015,,,
GoD-NY10,"Goldman, Daniel S.",M,1976-02-26,Democratic,NY,10,0,RepDanGoldman,2023-01-01,2023,,,
KiD-MI08,"Kildee, Daniel T.",M,2058-08-11,Democratic,MI,8,0,RepDanKildee,2012-12-01,2012,,,
