uniqueid,fullname,gender,dob,party,stateabr,district,congress111,twitterhandle,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted,Twitter,joined111,NT
ReJ-OH16,"Renacci, James B.",M,12/3/58,Republican,OH,16,0,JimRenacci,2/1/14,2014,,,,,,
RyJ-KS02,"Ryun, Jim",M,4/29/47,Republican,KS,2,0,jimryun,12/1/09,2009,,,,1.00,1,
MoJ-GU00,"Moylan, James C.",M,7/18/62,Republican,GU,0,0,JMoylanforGuam,12/1/22,2022,,,,,,
CaJ-TX20,"Castro, Joaquin",M,9/16/74,Democratic,TX,20,0,JoaquinCastrotx,1/1/10,2010,,,,1.00,1,
CrJ-NY14,"Crowley, Joseph",M,3/16/62,Democratic,NY,14,111,JoeCrowleyNY,2/1/10,2010,1/3/09,1/3/11,-53,1.00,1,Has Twitter
GaJ-FL26,"Garcia, Joe",M,10/19/63,Democratic,FL,26,0,JoeGarcia,12/1/07,2007,,,,1.00,,
KeJ-MA04,"Kennedy, Joseph P., III",M,10/4/80,Democratic,MA,4,0,joekennedy,1/1/13,2013,,,,,,
PiJ-PA16,"Pitts, Joseph R.",M,10/10/39,Republican,PA,16,111,JoePitts4PA,2/1/10,2010,1/3/09,1/3/11,-30,1.00,1,Has Twitter
SeJ-NY23,"Sempolinski, Joseph",M,2/10/83,Republican,NY,23,0,JoeSempo,1/1/21,2021,,,,,,
SeJ-PA07,"Sestak, Joe",M,12/12/51,Democratic,PA,7,111,JoeSestak,6/1/09,2009,1/3/09,1/3/11,-42,1.00,1,Has Twitter
BaJ-GA12,"Barrow, John",M,10/31/55,Democratic,GA,12,111,JohnBarrowMC,4/1/20,2020,1/3/09,1/3/11,-46,,,No Twitter
BoJ-AR03,"Boozman, John",M,12/10/50,Republican,AR,3,111,JohnBoozman,4/1/07,2007,1/3/09,1/3/11,-41,1.00,,Has Twitter
CaJ-DE00,"Carney, John C., Jr.",M,5/20/56,Democratic,DE,0,0,JohnCarneyDE,1/1/11,2011,,,,,,
CuJ-TX07,"Culberson, John Abney",M,8/24/56,Republican,TX,7,111,johnculberson,5/1/08,2008,1/3/09,1/3/11,-47,1.00,,Has Twitter
DeJ-MD06,"Delaney, John K.",M,4/16/63,Democratic,MD,6,0,JohnDelaney,12/1/11,2011,,,,,,
DiJ-MI12,"Dingell, John D.",M,7/8/26,Democratic,MI,12,111,JohnDingell,1/1/10,2010,1/3/09,1/3/11,-17,1.00,1,Has Twitter
JaJ-MI10,"James, John",M,6/8/81,Republican,MI,10,0,JohnJamesMI,5/1/17,2017,,,,,,
RaJ-TX04,"Ratcliffe, John",M,10/20/65,Republican,TX,4,0,JohnRatcliffe,10/1/14,2014,,,,,,
YaJ-KY03,"Yarmuth, John A.",M,11/4/47,Democratic,KY,3,111,JohnYarmuth,10/1/11,2011,1/3/09,1/3/11,-38,,,No Twitter
PoJ-NV03,"Porter, Jon C.",M,5/16/55,Republican,NV,3,0,jportertweets,10/1/11,2011,,,,,,
DoJ-CA04,"Doolittle, John T.",M,10/30/50,Republican,CA,4,0,jtdoolittle1950,9/1/14,2014,,,,,,
CaJ-TX31,"Carter, John R.",M,11/6/41,Republican,TX,31,111,JudgeCarter,12/1/08,2008,1/3/09,1/3/11,-32,1.00,,Has Twitter
PoT-TX02,"Poe, Ted",M,9/10/48,Republican,TX,2,111,JudgeTedPoe,9/1/09,2009,1/3/09,1/3/11,-39,1.00,1,Has Twitter
BiJ-IL13,"Biggert, Judy",F,8/15/37,Republican,IL,13,111,JudyBiggert,2/1/09,2009,1/3/09,1/3/11,-28,1.00,1,Has Twitter
AmJ-MI03,"Amash, Justin",M,4/18/80,Libertarian,MI,3,0,justinamash,1/1/11,2011,,,,,,
RiK-NY04,"Rice, Kathleen M.",F,2/15/65,Democratic,NY,4,0,KathleenRice,10/1/09,2009,,,,1.00,1,
MaK-NC06,"Manning, Kathy E.",F,12/3/56,Democratic,NC,6,0,KathyManningNC,12/1/17,2017,,,,,,
DaK-PA03,"Dahlkemper, Kathleen A.",F,12/10/57,Democratic,PA,3,111,kdahlkemper,4/1/11,2011,1/3/09,1/3/11,-48,,,No Twitter
ElK-MN05,"Ellison, Keith",M,8/4/63,Democratic,MN,5,111,keithellison,3/1/08,2008,1/3/09,1/3/11,-54,1.00,,Has Twitter
RoK-PA12,"Rothfus, Keith J.",M,4/25/62,Republican,PA,12,0,KeithRothfus,2/1/13,2013,,,,,,
KeR-FL08,"Keller, Ric",M,9/5/64,Republican,FL,8,0,keller_ric,2/1/19,2019,,,,,,
CaK-CA41,"Calvert, Ken",M,6/8/53,Republican,CA,41,111,KenCalvert,1/1/09,2009,1/3/09,1/3/11,-44,1.00,1,Has Twitter
MeK-FL17,"Meek, Kendrick B.",M,9/6/66,Democratic,FL,17,111,KendrickMeek,3/1/09,2009,1/3/09,1/3/11,-57,1.00,1,Has Twitter
BeK-MI11,"Bentivolio, Kerry L.",M,10/6/51,Republican,MI,11,0,KerryB4Congress,7/1/12,2012,,,,,,
YoK-KS03,"Yoder, Kevin",M,11/8/76,Republican,KS,3,0,kevinyoder,2/1/11,2011,,,,,,
SaG-MP00,"Sablan, Gregorio Kilili Camacho",M,1/19/55,Democratic,MP,0,111,Kilili_Sablan,11/1/17,2017,1/3/09,1/3/11,-46,,,No Twitter
NoK-SD00,"Noem, Kristi L.",F,11/30/71,Republican,SD,0,0,KristiNoem,2/1/10,2010,,,,1.00,1,
HaK-GA05,"Hall, Kwanza",M,5/1/71,Democratic,GA,5,0,kwanzahall,9/1/07,2007,,,,1.00,,
ClW-MO01,"Clay, Wm. Lacy",M,7/27/56,Democratic,MO,1,111,LacyClayMO1,5/1/12,2012,1/3/09,1/3/11,-47,,,No Twitter
SmL-TX21,"Smith, Lamar",M,11/19/47,Republican,TX,21,111,LamarSmithTX21,8/1/08,2008,1/3/09,1/3/11,-38,1.00,,Has Twitter
GoL-TX05,"Gooden, Lance",M,12/1/82,Republican,TX,5,0,Lancegooden,8/1/18,2018,,,,,,
LaS-OH14,"LaTourette, Steven C.",M,7/22/54,Republican,OH,14,111,LaTourette,1/1/09,2009,1/3/09,1/3/11,-45,1.00,1,Has Twitter
ZeL-NY01,"Zeldin, Lee M.",M,1/30/80,Republican,NY,1,0,LeeMZeldin,8/1/14,2014,,,,,,
TeL-NE02,"Terry, Lee",M,1/29/62,Republican,NE,2,111,LEETERRYNE,12/1/08,2008,1/3/09,1/3/11,-53,1.00,,Has Twitter
BoL-IA03,"Boswell, Leonard L.",M,1/10/34,Democratic,IA,3,111,LeonardBoswell,2/1/09,2009,1/3/09,1/3/11,-25,1.00,1,Has Twitter
LeJ-MN02,"Lewis, Jason",M,9/23/55,Republican,MN,2,0,LewisForMN,9/1/09,2009,,,,1.00,1,
DiL-FL21,"Diaz-Balart, Lincoln",M,8/13/54,Republican,FL,21,111,LincolnDBalart,8/1/12,2012,1/3/09,1/3/11,-45,,,No Twitter
LiJ-GA07,"Linder, John",M,9/9/42,Republican,GA,7,111,linderje,12/1/13,2013,1/3/09,1/3/11,-33,,,No Twitter
ChL-WY00,"Cheney, Liz",F,7/28/66,Republican,WY,0,0,Liz_Cheney,12/1/09,2009,,,,1.00,1,
SaL-CA46,"Sanchez, Loretta",F,1/7/60,Democratic,CA,46,111,LorettaSanchez,1/1/10,2010,1/3/09,1/3/11,-51,1.00,1,Has Twitter
GoL-TX01,"Gohmert, Louie",M,8/18/53,Republican,TX,1,111,LouieGohmertTX1,1/1/16,2016,1/3/09,1/3/11,-44,,,No Twitter
SlL-NY25,"Slaughter, Louise McIntosh",F,8/14/29,Democratic,NY,25,111,louiseslaughter,8/1/09,2009,1/3/09,1/3/11,-20,1.00,1,Has Twitter
LoN-NY17,"Lowey, Nita M.",F,7/5/37,Democratic,NY,17,111,Lowey4Congress,8/1/12,2012,1/3/09,1/3/11,-28,,,No Twitter
FoL-PR00,"Fortuno, Luis G.",M,10/31/60,Republican,PR,0,0,luisfortuno51,8/1/10,2010,,,,1.00,1,
WoL-CA06,"Woolsey, Lynn C.",F,11/3/37,Democratic,CA,6,111,lynnwoolsey,4/1/09,2009,1/3/09,1/3/11,-28,1.00,1,Has Twitter
ThM-TX13,"Thornberry, Mac",M,7/15/58,Republican,TX,13,111,MacTXPress,9/1/11,2011,1/3/09,1/3/11,-49,,,No Twitter
MaT-NJ07,"Malinowski, Tom",M,9/23/65,Democratic,NJ,7,0,Malinowski,12/1/16,2016,,,,,,
MaT-PA12,"Marino, Tom",M,8/15/52,Republican,PA,12,0,MarinoPA10,9/1/14,2014,,,,,,
DiM-FL26,"Diaz-Balart, Mario",M,9/25/61,Republican,FL,26,111,MarioDB,1/1/09,2009,1/3/09,1/3/11,-52,1.00,1,Has Twitter
AmM-NV02,"Amodei, Mark E.",M,6/12/58,Republican,NV,2,0,MarkAmodeiNV2,11/1/11,2011,,,,,,
MeM-NC11,"Meadows, Mark",M,7/28/59,Republican,NC,11,0,MarkMeadows,11/1/12,2012,,,,,,
SaM-SC01,"Sanford, Mark",M,5/28/60,Republican,SC,1,0,MarkSanford,4/1/09,2009,,,,1.00,1,
UdM-CO02,"Udall, Mark",M,7/18/50,Democratic,CO,2,0,MarkUdall,8/1/07,2007,,,,1.00,,
BlM-TN07,"Blackburn, Marsha",F,6/6/52,Republican,TN,7,111,MarshaBlackburn,4/1/11,2011,1/3/09,1/3/11,-43,,,No Twitter
McM-AZ02,"McSally, Martha",F,3/22/66,Republican,AZ,2,0,MarthaMcSallyAZ,2/1/12,2012,,,,,,
RoM-AL02,"Roby, Martha",F,7/27/76,Republican,AL,2,0,MarthaRobyAL,12/1/10,2010,,,,1.00,1,
HeM-NM01,"Heinrich, Martin",M,10/17/71,Democratic,NM,1,111,MartinHeinrich,1/1/13,2013,1/3/09,1/3/11,37,,,No Twitter
MeM-MA05,"Meehan, Martin T.",M,12/30/56,Democratic,MA,5,0,MartyMeehan,11/1/15,2015,,,,,,
BoM-CA45,"Bono Mack, Mary",F,10/24/61,Republican,CA,45,111,MaryBonoUSA,1/1/09,2009,1/3/09,1/3/11,-52,1.00,1,Has Twitter
KiM-OH15,"Kilroy, Mary Jo",F,4/30/49,Democratic,OH,15,111,MaryJoKilroy,6/1/08,2008,1/3/09,1/3/11,-40,1.00,,Has Twitter
SaM-AZ05,"Salmon, Matt",M,1/21/58,Republican,AZ,5,0,MattSalmonAZ,4/1/11,2011,,,,,,
HiM-NY22,"Hinchey, Maurice D.",M,10/27/38,Democratic,NY,22,111,mauricehinchey,9/1/09,2009,1/3/09,1/3/11,-29,1.00,1,Has Twitter
MiM-OH07,"Miller, Max L.",M,11/13/88,Republican,OH,7,0,MaxMillerOH,7/1/19,2019,,,,,,
FlM-TX34,"Flores, Mayra",F,1/1/86,Republican,TX,34,0,MayraFlores2022,11/1/09,2009,,,,1.00,1,
HiM-HI02,"Hirono, Mazie K.",F,11/3/47,Democratic,HI,2,111,maziehirono,11/1/09,2009,1/3/09,1/3/11,-38,1.00,1,Has Twitter
MeC-LA03,"Melancon, Charlie",M,10/3/47,Democratic,LA,3,111,melancon2010,8/1/09,2009,1/3/09,1/3/11,-38,1.00,1,Has Twitter
LoM-UT04,"Love, Mia B.",F,12/6/75,Republican,UT,4,0,MiaBLove,7/1/11,2011,,,,,,
BuM-TX26,"Burgess, Michael C.",M,12/23/50,Republican,TX,26,111,michaelcburgess,8/1/08,2008,1/3/09,1/3/11,-41,1.00,,Has Twitter
GrM-NY11,"Grimm, Michael G.",M,2/7/70,Republican,NY,11,0,MichaelGrimmNY,8/1/17,2017,,,,,,
MiM-ME02,"Michaud, Michael H.",M,1/18/55,Democratic,ME,2,111,Michaud2014,6/1/13,2013,1/3/09,1/3/11,-46,,,No Twitter
BaM-MN06,"Bachmann, Michele",F,4/6/56,Republican,MN,6,111,MicheleBachmann,12/1/08,2008,1/3/09,1/3/11,-47,1.00,,Has Twitter
LuM-NM01,"Lujan Grisham, Michelle",F,10/24/59,Democratic,NM,1,0,Michelle4NM,9/1/11,2011,,,,,,
MuM-SC05,"Mulvaney, Mick",M,7/21/67,Republican,SC,5,0,MickMulvaneyOMB,7/1/17,2017,,,,,,
TrD-MI11,"Trott, David A.",M,10/16/60,Republican,MI,11,0,MIDaveTrott,11/1/14,2014,,,,,,
PeM-IN06,"Pence, Mike",M,6/7/59,Republican,IN,6,111,Mike_Pence,2/1/09,2009,1/3/09,1/3/11,-50,1.00,1,Has Twitter
BiM-MI08,"Bishop, Mike",M,3/18/67,Republican,MI,8,0,MikeBishopMI,5/1/09,2009,,,,1.00,1,
CaM-MA07,"Capuano, Michael E.",M,1/9/52,Democratic,MA,7,111,mikecapuano,9/1/09,2009,1/3/09,1/3/11,-43,1.00,1,Has Twitter
KeM-PA16,"Kelly, Mike",M,5/10/48,Republican,PA,16,0,MikeKellyPA,1/1/12,2012,,,,,,
McM-NC07,"McIntyre, Mike",M,8/6/56,Democratic,NC,7,111,MikeMcIntyreNC,6/1/09,2009,1/3/09,1/3/11,-47,1.00,1,Has Twitter
PoM-KS04,"Pompeo, Mike",M,12/30/63,Republican,KS,4,0,mikepompeo,8/1/19,2019,,,,,,
RoM-AR04,"Ross, Mike",M,8/2/61,Democratic,AR,4,111,MikeRossUpdates,1/1/10,2010,1/3/09,1/3/11,-52,1.00,1,Has Twitter
WaM-CA45,"Walters, Mimi",F,5/14/62,Republican,CA,45,0,MimiWaltersCA,2/1/14,2014,,,,,,
JoM-NY17,"Jones, Mondaire",M,5/18/87,Democratic,NY,17,0,MondaireJones,6/1/17,2017,,,,,,
HaN-NY19,"Hayworth, Nan A. S.",F,12/14/59,Republican,NY,19,0,NanHayworth,1/1/11,2011,,,,,,
DeN-GA09,"Deal, Nathan",M,8/25/42,Republican,GA,9,111,NathanDeal,6/1/09,2009,1/3/09,1/3/11,-33,1.00,1,Has Twitter
AbN-HI01,"Abercrombie, Neil",M,6/26/38,Democratic,HI,1,111,neilabercrombie,11/1/07,2007,1/3/09,1/3/11,-29,1.00,,Has Twitter
LaN-NY23,"Langworthy, Nicholas A.",M,2/27/81,Republican,NY,23,0,NickLangworthy,1/1/09,2009,,,,1.00,1,
LaN-TX22,"Lampson, Nick",M,2/14/45,Democratic,TX,22,0,nlampson,2/1/09,2009,,,,1.00,1,
ToN-CA35,"Torres, Norma J.",F,4/4/65,Democratic,CA,35,0,NormaJTorres,1/1/11,2011,,,,,,
VeN-NY07,"Velazquez, Nydia M.",F,3/28/53,Democratic,NY,7,111,NydiaVelazquez,7/1/10,2010,1/3/09,1/3/11,-44,1.00,1,Has Twitter
BrA-MD04,"Brown, Anthony G.",M,11/21/61,Democratic,MD,4,0,OAGMaryland,1/1/17,2017,,,,,,
MeP-PA07,"Meehan, Patrick",M,10/20/55,Republican,PA,7,0,PatMeehanPA,1/1/10,2010,,,,1.00,1,
McP-NC10,"McHenry, Patrick T.",M,11/22/75,Republican,NC,10,111,PatrickMcHenry,3/1/09,2009,1/3/09,1/3/11,33,1.00,1,Has Twitter
MuP-FL18,"Murphy, Patrick",M,3/30/83,Democratic,FL,18,0,PatrickMurphyFL,3/1/11,2011,,,,,,
MuP-PA08,"Murphy, Patrick J.",M,10/19/73,Democratic,PA,8,111,PatrickMurphyPA,10/1/10,2010,1/3/09,1/3/11,35,1.00,1,Has Twitter
TiP-OH12,"Tiberi, Patrick J.",M,10/21/62,Republican,OH,12,111,PatTiberi,10/1/12,2012,1/3/09,1/3/11,-53,,,No Twitter
BrP-GA10,"Broun, Paul C.",M,5/14/46,Republican,GA,10,111,PaulBrounforGA,9/1/10,2010,1/3/09,1/3/11,-37,1.00,1,Has Twitter
HoP-NH02,"Hodes, Paul W.",M,3/21/51,Democratic,NH,2,111,paulhodes1,4/1/13,2013,1/3/09,1/3/11,-42,,,No Twitter
GrA-TX09,"Green, Al",M,9/1/47,Democratic,TX,9,111,RepAlGreen,4/1/10,2010,1/3/09,1/3/11,-38,1.00,1,Has Twitter
KaP-PA11,"Kanjorski, Paul E.",M,4/2/37,Democratic,PA,11,111,PaulKanjorski,6/1/10,2010,1/3/09,1/3/11,-28,1.00,1,Has Twitter
PeS-NM02,"Pearce, Stevan",M,8/24/47,Republican,NM,2,0,Pearce4NM,5/1/09,2009,,,,1.00,1,
PiP-PR00,"Pierluisi, Pedro R.",M,4/26/59,Democratic,PR,0,111,pedropierluisi,4/1/09,2009,1/3/09,1/3/11,-50,1.00,1,Has Twitter
GaP-TX23,"Gallego, Pete P.",M,12/2/61,Democratic,TX,23,0,petegallego,8/1/09,2009,,,,1.00,1,
RoP-IL06,"Roskam, Peter J.",M,9/13/61,Republican,IL,6,111,PeterRoskam,2/1/09,2009,1/3/09,1/3/11,-52,1.00,1,Has Twitter
WeP-VT00,"Welch, Peter",M,5/2/47,Democratic,VT,0,111,PeterWelch,5/1/13,2013,1/3/09,1/3/11,-38,,,No Twitter
SeP-TX17,"Sessions, Pete",M,3/22/55,Republican,TX,17,111,PeteSessions,1/1/09,2009,1/3/09,1/3/11,-46,1.00,1,Has Twitter
KeP-RI01,"Kennedy, Patrick J.",M,7/14/67,Democratic,RI,1,111,PJK4brainhealth,4/1/12,2012,1/3/09,1/3/11,-58,,,No Twitter
CaF-TX23,"Canseco, Francisco Quico",M,7/30/49,Republican,TX,23,0,QuicoCanseco,4/1/14,2014,,,,,,
EmR-IL05,"Emanuel, Rahm",M,11/29/59,Democratic,IL,5,0,RahmEmanuel,10/1/10,2010,,,,1.00,1,
HaR-TX04,"Hall, Ralph M.",M,5/3/23,Republican,TX,4,111,RalphHallPress,2/1/13,2013,1/3/09,1/3/11,-14,,,No Twitter
FoJ-VA04,"Forbes, J. Randy",M,2/17/52,Republican,VA,4,111,Randy_Forbes,6/1/08,2008,1/3/09,1/3/11,-43,1.00,,Has Twitter
NeR-TX19,"Neugebauer, Randy",M,12/24/49,Republican,TX,19,111,RandyNeugebauer,4/1/09,2009,1/3/09,1/3/11,-41,1.00,1,Has Twitter
LaR-ID01,"Labrador, Raul R.",M,12/8/67,Republican,ID,1,0,Raul_Labrador,2/1/11,2011,,,,,,
LaR-IL18,"LaHood, Ray",M,12/6/45,Republican,IL,18,0,RayLaHood,7/1/13,2013,,,,,,
CrM-PA12,"Critz, Mark S.",M,1/5/62,Democratic,PA,12,111,realMarkCritz,2/1/10,2010,1/3/09,1/3/11,-53,1.00,1,Has Twitter
ReR-AZ01,"Renzi, Rick",M,6/11/58,Republican,AZ,1,0,RenziRick,2/1/19,2019,,,,,,
ClA-GA09,"Clyde, Andrew S.",M,11/22/63,Republican,GA,9,0,Rep_Clyde,2/1/21,2021,,,,,,
JaJ-IL01,"Jackson, Jonathan L.",M,1/7/66,Democratic,IL,1,0,rep_jackson,1/1/23,2023,,,,,,
MaS-RI02,"Magaziner, Seth",M,7/22/83,Democratic,RI,2,0,Rep_Magaziner,1/1/23,2023,,,,,,
GrP-AL05,"Griffith, Parker",M,8/6/42,Republican,AL,5,111,Rep_P_Griffith,2/1/10,2010,1/3/09,1/3/11,-33,1.00,1,Has Twitter
PeM-AK00,"Peltola, Mary Sattler",F,8/31/73,Democratic,AK,0,0,rep_peltola,9/1/22,2022,,,,,,
SoS-FL02,"Southerland, Steve II",M,10/10/65,Republican,FL,2,0,Rep_Southerland,1/1/11,2011,,,,,,
StM-NM01,"Stansbury, Melanie Ann",F,1/31/79,Democratic,NM,1,0,Rep_Stansbury,6/1/21,2021,,,,,,
WoS-AR03,"Womack, Steve",M,2/18/57,Republican,AR,3,0,rep_stevewomack,1/1/11,2011,,,,,,
BeA-FL04,"Bean, Aaron",M,1/25/67,Republican,FL,4,0,RepAaronBean,1/1/22,2022,,,,,,
AbR-LA05,"Abraham, Ralph Lee",M,9/16/54,Republican,LA,5,0,RepAbraham,1/1/15,2015,,,,,,
AdA-NC12,"Adams, Alma S.",F,5/27/46,Democratic,NC,12,0,RepAdams,1/1/14,2014,,,,,,
ScA-CA30,"Schiff, Adam B.",M,6/22/60,Democratic,CA,30,111,RepAdamSchiff,4/1/09,2009,1/3/09,1/3/11,-51,1.00,1,Has Twitter
SmA-WA09,"Smith, Adam",M,6/15/65,Democratic,WA,9,111,RepAdamSmith,3/1/09,2009,1/3/09,1/3/11,-56,1.00,1,Has Twitter
SmA-NE03,"Smith, Adrian",M,12/19/70,Republican,NE,3,111,RepAdrianSmith,1/1/11,2011,1/3/09,1/3/11,38,,,No Twitter
MoA-WV02,"Mooney, Alexander X.",M,6/7/71,Republican,WV,2,0,RepAlexMooney,1/1/15,2015,,,,,,
RaA-AS00,"Radewagen, Aumua Amata Coleman",F,12/29/47,Republican,AS,0,0,RepAmata,2/1/15,2015,,,,,,
CaA-IN07,"Carson, Andre",M,10/16/74,Democratic,IN,7,111,RepAndreCarson,10/1/10,2010,1/3/09,1/3/11,34,1.00,1,Has Twitter
BaA-KY06,"Barr, Andy",M,7/24/73,Republican,KY,6,0,RepAndyBarr,1/1/13,2013,,,,,,
BiA-AZ05,"Biggs, Andy",M,11/7/58,Republican,AZ,5,0,RepAndyBiggsAZ,1/1/17,2017,,,,,,
HaA-MD01,"Harris, Andy",M,1/25/57,Republican,MD,1,0,RepAndyHarrisMD,1/1/12,2012,,,,,,
KiA-NJ03,"Kim, Andy",M,7/12/82,Democratic,NJ,3,0,RepAndyKimNJ,1/1/18,2018,,,,,,
LeA-MI09,"Levin, Andy",M,8/10/60,Democratic,MI,9,0,RepAndyLevin,1/1/19,2019,,,,,,
CrA-MN02,"Craig, Angie",F,2/14/72,Democratic,MN,2,0,RepAngieCraig,1/1/19,2019,,,,,,
EsA-CA16,"Eshoo, Anna G.",F,12/13/42,Democratic,CA,16,111,RepAnnaEshoo,2/1/11,2011,1/3/09,1/3/11,-33,,,No Twitter
KuA-NH02,"Kuster, Ann M.",F,9/5/56,Democratic,NH,2,0,RepAnnieKuster,1/1/13,2013,,,,,,
WaA-MO02,"Wagner, Ann",F,9/13/62,Republican,MO,2,0,RepAnnWagner,1/1/12,2012,,,,,,
OcA-NY14,"Ocasio-Cortez, Alexandria",F,10/13/89,Democratic,NY,14,0,RepAOC,1/1/18,2018,,,,,,
ArK-ND00,"Armstrong, Kelly",F,10/8/76,Republican,ND,0,0,RepArmstrongND,1/1/19,2019,,,,,,
ArJ-TX19,"Arrington, Jodey C.",M,3/9/72,Republican,TX,19,0,RepArrington,1/1/17,2017,,,,,,
HiA-IA02,"Hinson, Ashley",F,6/27/83,Republican,IA,2,0,RepAshleyHinson,1/1/20,2020,,,,,,
AuJ-MA04,"Auchincloss, Jake",M,1/29/88,Democratic,MA,4,0,RepAuchincloss,1/1/20,2020,,,,,,
BaT-OH12,"Balderson, Troy",M,1/16/62,Republican,OH,12,0,RepBalderson,9/1/18,2018,,,,,,
LeB-CA12,"Lee, Barbara",F,7/16/46,Democratic,CA,12,111,RepBarbaraLee,2/1/11,2011,1/3/09,1/3/11,-37,,,No Twitter
BaN-CA44,"Barragan, Nanette Diaz",F,9/15/76,Democratic,CA,44,0,RepBarragan,1/1/17,2017,,,,,,
BaJ-SC03,"Barrett, J. Gresham",M,2/14/61,Republican,SC,3,111,RepBarrett,1/1/09,2009,1/3/09,1/3/11,-52,1.00,1,Has Twitter
MoB-AL02,"Moore, Barry",M,9/26/66,Republican,AL,2,0,RepBarryMoore,1/1/20,2020,,,,,,
BeJ-OH03,"Beatty, Joyce",F,3/12/50,Democratic,OH,3,0,RepBeatty,3/1/13,2013,,,,,,
BaB-VT00,"Balint, Becca",F,5/4/68,Democratic,VT,0,0,RepBeccaB,1/1/22,2022,,,,,,
ClB-VA06,"Cline, Ben",M,2/29/72,Republican,VA,6,0,RepBenCline,1/1/18,2018,,,,,,
BeC-OR02,"Bentz, Cliff",M,1/12/52,Republican,OR,2,0,RepBentz,1/1/21,2021,,,,,,
BeA-CA06,"Bera, Ami",M,3/2/65,Democratic,CA,6,0,RepBera,11/1/12,2012,,,,,,
VaB-TX24,"Van Duyne, Beth",F,11/16/70,Republican,TX,24,0,RepBethVanDuyne,12/1/20,2020,,,,,,
BiS-OK05,"Bice, Stephanie I.",F,11/11/73,Republican,OK,5,0,RepBice,12/1/20,2020,,,,,,
FoB-IL11,"Foster, Bill",M,10/7/55,Democratic,IL,11,111,RepBillFoster,1/1/13,2013,1/3/09,1/3/11,-46,,,No Twitter
JoB-OH06,"Johnson, Bill",M,11/10/54,Republican,OH,6,0,RepBillJohnson,11/1/10,2010,,,,1.00,1,
LuB-MO03,"Luetkemeyer, Blaine",M,5/7/52,Republican,MO,3,111,RepBlaine,9/1/13,2013,1/3/09,1/3/11,-43,,,No Twitter
MoB-UT01,"Moore, Blake D.",M,6/22/80,Republican,UT,1,0,RepBlakeMoore,12/1/20,2020,,,,,,
BlE-OR03,"Blumenauer, Earl",M,8/16/48,Democratic,OR,3,111,repblumenauer,8/1/08,2008,1/3/09,1/3/11,-39,1.00,,Has Twitter
GoB-VA05,"Good, Bob",M,9/11/65,Republican,VA,5,0,RepBobGood,1/1/21,2021,,,,,,
BoL-CO03,"Boebert, Lauren",F,12/19/86,Republican,CO,3,0,RepBoebert,12/1/20,2020,,,,,,
BoS-OR01,"Bonamici, Suzanne",F,10/14/54,Democratic,OR,1,0,RepBonamici,4/1/12,2012,,,,,,
WaB-NJ12,"Watson Coleman, Bonnie",F,2/6/45,Democratic,NJ,12,0,RepBonnie,1/1/15,2015,,,,,,
BoM-IL12,"Bost, Mike",M,12/30/60,Republican,IL,12,0,RepBost,1/1/15,2015,,,,,,
BoJ-NY16,"Bowman, Jamaal",M,4/1/76,Democratic,NY,16,0,RepBowman,12/1/20,2020,,,,,,
AsB-NE02,"Ashford, Brad",M,11/10/49,Democratic,NE,2,0,RepBradAshford,1/1/15,2015,,,,,,
WeB-OH02,"Wenstrup, Brad R.",M,6/17/58,Republican,OH,2,0,RepBradWenstrup,3/1/12,2012,,,,,,
BrJ-OK02,"Brecheen, Josh",M,6/19/79,Republican,OK,2,0,RepBrecheen,12/1/22,2022,,,,,,
BaB-TX36,"Babin, Brian",M,3/23/48,Republican,TX,36,0,RepBrianBabin,12/1/14,2014,,,,,,
FiB-PA01,"Fitzpatrick, Brian K.",M,12/17/73,Republican,PA,1,0,RepBrianFitz,1/1/17,2017,,,,,,
HiB-NY26,"Higgins, Brian",M,10/6/59,Democratic,NY,26,111,RepBrianHiggins,4/1/09,2009,1/3/09,1/3/11,-50,1.00,1,Has Twitter
MaB-FL21,"Mast, Brian J.",M,7/10/80,Republican,FL,21,0,RepBrianMast,12/1/16,2016,,,,,,
BrA-NY22,"Brindisi, Anthony",M,11/22/78,Democratic,NY,22,0,RepBrindisi,1/1/19,2019,,,,,,
BrJ-CA26,"Brownley, Julia",F,8/28/52,Democratic,CA,26,0,RepBrownley,3/1/13,2013,,,,,,
StB-WI01,"Steil, Bryan",M,3/3/81,Republican,WI,1,0,RepBryanSteil,12/1/18,2018,,,,,,
CaE-GA01,"Carter, Earl L. Buddy",M,9/6/57,Republican,GA,1,0,RepBuddyCarter,1/15/15,2015,,,,,,
OwB-UT04,"Owens, Burgess",M,8/2/51,Republican,UT,4,0,RepBurgessOwens,12/1/20,2020,,,,,,
CaY-CO08,"Caraveo, Yadira",F,12/23/80,Democratic,CO,8,0,RepCaraveoMD,1/1/23,2023,,,,,,
CaS-CA24,"Carbajal, Salud O.",M,11/18/64,Democratic,CA,24,0,RepCarbajal,1/1/17,2017,,,,,,
CaT-CA29,"Cardenas, Tony",M,3/31/63,Democratic,CA,29,0,repcardenas,2/1/13,2013,,,,,,
CaD-CA18,"Cardoza, Dennis A.",M,3/31/59,Democratic,CA,18,111,RepCardoza,1/1/10,2010,1/3/09,1/3/11,-50,1.00,1,Has Twitter
