uniqueid,fullname,gender,dob,party,stateabr,district,congress109,twitterhandle,Twitter,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted,joined109
LeJ-CA41,"Lewis, Jerry",M,10/21/34,Republican,CA,41,109,RepJerryLewis,1,9/1/09,2009,1/3/05,1/3/07,-29,
NaJ-NY12,"Nadler, Jerrold",M,6/13/47,Democratic,NY,12,109,RepJerryNadler,1,5/1/09,2009,1/3/05,1/3/07,-42,
CoJ-CA21,"Costa, Jim",M,4/13/52,Democratic,CA,21,109,RepJimCosta,1,1/1/11,2011,1/3/05,1/3/07,-47,
MaJ-UT04,"Matheson, Jim",M,3/21/60,Democratic,UT,4,109,RepJimMatheson,1,6/1/09,2009,1/3/05,1/3/07,-55,
McJ-WA07,"McDermott, Jim",M,12/28/36,Democratic,WA,7,109,RepJimMcDermott,1,4/1/10,2010,1/3/05,1/3/07,-32,
BaJ-TX06,"Barton, Joe",M,9/15/49,Republican,TX,6,109,RepJoeBarton,1,2/1/09,2009,1/3/05,1/3/07,-44,
WiJ-SC02,"Wilson, Joe",M,7/31/47,Republican,SC,2,109,RepJoeWilson,1,2/1/11,2011,1/3/05,1/3/07,-42,
CoJ-MI13,"Conyers, John, Jr.",M,5/16/29,Democratic,MI,13,109,RepJohnConyers,1,4/1/10,2010,1/3/05,1/3/07,-24,
DuJ-TN02,"Duncan, John J., Jr.",M,7/21/47,Republican,TN,2,109,RepJohnDuncanJr,1,9/1/13,2013,1/3/05,1/3/07,-42,
KlJ-MN02,"Kline, John",M,9/6/47,Republican,MN,2,109,repjohnkline,1,9/1/09,2009,1/3/05,1/3/07,-42,
LaJ-CT01,"Larson, John B.",M,7/22/48,Democratic,CT,1,109,RepJohnLarson,1,6/1/09,2009,1/3/05,1/3/07,-43,
LeJ-GA05,"Lewis, John",M,2/21/40,Democratic,GA,5,109,repjohnlewis,1,4/1/09,2009,1/3/05,1/3/07,-35,
ShJ-AZ03,"Shadegg, John B.",M,10/22/49,Republican,AZ,3,109,RepJohnShadegg,1,9/1/09,2009,1/3/05,1/3/07,-44,
SeJ-NY15,"Serrano, Jose E.",M,10/24/43,Democratic,NY,15,109,RepJoseSerrano,1,4/1/09,2009,1/3/05,1/3/07,-38,
GrK-TX12,"Granger, Kay",F,1/18/43,Republican,TX,12,109,RepKayGranger,1,7/1/10,2010,1/3/05,1/3/07,-38,
MaK-TX24,"Marchant, Kenny",M,2/23/51,Republican,TX,24,109,RepKenMarchant,1,3/1/09,2009,1/3/05,1/3/07,-46,
SaL-CA38,"Sanchez, Linda T.",F,1/28/69,Democratic,CA,38,109,replindasanchez,1,6/1/11,2011,1/3/05,1/3/07,-64,
LiD-IL03,"Lipinski, Daniel",M,7/15/66,Democratic,IL,3,109,RepLipinski,1,12/1/12,2012,1/3/05,1/3/07,-61,
DoL-TX37,"Doggett, Lloyd",M,10/6/46,Democratic,TX,37,109,RepLloydDoggett,1,6/1/10,2010,1/3/05,1/3/07,-41,
CaL-CA24,"Capps, Lois",F,1/10/38,Democratic,CA,24,109,RepLoisCapps,1,5/1/11,2011,1/3/05,1/3/07,-33,
MaC-NY12,"Maloney, Carolyn B.",F,2/19/46,Democratic,NY,12,109,RepMaloney,1,2/1/11,2011,1/3/05,1/3/07,-41,
KaM-OH09,"Kaptur, Marcy",F,6/17/46,Democratic,OH,9,109,RepMarcyKaptur,1,5/1/12,2012,1/3/05,1/3/07,-41,
GrM-WI08,"Green, Mark",M,6/1/60,Republican,WI,8,109,RepMarkGreen,1,1/1/19,2019,1/3/05,1/3/07,-55,
WaM-CA43,"Waters, Maxine",F,8/15/38,Democratic,CA,43,109,RepMaxineWaters,1,4/1/09,2009,1/3/05,1/3/07,-33,
McC-NY04,"McCarthy, Carolyn",F,1/5/44,Democratic,NY,4,109,RepMcCarthyNY,1,6/1/10,2010,1/3/05,1/3/07,-39,
McM-TX10,"McCaul, Michael T.",M,1/14/62,Republican,TX,10,109,RepMcCaul,1,3/1/09,2009,1/3/05,1/3/07,-57,
McJ-MA02,"McGovern, James P.",M,11/20/59,Democratic,MA,2,109,RepMcGovern,1,1/1/11,2011,1/3/05,1/3/07,-54,
MeR-NJ13,"Menendez, Robert",M,1/1/54,Democratic,NJ,13,109,RepMenendez,1,12/1/22,2022,1/3/05,1/3/07,-49,
HoM-CA17,"Honda, Michael M.",M,6/27/41,Democratic,CA,17,109,RepMikeHonda,1,10/1/08,2008,1/3/05,1/3/07,-36,
RoM-MI08,"Rogers, Mike J.",M,6/2/63,Republican,MI,8,109,RepMikeRogers,1,6/1/10,2010,1/3/05,1/3/07,-58,
RoM-AL03,"Rogers, Mike D.",M,7/16/58,Republican,AL,3,109,repmikerogersal,1,4/1/09,2009,1/3/05,1/3/07,-53,
TuM-OH10,"Turner, Michael R.",M,1/11/60,Republican,OH,10,109,RepMikeTurner,1,6/1/09,2009,1/3/05,1/3/07,-55,
RaN-WV03,"Rahall, Nick J., II",M,5/20/49,Democratic,WV,3,109,RepNickRahall,1,2/1/14,2014,1/3/05,1/3/07,-44,
KiP-NY02,"King, Peter T.",M,4/5/44,Republican,NY,2,109,RepPeteKing,1,12/1/08,2008,1/3/05,1/3/07,-39,
DeP-OR04,"DeFazio, Peter A.",M,5/27/47,Democratic,OR,4,109,RepPeterDeFazio,1,2/1/11,2011,1/3/05,1/3/07,-42,
RaG-CA19,"Radanovich, George",M,6/20/55,Republican,CA,19,109,RepRadanovich,1,2/1/09,2009,1/3/05,1/3/07,-50,
GrR-AZ07,"Grijalva, Ra̼l M.",M,2/19/48,Democratic,AZ,7,109,RepRaulGrijalva,1,4/1/09,2009,1/3/05,1/3/07,-43,
NeR-MA01,"Neal, Richard E.",M,2/14/49,Democratic,MA,1,109,RepRichardNeal,1,12/1/11,2011,1/3/05,1/3/07,-44,
LaR-WA02,"Larsen, Rick",M,6/15/55,Democratic,WA,2,109,RepRickLarsen,1,11/1/11,2011,1/3/05,1/3/07,-50,
KiR-WI03,"Kind, Ron",M,3/16/63,Democratic,WI,3,109,RepRonKind,1,2/1/10,2010,1/3/05,1/3/07,-58,
RoL-CA40,"Roybal-Allard, Lucille",F,6/12/41,Democratic,CA,40,109,RepRoybalAllard,1,1/1/12,2012,1/3/05,1/3/07,-36,
GrS-MO06,"Graves, Sam",M,11/7/63,Republican,MO,6,109,RepSamGraves,1,4/1/09,2009,1/3/05,1/3/07,-58,
LeS-MI09,"Levin, Sander M.",M,9/6/31,Democratic,MI,9,109,repsandylevin,1,3/1/09,2009,1/3/05,1/3/07,-26,
ScJ-IL09,"Schakowsky, Janice D.",F,5/26/44,Democratic,IL,9,109,RepSchakowsky,1,10/1/09,2009,1/3/05,1/3/07,-39,
ShJ-IL15,"Shimkus, John",M,2/21/58,Republican,IL,15,109,RepShimkus,1,7/1/08,2008,1/3/05,1/3/07,-53,
LyS-MA08,"Lynch, Stephen F.",M,3/31/55,Democratic,MA,8,109,RepStephenLynch,1,6/1/11,2011,1/3/05,1/3/07,-50,
ChS-OH01,"Chabot, Steve",M,1/22/53,Republican,OH,1,109,RepSteveChabot,1,1/1/11,2011,1/3/05,1/3/07,-48,
IsS-NY03,"Israel, Steve",M,5/30/58,Democratic,NY,3,109,RepSteveIsrael,1,2/1/09,2009,1/3/05,1/3/07,-53,
ThM-CA04,"Thompson, Mike",M,1/24/51,Democratic,CA,4,109,RepThompson,1,5/1/11,2011,1/3/05,1/3/07,-46,
TiJ-MA06,"Tierney, John F.",M,9/18/51,Democratic,MA,6,109,RepTierney,1,10/1/11,2011,1/3/05,1/3/07,-46,
JoT-IL15,"Johnson, Timothy V.",M,7/23/46,Republican,IL,15,109,RepTimJohnson,1,2/1/11,2011,1/3/05,1/3/07,-41,
RyT-OH13,"Ryan, Tim",M,7/16/73,Democratic,OH,13,109,RepTimRyan,1,2/1/08,2008,1/3/05,1/3/07,31,
AkW-MO02,"Akin, W. Todd",M,7/5/47,Republican,MO,2,109,REPTODDAKlN,1,8/1/12,2012,1/3/05,1/3/07,-42,
PrT-GA06,"Price, Tom",M,10/8/54,Republican,GA,6,109,RepTomPrice,1,6/1/07,2007,1/3/05,1/3/07,-49,1.00
ViP-IN01,"Visclosky, Peter J.",M,8/13/49,Democratic,IN,1,109,RepVisclosky,1,9/1/10,2010,1/3/05,1/3/07,-44,
JoW-NC03,"Jones, Walter B., Jr.",M,2/10/43,Republican,NC,3,109,RepWalterJones,1,3/1/09,2009,1/3/05,1/3/07,-38,
WaH-CA33,"Waxman, Henry A.",M,9/12/39,Democratic,CA,33,109,RepWaxman,1,8/1/12,2012,1/3/05,1/3/07,-34,
LoZ-CA18,"Lofgren, Zoe",F,12/21/47,Democratic,CA,18,109,RepZoeLofgren,1,3/1/11,2011,1/3/05,1/3/07,-42,
PoR-CA11,"Pombo, Richard W.",M,1/8/61,Republican,CA,11,109,richardpombo,1,1/1/10,2010,1/3/05,1/3/07,-56,
BoR-VA09,"Boucher, Rick",M,8/1/46,Democratic,VA,9,109,rickboucherdc,1,6/1/18,2018,1/3/05,1/3/07,-41,
BiR-UT01,"Bishop, Rob",M,7/13/51,Republican,UT,1,109,RobBishopUT,1,3/1/16,2016,1/3/05,1/3/07,-46,
AdR-AL04,"Aderholt, Robert B.",M,7/22/65,Republican,AL,4,109,Robert_Aderholt,1,9/1/09,2009,1/3/05,1/3/07,-60,
PoR-OH02,"Portman, Rob",M,12/19/55,Republican,OH,2,109,robportman,1,7/1/14,2014,1/3/05,1/3/07,-50,
SiR-CT02,"Simmons, Rob",M,2/11/43,Republican,CT,2,109,RobSimmons,1,3/1/09,2009,1/3/05,1/3/07,-38,
PaR-TX14,"Paul, Ron",M,8/20/35,Republican,TX,14,109,RonPaul,1,4/1/11,2011,1/3/05,1/3/07,-30,
DeR-CT03,"DeLauro, Rosa L.",F,3/2/43,Democratic,CT,3,109,rosadelauro,1,5/1/10,2010,1/3/05,1/3/07,-38,
BaR-MD06,"Bartlett, Roscoe G.",M,6/3/26,Republican,MD,6,109,Roscoe_Bartlett,1,12/1/11,2011,1/3/05,1/3/07,-21,
RoI-FL27,"Ros-Lehtinen, Ileana",F,7/15/52,Republican,FL,27,109,RosLehtinen,1,4/1/08,2008,1/3/05,1/3/07,-47,
BlR-MO07,"Blunt, Roy",M,1/10/50,Republican,MO,7,109,RoyBlunt,1,2/1/09,2009,1/3/05,1/3/07,-45,
HoR-NJ12,"Holt, Rush",M,10/15/48,Democratic,NJ,12,109,RushHolt,1,2/1/10,2010,1/3/05,1/3/07,-43,
JoS-TX03,"Johnson, Sam",M,10/11/30,Republican,TX,3,109,SamsPressShop,1,2/1/11,2011,1/3/05,1/3/07,-25,
BiS-GA02,"Bishop, Sanford D., Jr.",M,2/4/47,Democratic,GA,2,109,SanfordBishop,1,2/1/11,2011,1/3/05,1/3/07,-42,
BeX-CA34,"Becerra, Xavier",M,1/26/58,Democratic,CA,34,109,SecBecerra,1,3/1/21,2021,1/3/05,1/3/07,-53,
BaT-WI02,"Baldwin, Tammy",F,2/11/62,Democratic,WI,2,109,SenatorBaldwin,1,1/1/13,2013,1/3/05,1/3/07,-57,
CaB-MD03,"Cardin, Benjamin L.",M,10/5/43,Democratic,MD,3,109,SenatorCardin,1,1/1/10,2010,1/3/05,1/3/07,-38,
KiM-IL10,"Kirk, Mark Steven",M,9/15/59,Republican,IL,10,109,SenatorKirk,1,11/1/10,2010,1/3/05,1/3/07,-54,
UdT-NM03,"Udall, Tom",M,5/18/48,Democratic,NM,3,109,SenatorTomUdall,1,7/1/09,2009,1/3/05,1/3/07,-43,
WiR-MS01,"Wicker, Roger F.",M,7/5/51,Republican,MS,1,109,SenatorWicker,1,3/1/11,2011,1/3/05,1/3/07,-46,
CaS-WV02,"Capito, Shelley Moore",F,11/26/53,Republican,WV,2,109,SenCapito,1,9/1/10,2010,1/3/05,1/3/07,-48,
BrJ-NH01,"Bradley, Jeb",M,10/20/52,Republican,NH,1,109,SenJeb,1,3/1/10,2010,1/3/05,1/3/07,-47,
MaE-MA07,"Markey, Edward J.",M,7/11/46,Democratic,MA,7,109,SenMarkey,1,2/1/09,2009,1/3/05,1/3/07,-41,
SaB-VT00,"Sanders, Bernard",M,9/8/41,Independent,VT,0,109,SenSanders,1,4/1/09,2009,1/3/05,1/3/07,-36,
BrS-OH13,"Brown, Sherrod",M,11/9/52,Democratic,OH,13,109,SenSherrodBrown,1,6/1/09,2009,1/3/05,1/3/07,-47,
SeS-TX22,"Sekula Gibbs, Shelley",F,6/22/53,Republican,TX,22,109,ShelleySekula,1,8/1/14,2014,1/3/05,1/3/07,-48,
ShB-PA09,"Shuster, Bill",M,1/10/61,Republican,PA,9,109,ShusterForPA9,1,9/1/12,2012,1/3/05,1/3/07,-56,
ReS-TX16,"Reyes, Silvestre",M,11/10/44,Democratic,TX,16,109,SilvestreReyes,1,2/1/10,2010,1/3/05,1/3/07,-39,
SoM-IN09,"Sodrel, Michael E.",M,12/17/45,Republican,IN,9,109,SodrelMike,1,2/1/22,2022,1/3/05,1/3/07,-40,
BoJ-OH08,"Boehner, John A.",M,11/17/49,Republican,OH,8,109,SpeakerBoehner,1,7/1/07,2007,1/3/05,1/3/07,-44,1.00
PeN-CA11,"Pelosi, Nancy",F,3/26/40,Democratic,CA,11,109,SpeakerPelosi,1,8/1/08,2008,1/3/05,1/3/07,-35,
RyP-WI01,"Ryan, Paul D.",M,1/29/70,Republican,WI,1,109,SpeakerRyan,1,1/1/09,2009,1/3/05,1/3/07,34,
HeS-SD00,"Herseth Sandlin, Stephanie",F,12/3/70,Democratic,SD,0,109,StephanieforSD,1,5/1/10,2010,1/3/05,1/3/07,34,
KiS-IA04,"King, Steve",M,5/28/49,Republican,IA,4,109,SteveKingIA,1,6/1/09,2009,1/3/05,1/3/07,-44,
ReD-WA08,"Reichert, David G.",M,8/29/50,Republican,WA,8,109,TeamReichert,1,3/1/10,2010,1/3/05,1/3/07,-45,
SuJ-OK01,"Sullivan, John",M,1/1/65,Republican,OK,1,109,TEAMSullivan,1,11/1/09,2009,1/3/05,1/3/07,-60,
StT-OH06,"Strickland, Ted",M,8/4/41,Democratic,OH,6,109,Ted_Strickland,1,4/1/09,2009,1/3/05,1/3/07,-36,
BiT-NY01,"Bishop, Timothy H.",M,6/1/50,Democratic,NY,1,109,TimBishop2014,1,2/1/12,2012,1/3/05,1/3/07,-45,
HoT-PA17,"Holden, Tim",M,3/5/57,Democratic,PA,17,109,TimHoldenPA17,1,4/1/10,2010,1/3/05,1/3/07,-52,
CoT-OK04,"Cole, Tom",M,4/28/49,Republican,OK,4,109,TomColeOK04,1,3/1/09,2009,1/3/05,1/3/07,-44,
DeT-TX22,"DeLay, Tom",M,4/8/47,Republican,TX,22,109,tomdelay,1,5/1/07,2007,1/3/05,1/3/07,-42,1.00
LaT-IA03,"Latham, Tom",M,7/14/48,Republican,IA,3,109,TomLatham,1,11/1/07,2007,1/3/05,1/3/07,-43,1.00
TaT-CO06,"Tancredo, Thomas G.",M,12/20/45,Republican,CO,6,109,ttancredo,1,8/1/09,2009,1/3/05,1/3/07,-40,
GoC-TX20,"Gonzalez, Charles A.",M,5/5/45,Democratic,TX,20,109,TX20CharlieG,1,1/1/11,2011,1/3/05,1/3/07,-40,
DoM-PA18,"Doyle, Michael F.",M,8/5/53,Democratic,PA,18,109,USRepMikeDoyle,1,5/1/09,2009,1/3/05,1/3/07,-48,
HiR-TX15,"Hinojosa, Ruben",M,8/20/40,Democratic,TX,15,109,USRepRHinojosa,1,1/1/11,2011,1/3/05,1/3/07,-35,
GoV-VA05,"Goode, Virgil H., Jr.",M,10/17/46,Republican,VA,5,109,VirgilGoode,1,6/1/12,2012,1/3/05,1/3/07,-41,
FoV-NC05,"Foxx, Virginia",F,6/29/43,Republican,NC,5,109,virginiafoxx,1,9/1/08,2008,1/3/05,1/3/07,-38,
BrC-FL05,"Brown, Corrine",F,11/11/46,Democratic,FL,5,109,votecorrine,1,6/1/22,2022,1/3/05,1/3/07,-41,
WeL-GA03,"Westmoreland, Lynn A.",M,4/2/50,Republican,GA,3,109,Westmoreland_GA,1,4/1/10,2010,1/3/05,1/3/07,-45,
BoJ-AL01,"Bonner, Jo",M,11/19/59,Republican,AL,1,109,,0,,,1/3/05,1/3/07,-54,
EvT-AL02,"Everett, Terry",M,2/15/37,Republican,AL,2,109,,0,,,1/3/05,1/3/07,-32,
CrR-AL05,"Cramer, Robert E. (Bud), Jr.",M,8/22/47,Democratic,AL,5,109,,0,,,1/3/05,1/3/07,-42,
BeM-AR01,"Berry, Marion",M,8/27/42,Democratic,AR,1,109,,0,,,1/3/05,1/3/07,-37,
SnV-AR02,"Snyder, Vic",M,9/27/47,Democratic,AR,2,109,,0,,,1/3/05,1/3/07,-42,
HaJ-AZ05,"Hayworth, J. D.",M,7/12/58,Republican,AZ,5,109,,0,,,1/3/05,1/3/07,-53,
PaE-AZ07,"Pastor, Ed",M,6/28/43,Democratic,AZ,7,109,,0,,,1/3/05,1/3/07,-38,
KoJ-AZ08,"Kolbe, Jim",M,6/28/42,Republican,AZ,8,109,,0,,,1/3/05,1/3/07,-37,
FrT-AZ08,"Franks, Trent",M,6/19/57,Republican,AZ,8,109,,0,,,1/3/05,1/3/07,-52,
HeW-CA02,"Herger, Wally",M,5/20/45,Republican,CA,2,109,,0,,,1/3/05,1/3/07,-40,
TaE-CA10,"Tauscher, Ellen O.",F,11/15/51,Democratic,CA,10,109,,0,,,1/3/05,1/3/07,-46,
LaT-CA12,"Lantos, Tom",M,2/1/28,Democratic,CA,12,109,,0,,,1/3/05,1/3/07,-23,
StF-CA13,"Stark, Fortney Pete",M,11/11/31,Democratic,CA,13,109,,0,,,1/3/05,1/3/07,-26,
FaS-CA20,"Farr, Sam",M,7/4/41,Democratic,CA,20,109,,0,,,1/3/05,1/3/07,-36,
ThW-CA22,"Thomas, William M.",M,12/6/41,Republican,CA,22,109,,0,,,1/3/05,1/3/07,-36,
GaE-CA24,"Gallegly, Elton",M,3/7/44,Republican,CA,24,109,,0,,,1/3/05,1/3/07,-39,
DrD-CA26,"Dreier, David",M,7/5/52,Republican,CA,26,109,,0,,,1/3/05,1/3/07,-47,
WaD-CA33,"Watson, Diane E.",F,11/12/33,Democratic,CA,33,109,,0,,,1/3/05,1/3/07,-28,
MiJ-CA37,"Millender-McDonald, Juanita",F,9/7/38,Democratic,CA,37,109,,0,,,1/3/05,1/3/07,-33,
BaJ-CA43,"Baca, Joe",M,1/23/47,Democratic,CA,43,109,,0,,,1/3/05,1/3/07,-42,
CaJ-CA45,"Campbell, John",M,7/19/55,Republican,CA,45,109,,0,,,1/3/05,1/3/07,-50,
CoC-CA48,"Cox, Christopher",M,10/16/52,Republican,CA,48,109,,0,,,1/3/05,1/3/07,-47,
RoD-CA48,"Rohrabacher, Dana",M,6/21/47,Republican,CA,48,109,,0,,,1/3/05,1/3/07,-42,
CuR-CA50,"Cunningham, Randy (Duke)",M,12/8/41,Republican,CA,50,109,,0,,,1/3/05,1/3/07,-36,
HuD-CA52,"Hunter, Duncan",M,5/31/48,Republican,CA,52,109,,0,,,1/3/05,1/3/07,-43,
DaS-CA53,"Davis, Susan A.",F,4/13/44,Democratic,CA,53,109,,0,,,1/3/05,1/3/07,-39,
SaJ-CO03,"Salazar, John T.",M,7/21/53,Democratic,CO,3,109,,0,,,1/3/05,1/3/07,-48,
MuM-CO04,"Musgrave, Marilyn N.",F,1/27/49,Republican,CO,4,109,,0,,,1/3/05,1/3/07,-44,
HeJ-CO05,"Hefley, Joel",M,4/18/35,Republican,CO,5,109,,0,,,1/3/05,1/3/07,-30,
BeB-CO07,"Beauprez, Bob",M,9/22/48,Republican,CO,7,109,,0,,,1/3/05,1/3/07,-43,
JoN-CT05,"Johnson, Nancy L.",F,1/5/35,Republican,CT,5,109,,0,,,1/3/05,1/3/07,-30,
CaM-DE00,"Castle, Michael N.",M,7/2/39,Republican,DE,0,109,,0,,,1/3/05,1/3/07,-34,
MiJ-FL01,"Miller, Jeff",M,6/27/59,Republican,FL,1,109,,0,,,1/3/05,1/3/07,-54,
BoA-FL02,"Boyd, Allen",M,6/6/45,Democratic,FL,2,109,,0,,,1/3/05,1/3/07,-40,
MiJ-FL07,"Mica, John L.",M,1/27/43,Republican,FL,7,109,,0,,,1/3/05,1/3/07,-38,
BiM-FL09,"Bilirakis, Michael",M,7/16/30,Republican,FL,9,109,,0,,,1/3/05,1/3/07,-25,
DaJ-FL11,"Davis, Jim",M,11/11/57,Democratic,FL,11,109,,0,,,1/3/05,1/3/07,-52,
YoC-FL13,"Young, C. W. Bill",M,12/16/30,Republican,FL,13,109,,0,,,1/3/05,1/3/07,-25,
HaK-FL13,"Harris, Katherine",F,4/5/57,Republican,FL,13,109,,0,,,1/3/05,1/3/07,-52,
FoM-FL16,"Foley, Mark",M,9/8/54,Republican,FL,16,109,,0,,,1/3/05,1/3/07,-49,
WeR-FL19,"Wexler, Robert",M,1/2/61,Democratic,FL,19,109,,0,,,1/3/05,1/3/07,-56,
ShE-FL22,"Shaw, E. Clay, Jr.",M,4/19/39,Republican,FL,22,109,,0,,,1/3/05,1/3/07,-34,
FeT-FL24,"Feeney, Tom",M,5/21/58,Republican,FL,24,109,,0,,,1/3/05,1/3/07,-53,
MaJ-GA08,"Marshall, Jim",M,3/31/48,Democratic,GA,8,109,,0,,,1/3/05,1/3/07,-43,
NoC-GA10,"Norwood, Charles W.",M,7/27/41,Republican,GA,10,109,,0,,,1/3/05,1/3/07,-36,
LeJ-IA02,"Leach, James A.",M,10/15/42,Republican,IA,2,109,,0,,,1/3/05,1/3/07,-37,
JaJ-IL02,"Jackson, Jesse L., Jr.",M,3/11/65,Democratic,IL,2,109,,0,,,1/3/05,1/3/07,-60,
HyH-IL06,"Hyde, Henry J.",M,4/18/24,Republican,IL,6,109,,0,,,1/3/05,1/3/07,-19,
BeM-IL08,"Bean, Melissa L.",F,1/22/62,Democratic,IL,8,109,,0,,,1/3/05,1/3/07,-57,
CoJ-IL12,"Costello, Jerry F.",M,9/25/49,Democratic,IL,12,109,,0,,,1/3/05,1/3/07,-44,
HaJ-IL14,"Hastert, J. Dennis",M,1/2/42,Republican,IL,14,109,,0,,,1/3/05,1/3/07,-37,
MaD-IL16,"Manzullo, Donald A.",M,3/24/44,Republican,IL,16,109,,0,,,1/3/05,1/3/07,-39,
EvL-IL17,"Evans, Lane",M,8/4/51,Democratic,IL,17,109,,0,,,1/3/05,1/3/07,-46,
SoM-IN03,"Souder, Mark E.",M,7/18/50,Republican,IN,3,109,,0,,,1/3/05,1/3/07,-45,
BuS-IN04,"Buyer, Steve",M,11/26/58,Republican,IN,4,109,,0,,,1/3/05,1/3/07,-53,
CaJ-IN07,"Carson, Julia",F,7/8/38,Democratic,IN,7,109,,0,,,1/3/05,1/3/07,-33,
HoJ-IN08,"Hostettler, John N.",M,6/19/61,Republican,IN,8,109,,0,,,1/3/05,1/3/07,-56,
MoD-KS03,"Moore, Dennis",M,11/8/45,Democratic,KS,3,109,,0,,,1/3/05,1/3/07,-40,
TiT-KS04,"Tiahrt, Todd",M,6/15/51,Republican,KS,4,109,,0,,,1/3/05,1/3/07,-46,
LeR-KY02,"Lewis, Ron",M,9/14/46,Republican,KY,2,109,,0,,,1/3/05,1/3/07,-41,
NoA-KY03,"Northup, Anne M.",F,1/22/48,Republican,KY,3,109,,0,,,1/3/05,1/3/07,-43,
ChB-KY06,"Chandler, Ben",M,9/12/59,Democratic,KY,6,109,,0,,,1/3/05,1/3/07,-54,
JeW-LA02,"Jefferson, William J.",M,3/14/47,Democratic,LA,2,109,,0,,,1/3/05,1/3/07,-42,
BoC-LA03,"Boustany, Charles W., Jr.",M,2/21/56,Republican,LA,3,109,,0,,,1/3/05,1/3/07,-51,
McJ-LA04,"McCrery, Jim",M,9/18/49,Republican,LA,4,109,,0,,,1/3/05,1/3/07,-44,
AlR-LA05,"Alexander, Rodney",M,12/5/46,Republican,LA,5,109,,0,,,1/3/05,1/3/07,-41,
BaR-LA06,"Baker, Richard H.",M,5/22/48,Republican,LA,6,109,,0,,,1/3/05,1/3/07,-43,
OlJ-MA01,"Olver, John W.",M,9/3/36,Democratic,MA,1,109,,0,,,1/3/05,1/3/07,-31,
DeB-MA10,"Delahunt, Bill",M,7/18/41,Democratic,MA,10,109,,0,,,1/3/05,1/3/07,-36,
GiW-MD01,"Gilchrest, Wayne T.",M,4/15/46,Republican,MD,1,109,,0,,,1/3/05,1/3/07,-41,
WyA-MD04,"Wynn, Albert Russell",M,9/10/51,Democratic,MD,4,109,,0,,,1/3/05,1/3/07,-46,
HoS-MD05,"Hoyer, Steny H.",M,6/14/39,Democratic,MD,5,109,,0,,,1/3/05,1/3/07,-34,
AlT-ME01,"Allen, Thomas H.",M,4/16/45,Democratic,ME,1,109,,0,,,1/3/05,1/3/07,-40,
StB-MI01,"Stupak, Bart",M,2/29/52,Democratic,MI,1,109,,0,,,1/3/05,1/3/07,-47,
HoP-MI02,"Hoekstra, Peter",M,10/30/53,Republican,MI,2,109,,0,,,1/3/05,1/3/07,-48,
EhV-MI03,"Ehlers, Vernon J.",M,2/6/34,Republican,MI,3,109,,0,,,1/3/05,1/3/07,-29,
CaD-MI04,"Camp, Dave",M,7/9/53,Republican,MI,4,109,,0,,,1/3/05,1/3/07,-48,
KiD-MI05,"Kildee, Dale E.",M,9/16/29,Democratic,MI,5,109,,0,,,1/3/05,1/3/07,-24,
ScJ-MI07,"Schwarz, John J.H. Joe",M,11/15/37,Republican,MI,7,109,,0,,,1/3/05,1/3/07,-32,
KnJ-MI09,"Knollenberg, Joe",M,11/28/33,Republican,MI,9,109,,0,,,1/3/05,1/3/07,-28,
McT-MI11,"McCotter, Thaddeus G.",M,8/22/65,Republican,MI,11,109,,0,,,1/3/05,1/3/07,-60,
KiC-MI13,"Kilpatrick, Carolyn C.",F,6/25/45,Democratic,MI,13,109,,0,,,1/3/05,1/3/07,-40,
RaJ-MN03,"Ramstad, Jim",M,5/6/46,Republican,MN,3,109,,0,,,1/3/05,1/3/07,-41,
SaM-MN05,"Sabo, Martin Olav",M,2/28/38,Democratic,MN,5,109,,0,,,1/3/05,1/3/07,-33,
KeM-MN06,"Kennedy, Mark R.",M,4/11/57,Republican,MN,6,109,,0,,,1/3/05,1/3/07,-52,
CaR-MO03,"Carnahan, Russ",M,7/10/58,Democratic,MO,3,109,,0,,,1/3/05,1/3/07,-53,
EmJ-MO08,"Emerson, Jo Ann",F,9/16/50,Republican,MO,8,109,,0,,,1/3/05,1/3/07,-45,
HuK-MO09,"Hulshof, Kenny C.",M,5/22/58,Republican,MO,9,109,,0,,,1/3/05,1/3/07,-53,
PiC-MS03,"Pickering, Charles W. Chip",M,8/10/63,Republican,MS,3,109,,0,,,1/3/05,1/3/07,-58,
ReD-MT00,"Rehberg, Denny",M,10/5/55,Republican,MT,0,109,,0,,,1/3/05,1/3/07,-50,
MyS-NC09,"Myrick, Sue Wilkins",F,8/1/41,Republican,NC,9,109,,0,,,1/3/05,1/3/07,-36,
TaC-NC11,"Taylor, Charles H.",M,1/23/41,Republican,NC,11,109,,0,,,1/3/05,1/3/07,-36,
WaM-NC12,"Watt, Melvin L.",M,8/26/45,Democratic,NC,12,109,,0,,,1/3/05,1/3/07,-40,
MiB-NC13,"Miller, Brad",M,5/19/53,Democratic,NC,13,109,,0,,,1/3/05,1/3/07,-48,
PoE-ND00,"Pomeroy, Earl",M,9/2/52,Democratic,ND,0,109,,0,,,1/3/05,1/3/07,-47,
OsT-NE03,"Osborne, Tom",M,2/23/37,Republican,NE,3,109,,0,,,1/3/05,1/3/07,-32,
AnR-NJ01,"Andrews, Robert E.",M,8/4/57,Democratic,NJ,1,109,,0,,,1/3/05,1/3/07,-52,
