uniqueid,fullname,gender,dob,party,stateabr,district,congress118,twitterhandle,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted,twitterever,joined118,NT
CaJ-TX31,"Carter, John R.",M,11/6/41,Republican,TX,31,118,JudgeCarter,12/1/08,2008,1/3/23,1/3/25,-18,1.00,,Has Twitter
PoT-TX02,"Poe, Ted",M,9/10/48,Republican,TX,2,0,JudgeTedPoe,9/1/09,2009,,,,,,
BiJ-IL13,"Biggert, Judy",F,8/15/37,Republican,IL,13,0,JudyBiggert,2/1/09,2009,,,,,,
AmJ-MI03,"Amash, Justin",M,4/18/80,Libertarian,MI,3,0,justinamash,1/1/11,2011,,,,,,
RiK-NY04,"Rice, Kathleen M.",F,2/15/65,Democratic,NY,4,0,KathleenRice,10/1/09,2009,,,,,,
MaK-NC06,"Manning, Kathy E.",F,12/3/56,Democratic,NC,6,118,KathyManningNC,12/1/17,2017,1/3/23,1/3/25,-33,1.00,,Has Twitter
DaK-PA03,"Dahlkemper, Kathleen A.",F,12/10/57,Democratic,PA,3,0,kdahlkemper,4/1/11,2011,,,,,,
ElK-MN05,"Ellison, Keith",M,8/4/63,Democratic,MN,5,0,keithellison,3/1/08,2008,,,,,,
RoK-PA12,"Rothfus, Keith J.",M,4/25/62,Republican,PA,12,0,KeithRothfus,2/1/13,2013,,,,,,
KeR-FL08,"Keller, Ric",M,9/5/64,Republican,FL,8,0,keller_ric,2/1/19,2019,,,,,,
CaK-CA41,"Calvert, Ken",M,6/8/53,Republican,CA,41,118,KenCalvert,1/1/09,2009,1/3/23,1/3/25,-30,1.00,,Has Twitter
MeK-FL17,"Meek, Kendrick B.",M,9/6/66,Democratic,FL,17,0,KendrickMeek,3/1/09,2009,,,,,,
BeK-MI11,"Bentivolio, Kerry L.",M,10/6/51,Republican,MI,11,0,KerryB4Congress,7/1/12,2012,,,,,,
YoK-KS03,"Yoder, Kevin",M,11/8/76,Republican,KS,3,0,kevinyoder,2/1/11,2011,,,,,,
SaG-MP00,"Sablan, Gregorio Kilili Camacho",M,1/19/55,Democratic,MP,0,118,Kilili_Sablan,11/1/17,2017,1/3/23,1/3/25,-32,1.00,,Has Twitter
NoK-SD00,"Noem, Kristi L.",F,11/30/71,Republican,SD,0,0,KristiNoem,2/1/10,2010,,,,,,
HaK-GA05,"Hall, Kwanza",M,5/1/71,Democratic,GA,5,0,kwanzahall,9/1/07,2007,,,,,,
ClW-MO01,"Clay, Wm. Lacy",M,7/27/56,Democratic,MO,1,0,LacyClayMO1,5/1/12,2012,,,,,,
SmL-TX21,"Smith, Lamar",M,11/19/47,Republican,TX,21,0,LamarSmithTX21,8/1/08,2008,,,,,,
GoL-TX05,"Gooden, Lance",M,12/1/82,Republican,TX,5,118,Lancegooden,8/1/18,2018,1/3/23,1/3/25,40,1.00,,Has Twitter
LaS-OH14,"LaTourette, Steven C.",M,7/22/54,Republican,OH,14,0,LaTourette,1/1/09,2009,,,,,,
ZeL-NY01,"Zeldin, Lee M.",M,1/30/80,Republican,NY,1,0,LeeMZeldin,8/1/14,2014,,,,,,
TeL-NE02,"Terry, Lee",M,1/29/62,Republican,NE,2,0,LEETERRYNE,12/1/08,2008,,,,,,
BoL-IA03,"Boswell, Leonard L.",M,1/10/34,Democratic,IA,3,0,LeonardBoswell,2/1/09,2009,,,,,,
LeJ-MN02,"Lewis, Jason",M,9/23/55,Republican,MN,2,0,LewisForMN,9/1/09,2009,,,,,,
DiL-FL21,"Diaz-Balart, Lincoln",M,8/13/54,Republican,FL,21,0,LincolnDBalart,8/1/12,2012,,,,,,
LiJ-GA07,"Linder, John",M,9/9/42,Republican,GA,7,0,linderje,12/1/13,2013,,,,,,
ChL-WY00,"Cheney, Liz",F,7/28/66,Republican,WY,0,0,Liz_Cheney,12/1/09,2009,,,,,,
SaL-CA46,"Sanchez, Loretta",F,1/7/60,Democratic,CA,46,0,LorettaSanchez,1/1/10,2010,,,,,,
GoL-TX01,"Gohmert, Louie",M,8/18/53,Republican,TX,1,0,LouieGohmertTX1,1/1/16,2016,,,,,,
SlL-NY25,"Slaughter, Louise McIntosh",F,8/14/29,Democratic,NY,25,0,louiseslaughter,8/1/09,2009,,,,,,
LoN-NY17,"Lowey, Nita M.",F,7/5/37,Democratic,NY,17,0,Lowey4Congress,8/1/12,2012,,,,,,
FoL-PR00,"Fortuno, Luis G.",M,10/31/60,Republican,PR,0,0,luisfortuno51,8/1/10,2010,,,,,,
WoL-CA06,"Woolsey, Lynn C.",F,11/3/37,Democratic,CA,6,0,lynnwoolsey,4/1/09,2009,,,,,,
ThM-TX13,"Thornberry, Mac",M,7/15/58,Republican,TX,13,0,MacTXPress,9/1/11,2011,,,,,,
MaT-NJ07,"Malinowski, Tom",M,9/23/65,Democratic,NJ,7,0,Malinowski,12/1/16,2016,,,,,,
MaT-PA12,"Marino, Tom",M,8/15/52,Republican,PA,12,0,MarinoPA10,9/1/14,2014,,,,,,
DiM-FL26,"Diaz-Balart, Mario",M,9/25/61,Republican,FL,26,118,MarioDB,1/1/09,2009,1/3/23,1/3/25,-38,1.00,,Has Twitter
AmM-NV02,"Amodei, Mark E.",M,6/12/58,Republican,NV,2,118,MarkAmodeiNV2,11/1/11,2011,1/3/23,1/3/25,-35,1.00,,Has Twitter
MeM-NC11,"Meadows, Mark",M,7/28/59,Republican,NC,11,0,MarkMeadows,11/1/12,2012,,,,,,
SaM-SC01,"Sanford, Mark",M,5/28/60,Republican,SC,1,0,MarkSanford,4/1/09,2009,,,,,,
UdM-CO02,"Udall, Mark",M,7/18/50,Democratic,CO,2,0,MarkUdall,8/1/07,2007,,,,,,
BlM-TN07,"Blackburn, Marsha",F,6/6/52,Republican,TN,7,0,MarshaBlackburn,4/1/11,2011,,,,,,
McM-AZ02,"McSally, Martha",F,3/22/66,Republican,AZ,2,0,MarthaMcSallyAZ,2/1/12,2012,,,,,,
RoM-AL02,"Roby, Martha",F,7/27/76,Republican,AL,2,0,MarthaRobyAL,12/1/10,2010,,,,,,
HeM-NM01,"Heinrich, Martin",M,10/17/71,Democratic,NM,1,0,MartinHeinrich,1/1/13,2013,,,,,,
MeM-MA05,"Meehan, Martin T.",M,12/30/56,Democratic,MA,5,0,MartyMeehan,11/1/15,2015,,,,,,
BoM-CA45,"Bono Mack, Mary",F,10/24/61,Republican,CA,45,0,MaryBonoUSA,1/1/09,2009,,,,,,
KiM-OH15,"Kilroy, Mary Jo",F,4/30/49,Democratic,OH,15,0,MaryJoKilroy,6/1/08,2008,,,,,,
SaM-AZ05,"Salmon, Matt",M,1/21/58,Republican,AZ,5,0,MattSalmonAZ,4/1/11,2011,,,,,,
HiM-NY22,"Hinchey, Maurice D.",M,10/27/38,Democratic,NY,22,0,mauricehinchey,9/1/09,2009,,,,,,
MiM-OH07,"Miller, Max L.",M,11/13/88,Republican,OH,7,118,MaxMillerOH,7/1/19,2019,1/3/23,1/3/25,34,1.00,,Has Twitter
FlM-TX34,"Flores, Mayra",F,1/1/86,Republican,TX,34,0,MayraFlores2022,11/1/09,2009,,,,,,
HiM-HI02,"Hirono, Mazie K.",F,11/3/47,Democratic,HI,2,0,maziehirono,11/1/09,2009,,,,,,
MeC-LA03,"Melancon, Charlie",M,10/3/47,Democratic,LA,3,0,melancon2010,8/1/09,2009,,,,,,
LoM-UT04,"Love, Mia B.",F,12/6/75,Republican,UT,4,0,MiaBLove,7/1/11,2011,,,,,,
BuM-TX26,"Burgess, Michael C.",M,12/23/50,Republican,TX,26,118,michaelcburgess,8/1/08,2008,1/3/23,1/3/25,-27,1.00,,Has Twitter
GrM-NY11,"Grimm, Michael G.",M,2/7/70,Republican,NY,11,0,MichaelGrimmNY,8/1/17,2017,,,,,,
MiM-ME02,"Michaud, Michael H.",M,1/18/55,Democratic,ME,2,0,Michaud2014,6/1/13,2013,,,,,,
BaM-MN06,"Bachmann, Michele",F,4/6/56,Republican,MN,6,0,MicheleBachmann,12/1/08,2008,,,,,,
LuM-NM01,"Lujan Grisham, Michelle",F,10/24/59,Democratic,NM,1,0,Michelle4NM,9/1/11,2011,,,,,,
MuM-SC05,"Mulvaney, Mick",M,7/21/67,Republican,SC,5,0,MickMulvaneyOMB,7/1/17,2017,,,,,,
TrD-MI11,"Trott, David A.",M,10/16/60,Republican,MI,11,0,MIDaveTrott,11/1/14,2014,,,,,,
PeM-IN06,"Pence, Mike",M,6/7/59,Republican,IN,6,0,Mike_Pence,2/1/09,2009,,,,,,
BiM-MI08,"Bishop, Mike",M,3/18/67,Republican,MI,8,0,MikeBishopMI,5/1/09,2009,,,,,,
CaM-MA07,"Capuano, Michael E.",M,1/9/52,Democratic,MA,7,0,mikecapuano,9/1/09,2009,,,,,,
KeM-PA16,"Kelly, Mike",M,5/10/48,Republican,PA,16,118,MikeKellyPA,1/1/12,2012,1/3/23,1/3/25,-25,1.00,,Has Twitter
McM-NC07,"McIntyre, Mike",M,8/6/56,Democratic,NC,7,0,MikeMcIntyreNC,6/1/09,2009,,,,,,
PoM-KS04,"Pompeo, Mike",M,12/30/63,Republican,KS,4,0,mikepompeo,8/1/19,2019,,,,,,
RoM-AR04,"Ross, Mike",M,8/2/61,Democratic,AR,4,0,MikeRossUpdates,1/1/10,2010,,,,,,
WaM-CA45,"Walters, Mimi",F,5/14/62,Republican,CA,45,0,MimiWaltersCA,2/1/14,2014,,,,,,
JoM-NY17,"Jones, Mondaire",M,5/18/87,Democratic,NY,17,0,MondaireJones,6/1/17,2017,,,,,,
HaN-NY19,"Hayworth, Nan A. S.",F,12/14/59,Republican,NY,19,0,NanHayworth,1/1/11,2011,,,,,,
DeN-GA09,"Deal, Nathan",M,8/25/42,Republican,GA,9,0,NathanDeal,6/1/09,2009,,,,,,
AbN-HI01,"Abercrombie, Neil",M,6/26/38,Democratic,HI,1,0,neilabercrombie,11/1/07,2007,,,,,,
LaN-NY23,"Langworthy, Nicholas A.",M,2/27/81,Republican,NY,23,118,NickLangworthy,1/1/09,2009,1/3/23,1/3/25,41,1.00,,Has Twitter
LaN-TX22,"Lampson, Nick",M,2/14/45,Democratic,TX,22,0,nlampson,2/1/09,2009,,,,,,
ToN-CA35,"Torres, Norma J.",F,4/4/65,Democratic,CA,35,118,NormaJTorres,1/1/11,2011,1/3/23,1/3/25,-42,1.00,,Has Twitter
VeN-NY07,"Velazquez, Nydia M.",F,3/28/53,Democratic,NY,7,118,NydiaVelazquez,7/1/10,2010,1/3/23,1/3/25,-30,1.00,,Has Twitter
BrA-MD04,"Brown, Anthony G.",M,11/21/61,Democratic,MD,4,0,OAGMaryland,1/1/17,2017,,,,,,
MeP-PA07,"Meehan, Patrick",M,10/20/55,Republican,PA,7,0,PatMeehanPA,1/1/10,2010,,,,,,
McP-NC10,"McHenry, Patrick T.",M,11/22/75,Republican,NC,10,118,PatrickMcHenry,3/1/09,2009,1/3/23,1/3/25,47,1.00,,Has Twitter
MuP-FL18,"Murphy, Patrick",M,3/30/83,Democratic,FL,18,0,PatrickMurphyFL,3/1/11,2011,,,,,,
MuP-PA08,"Murphy, Patrick J.",M,10/19/73,Democratic,PA,8,0,PatrickMurphyPA,10/1/10,2010,,,,,,
TiP-OH12,"Tiberi, Patrick J.",M,10/21/62,Republican,OH,12,0,PatTiberi,10/1/12,2012,,,,,,
BrP-GA10,"Broun, Paul C.",M,5/14/46,Republican,GA,10,0,PaulBrounforGA,9/1/10,2010,,,,,,
HoP-NH02,"Hodes, Paul W.",M,3/21/51,Democratic,NH,2,0,paulhodes1,4/1/13,2013,,,,,,
GrA-TX09,"Green, Al",M,9/1/47,Democratic,TX,9,118,RepAlGreen,4/1/10,2010,1/3/23,1/3/25,-24,1.00,,Has Twitter
KaP-PA11,"Kanjorski, Paul E.",M,4/2/37,Democratic,PA,11,0,PaulKanjorski,6/1/10,2010,,,,,,
PeS-NM02,"Pearce, Stevan",M,8/24/47,Republican,NM,2,0,Pearce4NM,5/1/09,2009,,,,,,
PiP-PR00,"Pierluisi, Pedro R.",M,4/26/59,Democratic,PR,0,0,pedropierluisi,4/1/09,2009,,,,,,
GaP-TX23,"Gallego, Pete P.",M,12/2/61,Democratic,TX,23,0,petegallego,8/1/09,2009,,,,,,
RoP-IL06,"Roskam, Peter J.",M,9/13/61,Republican,IL,6,0,PeterRoskam,2/1/09,2009,,,,,,
WeP-VT00,"Welch, Peter",M,5/2/47,Democratic,VT,0,0,PeterWelch,5/1/13,2013,,,,,,
SeP-TX17,"Sessions, Pete",M,3/22/55,Republican,TX,17,118,PeteSessions,1/1/09,2009,1/3/23,1/3/25,-32,1.00,,Has Twitter
KeP-RI01,"Kennedy, Patrick J.",M,7/14/67,Democratic,RI,1,0,PJK4brainhealth,4/1/12,2012,,,,,,
CaF-TX23,"Canseco, Francisco Quico",M,7/30/49,Republican,TX,23,0,QuicoCanseco,4/1/14,2014,,,,,,
EmR-IL05,"Emanuel, Rahm",M,11/29/59,Democratic,IL,5,0,RahmEmanuel,10/1/10,2010,,,,,,
HaR-TX04,"Hall, Ralph M.",M,5/3/23,Republican,TX,4,0,RalphHallPress,2/1/13,2013,,,,,,
FoJ-VA04,"Forbes, J. Randy",M,2/17/52,Republican,VA,4,0,Randy_Forbes,6/1/08,2008,,,,,,
NeR-TX19,"Neugebauer, Randy",M,12/24/49,Republican,TX,19,0,RandyNeugebauer,4/1/09,2009,,,,,,
LaR-ID01,"Labrador, Raul R.",M,12/8/67,Republican,ID,1,0,Raul_Labrador,2/1/11,2011,,,,,,
LaR-IL18,"LaHood, Ray",M,12/6/45,Republican,IL,18,0,RayLaHood,7/1/13,2013,,,,,,
CrM-PA12,"Critz, Mark S.",M,1/5/62,Democratic,PA,12,0,realMarkCritz,2/1/10,2010,,,,,,
ReR-AZ01,"Renzi, Rick",M,6/11/58,Republican,AZ,1,0,RenziRick,2/1/19,2019,,,,,,
ClA-GA09,"Clyde, Andrew S.",M,11/22/63,Republican,GA,9,118,Rep_Clyde,2/1/21,2021,1/3/23,1/3/25,-40,1.00,,Has Twitter
JaJ-IL01,"Jackson, Jonathan L.",M,1/7/66,Democratic,IL,1,118,rep_jackson,1/1/23,2023,1/3/23,1/3/25,-43,1.00,1,Has Twitter
MaS-RI02,"Magaziner, Seth",M,7/22/83,Democratic,RI,2,118,Rep_Magaziner,1/1/23,2023,1/3/23,1/3/25,39,1.00,1,Has Twitter
GrP-AL05,"Griffith, Parker",M,8/6/42,Republican,AL,5,0,Rep_P_Griffith,2/1/10,2010,,,,,,
PeM-AK00,"Peltola, Mary Sattler",F,8/31/73,Democratic,AK,0,118,rep_peltola,9/1/22,2022,1/3/23,1/3/25,49,1.00,,Has Twitter
SoS-FL02,"Southerland, Steve II",M,10/10/65,Republican,FL,2,0,Rep_Southerland,1/1/11,2011,,,,,,
StM-NM01,"Stansbury, Melanie Ann",F,1/31/79,Democratic,NM,1,118,Rep_Stansbury,6/1/21,2021,1/3/23,1/3/25,43,1.00,,Has Twitter
WoS-AR03,"Womack, Steve",M,2/18/57,Republican,AR,3,118,rep_stevewomack,1/1/11,2011,1/3/23,1/3/25,-34,1.00,,Has Twitter
BeA-FL04,"Bean, Aaron",M,1/25/67,Republican,FL,4,118,RepAaronBean,1/1/22,2022,1/3/23,1/3/25,-44,1.00,,Has Twitter
AbR-LA05,"Abraham, Ralph Lee",M,9/16/54,Republican,LA,5,0,RepAbraham,1/1/15,2015,,,,,,
AdA-NC12,"Adams, Alma S.",F,5/27/46,Democratic,NC,12,118,RepAdams,1/1/14,2014,1/3/23,1/3/25,-23,1.00,,Has Twitter
ScA-CA30,"Schiff, Adam B.",M,6/22/60,Democratic,CA,30,118,RepAdamSchiff,4/1/09,2009,1/3/23,1/3/25,-37,1.00,,Has Twitter
SmA-WA09,"Smith, Adam",M,6/15/65,Democratic,WA,9,118,RepAdamSmith,3/1/09,2009,1/3/23,1/3/25,-42,1.00,,Has Twitter
SmA-NE03,"Smith, Adrian",M,12/19/70,Republican,NE,3,118,RepAdrianSmith,1/1/11,2011,1/3/23,1/3/25,52,1.00,,Has Twitter
MoA-WV02,"Mooney, Alexander X.",M,6/7/71,Republican,WV,2,118,RepAlexMooney,1/1/15,2015,1/3/23,1/3/25,51,1.00,,Has Twitter
RaA-AS00,"Radewagen, Aumua Amata Coleman",F,12/29/47,Republican,AS,0,118,RepAmata,2/1/15,2015,1/3/23,1/3/25,-25,1.00,,Has Twitter
CaA-IN07,"Carson, Andre",M,10/16/74,Democratic,IN,7,118,RepAndreCarson,10/1/10,2010,1/3/23,1/3/25,48,1.00,,Has Twitter
BaA-KY06,"Barr, Andy",M,7/24/73,Republican,KY,6,118,RepAndyBarr,1/1/13,2013,1/3/23,1/3/25,49,1.00,,Has Twitter
BiA-AZ05,"Biggs, Andy",M,11/7/58,Republican,AZ,5,118,RepAndyBiggsAZ,1/1/17,2017,1/3/23,1/3/25,-35,1.00,,Has Twitter
HaA-MD01,"Harris, Andy",M,1/25/57,Republican,MD,1,118,RepAndyHarrisMD,1/1/12,2012,1/3/23,1/3/25,-34,1.00,,Has Twitter
KiA-NJ03,"Kim, Andy",M,7/12/82,Democratic,NJ,3,118,RepAndyKimNJ,1/1/18,2018,1/3/23,1/3/25,40,1.00,,Has Twitter
LeA-MI09,"Levin, Andy",M,8/10/60,Democratic,MI,9,0,RepAndyLevin,1/1/19,2019,,,,,,
CrA-MN02,"Craig, Angie",F,2/14/72,Democratic,MN,2,118,RepAngieCraig,1/1/19,2019,1/3/23,1/3/25,50,1.00,,Has Twitter
EsA-CA16,"Eshoo, Anna G.",F,12/13/42,Democratic,CA,16,118,RepAnnaEshoo,2/1/11,2011,1/3/23,1/3/25,-19,1.00,,Has Twitter
KuA-NH02,"Kuster, Ann M.",F,9/5/56,Democratic,NH,2,118,RepAnnieKuster,1/1/13,2013,1/3/23,1/3/25,-33,1.00,,Has Twitter
WaA-MO02,"Wagner, Ann",F,9/13/62,Republican,MO,2,118,RepAnnWagner,1/1/12,2012,1/3/23,1/3/25,-39,1.00,,Has Twitter
OcA-NY14,"Ocasio-Cortez, Alexandria",F,10/13/89,Democratic,NY,14,118,RepAOC,1/1/18,2018,1/3/23,1/3/25,33,1.00,,Has Twitter
ArK-ND00,"Armstrong, Kelly",F,10/8/76,Republican,ND,0,118,RepArmstrongND,1/1/19,2019,1/3/23,1/3/25,46,1.00,,Has Twitter
ArJ-TX19,"Arrington, Jodey C.",M,3/9/72,Republican,TX,19,118,RepArrington,1/1/17,2017,1/3/23,1/3/25,50,1.00,,Has Twitter
HiA-IA02,"Hinson, Ashley",F,6/27/83,Republican,IA,2,118,RepAshleyHinson,1/1/20,2020,1/3/23,1/3/25,39,1.00,,Has Twitter
AuJ-MA04,"Auchincloss, Jake",M,1/29/88,Democratic,MA,4,118,RepAuchincloss,1/1/20,2020,1/3/23,1/3/25,34,1.00,,Has Twitter
BaT-OH12,"Balderson, Troy",M,1/16/62,Republican,OH,12,118,RepBalderson,9/1/18,2018,1/3/23,1/3/25,-39,1.00,,Has Twitter
LeB-CA12,"Lee, Barbara",F,7/16/46,Democratic,CA,12,118,RepBarbaraLee,2/1/11,2011,1/3/23,1/3/25,-23,1.00,,Has Twitter
BaN-CA44,"Barragan, Nanette Diaz",F,9/15/76,Democratic,CA,44,118,RepBarragan,1/1/17,2017,1/3/23,1/3/25,46,1.00,,Has Twitter
BaJ-SC03,"Barrett, J. Gresham",M,2/14/61,Republican,SC,3,0,RepBarrett,1/1/09,2009,,,,,,
MoB-AL02,"Moore, Barry",M,9/26/66,Republican,AL,2,118,RepBarryMoore,1/1/20,2020,1/3/23,1/3/25,-43,1.00,,Has Twitter
BeJ-OH03,"Beatty, Joyce",F,3/12/50,Democratic,OH,3,118,RepBeatty,3/1/13,2013,1/3/23,1/3/25,-27,1.00,,Has Twitter
BaB-VT00,"Balint, Becca",F,5/4/68,Democratic,VT,0,118,RepBeccaB,1/1/22,2022,1/3/23,1/3/25,-45,1.00,,Has Twitter
ClB-VA06,"Cline, Ben",M,2/29/72,Republican,VA,6,118,RepBenCline,1/1/18,2018,1/3/23,1/3/25,50,1.00,,Has Twitter
BeC-OR02,"Bentz, Cliff",M,1/12/52,Republican,OR,2,118,RepBentz,1/1/21,2021,1/3/23,1/3/25,-29,1.00,,Has Twitter
BeA-CA06,"Bera, Ami",M,3/2/65,Democratic,CA,6,118,RepBera,11/1/12,2012,1/3/23,1/3/25,-42,1.00,,Has Twitter
VaB-TX24,"Van Duyne, Beth",F,11/16/70,Republican,TX,24,118,RepBethVanDuyne,12/1/20,2020,1/3/23,1/3/25,52,1.00,,Has Twitter
BiS-OK05,"Bice, Stephanie I.",F,11/11/73,Republican,OK,5,118,RepBice,12/1/20,2020,1/3/23,1/3/25,49,1.00,,Has Twitter
FoB-IL11,"Foster, Bill",M,10/7/55,Democratic,IL,11,118,RepBillFoster,1/1/13,2013,1/3/23,1/3/25,-32,1.00,,Has Twitter
JoB-OH06,"Johnson, Bill",M,11/10/54,Republican,OH,6,118,RepBillJohnson,11/1/10,2010,1/3/23,1/3/25,-31,1.00,,Has Twitter
LuB-MO03,"Luetkemeyer, Blaine",M,5/7/52,Republican,MO,3,118,RepBlaine,9/1/13,2013,1/3/23,1/3/25,-29,1.00,,Has Twitter
MoB-UT01,"Moore, Blake D.",M,6/22/80,Republican,UT,1,118,RepBlakeMoore,12/1/20,2020,1/3/23,1/3/25,42,1.00,,Has Twitter
BlE-OR03,"Blumenauer, Earl",M,8/16/48,Democratic,OR,3,118,repblumenauer,8/1/08,2008,1/3/23,1/3/25,-25,1.00,,Has Twitter
GoB-VA05,"Good, Bob",M,9/11/65,Republican,VA,5,118,RepBobGood,1/1/21,2021,1/3/23,1/3/25,-42,1.00,,Has Twitter
BoL-CO03,"Boebert, Lauren",F,12/19/86,Republican,CO,3,118,RepBoebert,12/1/20,2020,1/3/23,1/3/25,36,1.00,,Has Twitter
BoS-OR01,"Bonamici, Suzanne",F,10/14/54,Democratic,OR,1,118,RepBonamici,4/1/12,2012,1/3/23,1/3/25,-31,1.00,,Has Twitter
WaB-NJ12,"Watson Coleman, Bonnie",F,2/6/45,Democratic,NJ,12,118,RepBonnie,1/1/15,2015,1/3/23,1/3/25,-22,1.00,,Has Twitter
BoM-IL12,"Bost, Mike",M,12/30/60,Republican,IL,12,118,RepBost,1/1/15,2015,1/3/23,1/3/25,-38,1.00,,Has Twitter
BoJ-NY16,"Bowman, Jamaal",M,4/1/76,Democratic,NY,16,118,RepBowman,12/1/20,2020,1/3/23,1/3/25,46,1.00,,Has Twitter
AsB-NE02,"Ashford, Brad",M,11/10/49,Democratic,NE,2,0,RepBradAshford,1/1/15,2015,,,,,,
WeB-OH02,"Wenstrup, Brad R.",M,6/17/58,Republican,OH,2,118,RepBradWenstrup,3/1/12,2012,1/3/23,1/3/25,-35,1.00,,Has Twitter
BrJ-OK02,"Brecheen, Josh",M,6/19/79,Republican,OK,2,118,RepBrecheen,12/1/22,2022,1/3/23,1/3/25,43,1.00,,Has Twitter
BaB-TX36,"Babin, Brian",M,3/23/48,Republican,TX,36,118,RepBrianBabin,12/1/14,2014,1/3/23,1/3/25,-25,1.00,,Has Twitter
FiB-PA01,"Fitzpatrick, Brian K.",M,12/17/73,Republican,PA,1,118,RepBrianFitz,1/1/17,2017,1/3/23,1/3/25,49,1.00,,Has Twitter
HiB-NY26,"Higgins, Brian",M,10/6/59,Democratic,NY,26,118,RepBrianHiggins,4/1/09,2009,1/3/23,1/3/25,-36,1.00,,Has Twitter
MaB-FL21,"Mast, Brian J.",M,7/10/80,Republican,FL,21,118,RepBrianMast,12/1/16,2016,1/3/23,1/3/25,42,1.00,,Has Twitter
BrA-NY22,"Brindisi, Anthony",M,11/22/78,Democratic,NY,22,0,RepBrindisi,1/1/19,2019,,,,,,
BrJ-CA26,"Brownley, Julia",F,8/28/52,Democratic,CA,26,118,RepBrownley,3/1/13,2013,1/3/23,1/3/25,-29,1.00,,Has Twitter
StB-WI01,"Steil, Bryan",M,3/3/81,Republican,WI,1,118,RepBryanSteil,12/1/18,2018,1/3/23,1/3/25,41,1.00,,Has Twitter
CaE-GA01,"Carter, Earl L. Buddy",M,9/6/57,Republican,GA,1,118,RepBuddyCarter,1/15/15,2015,1/3/23,1/3/25,-34,1.00,,Has Twitter
OwB-UT04,"Owens, Burgess",M,8/2/51,Republican,UT,4,118,RepBurgessOwens,12/1/20,2020,1/3/23,1/3/25,-28,1.00,,Has Twitter
CaY-CO08,"Caraveo, Yadira",F,12/23/80,Democratic,CO,8,118,RepCaraveoMD,1/1/23,2023,1/3/23,1/3/25,42,1.00,1,Has Twitter
CaS-CA24,"Carbajal, Salud O.",M,11/18/64,Democratic,CA,24,118,RepCarbajal,1/1/17,2017,1/3/23,1/3/25,-41,1.00,,Has Twitter
CaT-CA29,"Cardenas, Tony",M,3/31/63,Democratic,CA,29,118,repcardenas,2/1/13,2013,1/3/23,1/3/25,-40,1.00,,Has Twitter
CaD-CA18,"Cardoza, Dennis A.",M,3/31/59,Democratic,CA,18,0,RepCardoza,1/1/10,2010,,,,,,
GiC-FL28,"Gimenez, Carlos A.",M,1/17/54,Republican,FL,28,118,RepCarlos,12/1/20,2020,1/3/23,1/3/25,-31,1.00,,Has Twitter
MiC-WV01,"Miller, Carol D.",F,11/4/50,Republican,WV,1,118,RepCarolMiller,1/1/19,2019,1/3/23,1/3/25,-27,1.00,,Has Twitter
CaM-PA08,"Cartwright, Matt",M,5/1/61,Democratic,PA,8,118,RepCartwright,8/1/12,2012,1/3/23,1/3/25,-38,1.00,,Has Twitter
CaG-TX35,"Casar, Greg",M,5/4/89,Democratic,TX,35,118,RepCasar,3/1/22,2022,1/3/23,1/3/25,33,1.00,,Has Twitter
CaS-IL06,"Casten, Sean",M,11/23/71,Democratic,IL,6,118,RepCasten,1/1/19,2019,1/3/23,1/3/25,51,1.00,,Has Twitter
CaM-NC11,"Cawthorn, Madison",M,8/1/95,Republican,NC,11,0,RepCawthorn,12/1/20,2020,,,,,,
BaC-NH02,"Bass, Charles F.",M,1/8/52,Republican,NH,2,0,RepCharlesBass,1/1/11,2011,,,,,,
DjC-HI01,"Djou, Charles K.",M,8/9/70,Republican,HI,1,0,RepCharlesDjou,6/1/10,2010,,,,,,
DeC-PA15,"Dent, Charles W.",M,5/24/60,Republican,PA,15,0,RepCharlieDent,1/1/11,2011,,,,,,
BuC-IL17,"Bustos, Cheri",F,10/17/61,Democratic,IL,17,0,RepCheri,1/1/13,2013,,,,,,
RoC-TX21,"Roy, Chip",M,8/7/72,Republican,TX,21,118,RepChipRoy,1/1/19,2019,1/3/23,1/3/25,50,1.00,,Has Twitter
PaC-NH01,"Pappas, Chris",M,6/4/80,Democratic,NH,1,118,RepChrisPappas,1/1/18,2018,1/3/23,1/3/25,42,1.00,,Has Twitter
StC-UT02,"Stewart, Chris",M,7/15/60,Republican,UT,2,118,RepChrisStewart,1/1/13,2013,1/3/23,1/3/25,-37,1.00,,Has Twitter
FlC-TN03,"Fleischmann, Charles J. Chuck",M,10/11/62,Republican,TN,3,118,RepChuck,1/1/11,2011,1/3/23,1/3/25,-39,1.00,,Has Twitter
CiJ-AZ06,"Ciscomani, Juan",M,8/31/82,Republican,AZ,6,118,RepCiscomani,12/1/22,2022,1/3/23,1/3/25,40,1.00,,Has Twitter
HiC-LA03,"Higgins, Clay",M,8/24/61,Republican,LA,3,118,RepClayHiggins,3/1/17,2017,1/3/23,1/3/25,-38,1.00,,Has Twitter
ClE-MO05,"Cleaver, Emanuel",M,10/26/44,Democratic,MO,5,118,repcleaver,7/1/20,2020,1/3/23,1/3/25,-21,1.00,,Has Twitter
StC-FL06,"Stearns, Cliff",M,4/16/41,Republican,FL,6,0,RepCliffStearns,2/1/09,2009,,,,,,
