uniqueid,fullname,gender,dob,party,stateabr,district,statedistid,congress109,congress110,congress111,congress112,congress113,congress114,congress115,congress116,congress117,congress118,twitterhandle,joinedon,yearjoined,AgeWhenTwitterJoined
BeJ-OH03,"Beatty, Joyce",F,1950-03-12,Democratic,OH,3,3903,0,0,0,0,113,114,115,116,117,118,RepBeatty,2013-03-01,2013,63
BaB-VT00,"Balint, Becca",F,1968-05-04,Democratic,VT,0,5000,0,0,0,0,0,0,0,0,0,118,RepBeccaB,2022-01-01,2022,53
BeA-CA06,"Bera, Ami",M,1965-03-02,Democratic,CA,6,0606,0,0,0,0,113,114,115,116,117,118,RepBera,2012-11-01,2012,47
FoB-IL11,"Foster, Bill",M,1955-10-07,Democratic,IL,11,1711,0,110,111,0,113,114,115,116,117,118,RepBillFoster,2013-01-01,2013,57
BlE-OR03,"Blumenauer, Earl",M,1948-08-16,Democratic,OR,3,4103,109,110,111,112,113,114,115,116,117,118,repblumenauer,2008-08-01,2008,60
BoS-OR01,"Bonamici, Suzanne",F,1954-10-14,Democratic,OR,1,4101,0,0,0,112,113,114,115,116,117,118,RepBonamici,2012-04-01,2012,57
WaB-NJ12,"Watson Coleman, Bonnie",F,1945-02-06,Democratic,NJ,12,3412,0,0,0,0,0,114,115,116,117,118,RepBonnie,2015-01-01,2015,69
BoJ-NY16,"Bowman, Jamaal",M,1976-04-01,Democratic,NY,16,3616,0,0,0,0,0,0,0,0,117,118,RepBowman,2020-12-01,2020,44
AsB-NE02,"Ashford, Brad",M,1949-11-10,Democratic,NE,2,3102,0,0,0,0,0,114,0,0,0,0,RepBradAshford,2015-01-01,2015,65
HiB-NY26,"Higgins, Brian",M,1959-10-06,Democratic,NY,26,3626,109,110,111,112,113,114,115,116,117,118,RepBrianHiggins,2009-04-01,2009,49
BrA-NY22,"Brindisi, Anthony",M,1978-11-22,Democratic,NY,22,3622,0,0,0,0,0,0,0,116,0,0,RepBrindisi,2019-01-01,2019,40
BrJ-CA26,"Brownley, Julia",F,1952-08-28,Democratic,CA,26,0626,0,0,0,0,113,114,115,116,117,118,RepBrownley,2013-03-01,2013,60
CaY-CO08,"Caraveo, Yadira",F,1980-12-23,Democratic,CO,8,0808,0,0,0,0,0,0,0,0,0,118,RepCaraveoMD,2023-01-01,2023,42
CaS-CA24,"Carbajal, Salud O.",M,1964-11-18,Democratic,CA,24,0624,0,0,0,0,0,0,115,116,117,118,RepCarbajal,2017-01-01,2017,52
CaT-CA29,"Cardenas, Tony",M,1963-03-31,Democratic,CA,29,0629,0,0,0,0,113,114,115,116,117,118,repcardenas,2013-02-01,2013,49
CaD-CA18,"Cardoza, Dennis A.",M,1959-03-31,Democratic,CA,18,0618,109,110,111,112,0,0,0,0,0,0,RepCardoza,2010-01-01,2010,50
CaM-PA08,"Cartwright, Matt",M,1961-05-01,Democratic,PA,8,4208,0,0,0,0,113,114,115,116,117,118,RepCartwright,2012-08-01,2012,51
CaG-TX35,"Casar, Greg",M,1989-05-04,Democratic,TX,35,4835,0,0,0,0,0,0,0,0,0,118,RepCasar,2022-03-01,2022,32
CaS-IL06,"Casten, Sean",M,1971-11-23,Democratic,IL,6,1706,0,0,0,0,0,0,0,116,117,118,RepCasten,2019-01-01,2019,47
BuC-IL17,"Bustos, Cheri",F,1961-10-17,Democratic,IL,17,1717,0,0,0,0,113,114,115,116,117,0,RepCheri,2013-01-01,2013,51
PaC-NH01,"Pappas, Chris",M,1980-06-04,Democratic,NH,1,3301,0,0,0,0,0,0,0,116,117,118,RepChrisPappas,2018-01-01,2018,37
ClE-MO05,"Cleaver, Emanuel",M,1944-10-26,Democratic,MO,5,2905,109,110,111,112,113,114,115,116,117,118,repcleaver,2020-07-01,2020,75
CoS-TN09,"Cohen, Steve",M,1949-05-24,Democratic,TN,9,4709,0,110,111,112,113,114,115,116,117,118,RepCohen,2010-07-01,2010,61
AlC-TX32,"Allred, Colin Z.",M,1983-04-15,Democratic,TX,32,4832,0,0,0,0,0,0,0,116,117,118,RepColinAllred,2018-12-01,2018,35
BuC-MO01,"Bush, Cori",F,1976-07-21,Democratic,MO,1,2901,0,0,0,0,0,0,0,0,117,118,RepCori,2018-06-01,2018,41
CuH-TX28,"Cuellar, Henry",M,1955-09-19,Democratic,TX,28,4828,109,110,111,112,113,114,115,116,117,118,RepCuellar,2010-11-01,2010,55
CuE-MD07,"Cummings, Elijah E.",M,1951-01-18,Democratic,MD,7,2407,109,110,111,112,113,114,115,0,0,0,RepCummings,2012-08-01,2012,61
CuJ-SC01,"Cunningham, Joe",M,1982-05-26,Democratic,SC,1,4501,0,0,0,0,0,0,0,116,0,0,RepCunningham,2019-01-01,2019,36
GoD-NY10,"Goldman, Daniel S.",M,1976-02-26,Democratic,NY,10,3610,0,0,0,0,0,0,0,0,0,118,RepDanGoldman,2023-01-01,2023,46
KiD-MI08,"Kildee, Daniel T.",M,1958-08-11,Democratic,MI,8,2608,0,0,0,0,113,114,115,116,117,118,RepDanKildee,2012-12-01,2012,54
DaD-IL07,"Davis, Danny K.",M,1941-09-06,Democratic,IL,7,1707,109,110,111,112,113,114,115,116,117,118,RepDannyDavis,2012-08-01,2012,70
SoD-FL09,"Soto, Darren",M,1978-02-25,Democratic,FL,9,1209,0,0,0,0,0,0,115,116,117,118,RepDarrenSoto,2017-01-01,2017,38
PrD-NC04,"Price, David E.",M,1940-08-17,Democratic,NC,4,3704,109,110,111,112,113,114,115,116,117,0,RepDavidEPrice,2010-06-01,2010,69
DaS-KS03,"Davids, Sharice",F,1980-05-22,Democratic,KS,3,2003,0,0,0,0,0,0,0,116,117,118,RepDavids,2019-01-01,2019,38
ScD-GA13,"Scott, David",M,1945-06-27,Democratic,GA,13,1313,109,110,111,112,113,114,115,116,117,118,repdavidscott,2010-07-01,2010,65
TrD-MD06,"Trone, David J.",M,1955-09-21,Democratic,MD,6,2406,0,0,0,0,0,0,0,116,117,118,RepDavidTrone,2019-01-01,2019,63
DeM-PA04,"Dean, Madeleine",F,1959-06-06,Democratic,PA,4,4204,0,0,0,0,0,0,0,116,117,118,RepDean,2012-04-01,2012,52
PhD-MN03,"Phillips, Dean",M,1969-01-20,Democratic,MN,3,2703,0,0,0,0,0,0,0,116,117,118,RepDeanPhillips,2018-11-01,2018,49
DiD-MI06,"Dingell, Debbie",F,1953-11-23,Democratic,MI,6,2606,0,0,0,0,0,114,115,116,117,118,RepDebDingell,2013-11-01,2013,59
HaD-NM01,"Haaland, Debra A.",F,1960-12-02,Democratic,NM,1,3501,0,0,0,0,0,0,0,116,0,0,RepDebHaaland,2019-01-01,2019,58
DeS-WA01,"DelBene, Suzan K.",F,1962-02-17,Democratic,WA,1,5301,0,0,0,112,113,114,115,116,117,118,RepDelBene,2012-12-01,2012,50
DeA-NY19,"Delgado, Antonio",M,1977-01-28,Democratic,NY,19,3619,0,0,0,0,0,0,0,116,117,0,repdelgado,2019-01-01,2019,41
DeC-PA17,"Deluzio, Christopher R.",M,1984-07-13,Democratic,PA,17,4217,0,0,0,0,0,0,0,0,0,118,RepDeluzio,2022-12-01,2022,38
KiD-WA06,"Kilmer, Derek",M,1974-01-01,Democratic,WA,6,5306,0,0,0,0,113,114,115,116,117,118,RepDerekKilmer,2013-01-01,2013,39
DeM-CA10,"DeSaulnier, Mark",M,1952-03-31,Democratic,CA,10,0610,0,0,0,0,0,114,115,116,117,118,RepDeSaulnier,2015-01-01,2015,62
DeD-CO01,"DeGette, Diana",F,1957-07-29,Democratic,CO,1,0801,109,110,111,112,113,114,115,116,117,118,RepDianaDeGette,2009-04-01,2009,51
TiD-NV01,"Titus, Dina",F,1950-05-23,Democratic,NV,1,3201,0,0,111,0,113,114,115,116,117,118,repdinatitus,2010-03-01,2010,59
MuD-FL26,"Mucarsel-Powell, Debbie",F,1971-01-18,Democratic,FL,26,1226,0,0,0,0,0,0,0,116,0,0,RepDMP,2019-01-01,2019,47
PaJrD-NJ10,"Payne, Donald M., Jr.",M,1958-12-17,Democratic,NJ,10,3410,0,0,0,112,113,114,115,116,117,118,RepDonaldPayne,2013-02-01,2013,54
BeD-VA08,"Beyer, Donald S., Jr.",M,1950-06-20,Democratic,VA,8,5108,0,0,0,0,0,114,115,116,117,118,RepDonBeyer,2015-01-01,2015,64
DaD-NC01,"Davis, Donald G.",M,1971-08-29,Democratic,NC,1,3701,0,0,0,0,0,0,0,0,0,118,RepDonDavis,2023-01-01,2023,51
EvD-PA03,"Evans, Dwight",M,1954-05-16,Democratic,PA,3,4203,0,0,0,0,0,114,115,116,117,118,RepDwightEvans,2009-11-01,2009,55
WaD-FL25,"Wasserman Schultz, Debbie",F,1966-09-27,Democratic,FL,25,1225,109,110,111,112,113,114,115,116,117,118,RepDWStweets,2013-02-01,2013,46
JoE-TX30,"Johnson, Eddie Bernice",F,1935-12-03,Democratic,TX,30,4830,109,110,111,112,113,114,115,116,117,0,RepEBJ,2010-07-01,2010,74
CaE-HI01,"Case, Ed",M,1952-09-27,Democratic,HI,1,1501,109,0,0,0,0,0,0,116,117,118,RepEdCase,2019-01-01,2019,66
LuE-VA02,"Luria, Elaine G.",F,1975-08-15,Democratic,VA,2,5102,0,0,0,0,0,0,0,116,117,0,RepElaineLuria,2019-01-01,2019,43
EnE-NY16,"Engel, Eliot L.",M,1947-02-18,Democratic,NY,16,3616,109,110,111,112,113,114,115,116,0,0,RepEliotEngel,2010-07-01,2010,63
SoE-IL17,"Sorensen, Eric",M,1976-03-18,Democratic,IL,17,1717,0,0,0,0,0,0,0,0,0,118,RepEricSorensen,2023-01-01,2023,46
EsV-TX16,"Escobar, Veronica",F,1969-09-15,Democratic,TX,16,4816,0,0,0,0,0,0,0,116,117,118,RepEscobar,2018-12-01,2018,49
EsA-NY13,"Espaillat, Adriano",M,1954-09-27,Democratic,NY,13,3613,0,0,0,0,0,0,115,116,117,118,RepEspaillat,2017-01-01,2017,62
VeF-TX34,"Vela, Filemon",M,1963-02-13,Democratic,TX,34,4834,0,0,0,0,113,114,115,116,117,0,RepFilemonVela,2013-01-01,2013,49
FlL-TX07,"Fletcher, Lizzie",F,1975-02-13,Democratic,TX,7,4807,0,0,0,0,0,0,0,116,117,118,RepFletcher,2018-12-01,2018,43
GaJ-CA08,"Garamendi, John",M,1945-01-24,Democratic,CA,8,0608,0,0,111,112,113,114,115,116,117,118,RepGaramendi,2009-11-01,2009,64
AcG-NY05,"Ackerman, Gary L.",M,1942-11-19,Democratic,NY,5,3605,109,110,111,112,0,0,0,0,0,0,RepGaryAckerman,2009-11-01,2009,66
CiG-CA39,"Cisneros, Gilbert Ray, Jr.",M,1971-02-12,Democratic,CA,39,0639,0,0,0,0,0,0,0,116,0,0,RepGilCisneros,2019-01-01,2019,47
IvG-MD04,"Ivey, Glenn",M,1961-02-27,Democratic,MD,4,2404,0,0,0,0,0,0,0,0,0,118,RepGlennIvey,2023-01-01,2023,61
GoJ-ME02,"Golden, Jared F.",M,1982-07-25,Democratic,ME,2,2302,0,0,0,0,0,0,0,116,117,118,RepGolden,2019-01-01,2019,36
GoV-TX34,"Gonzalez, Vicente",M,1967-09-04,Democratic,TX,34,4834,0,0,0,0,0,0,115,116,117,118,RepGonzalez,2017-01-01,2017,49
MeG-NY06,"Meng, Grace",F,1975-10-01,Democratic,NY,6,3606,0,0,0,0,113,114,115,116,117,118,RepGraceMeng,2012-12-01,2012,37
LaG-OH01,"Landsman, Greg",M,1976-12-04,Democratic,OH,1,3901,0,0,0,0,0,0,0,0,0,118,RepGregLandsman,2023-01-01,2023,46
MeG-NY05,"Meeks, Gregory W.",M,1953-09-25,Democratic,NY,5,3605,109,110,111,112,113,114,115,116,117,118,RepGregoryMeeks,2009-03-01,2009,55
StG-AZ04,"Stanton, Greg",M,1970-03-08,Democratic,AZ,4,0404,0,0,0,0,0,0,0,116,117,118,RepGregStanton,2019-01-01,2019,48
GuL-IL04,"Gutierrez, Luis V.",M,1953-12-10,Democratic,IL,4,1704,109,110,111,112,113,114,115,0,0,0,RepGutierrez,2009-05-01,2009,55
MoG-WI04,"Moore, Gwen",F,1951-04-18,Democratic,WI,4,5504,109,110,111,112,113,114,115,116,117,118,RepGwenMoore,2009-01-01,2009,57
StH-MI11,"Stevens, Haley M.",F,1983-06-24,Democratic,MI,11,2611,0,0,0,0,0,0,0,116,117,118,RepHaleyStevens,2018-12-01,2018,35
HaC-HI01,"Hanabusa, Colleen",f,1951-05-04,Democratic,HI,1,1501,0,0,0,112,113,114,115,0,0,0,RepHanabusa,2011-01-01,2011,59
JoH-GA04,"Johnson, Henry C. Hank, Jr.",M,1954-10-02,Democratic,GA,4,1304,0,110,111,112,113,114,115,116,117,118,RepHankJohnson,2009-03-01,2009,54
RoH-CA48,"Rouda, Harley",M,1961-12-10,Democratic,CA,48,0648,0,0,0,0,0,0,0,116,0,0,RepHarley,2018-12-01,2018,57
HoS-NV04,"Horsford, Steven",M,1973-04-29,Democratic,NV,4,3204,0,0,0,0,113,0,0,116,117,118,RepHorsford,2011-10-01,2011,38
HoC-PA06,"Houlahan, Chrissy",F,1957-06-05,Democratic,PA,6,4206,0,0,0,0,0,0,0,116,117,118,RepHoulahan,2018-10-01,2018,61
HuJ-CA02,"Huffman, Jared",M,1964-02-18,Democratic,CA,2,0602,0,0,0,0,113,114,115,116,117,118,RepHuffman,2013-01-01,2013,48
HaJ-CT05,"Hayes, Jahana",F,1973-03-08,Democratic,CT,5,0905,0,0,0,0,0,0,0,116,117,118,RepJahanaHayes,2019-01-01,2019,45
PoJ-CO02,"Polis, Jared",M,1975-05-12,Democratic,CO,2,0802,0,0,111,112,113,114,115,0,0,0,RepJaredPolis,2012-01-01,2012,36
CrJ-TX30,"Crockett, Jasmine",F,1981-03-29,Democratic,TX,30,4830,0,0,0,0,0,0,0,0,0,118,RepJasmine,2023-01-01,2023,41
CrJ-CO06,"Crow, Jason",M,1979-03-15,Democratic,CO,6,0806,0,0,0,0,0,0,0,116,117,118,RepJasonCrow,2019-01-01,2019,39
JaP-WA07,"Jayapal, Pramila",F,1965-09-21,Democratic,WA,7,5307,0,0,0,0,0,0,115,116,117,118,RepJayapal,2017-01-01,2017,51
JaJ-NC14,"Jackson, Jeff",M,1982-09-12,Democratic,NC,14,3714,0,0,0,0,0,0,0,0,0,118,RepJeffJackson,2023-01-01,2023,40
JeH-NY08,"Jeffries, Hakeem S.",M,1970-08-04,Democratic,NY,8,3608,0,0,0,0,113,114,115,116,117,118,RepJeffries,2012-01-01,2012,41
NaJ-NY12,"Nadler, Jerrold",M,1947-06-13,Democratic,NY,12,3612,109,110,111,112,113,114,115,116,117,118,RepJerryNadler,2009-05-01,2009,61
ToJ-HI02,"Tokuda, Jill N.",F,1976-03-03,Democratic,HI,2,1502,0,0,0,0,0,0,0,0,0,118,RepJillTokuda,2023-01-01,2023,46
CoJ-CA21,"Costa, Jim",M,1952-04-13,Democratic,CA,21,0621,109,110,111,112,113,114,115,116,117,118,RepJimCosta,2011-01-01,2011,58
MaJ-UT04,"Matheson, Jim",M,1960-03-21,Democratic,UT,4,4904,109,110,111,112,113,0,0,0,0,0,RepJimMatheson,2009-06-01,2009,49
McJ-WA07,"McDermott, Jim",M,1936-12-28,Democratic,WA,7,5307,109,110,111,112,113,114,0,0,0,0,RepJimMcDermott,2010-04-01,2010,73
GoJ-CA34,"Gomez, Jimmy",M,1974-11-25,Democratic,CA,34,0634,0,0,0,0,0,0,115,116,117,118,RepJimmyGomez,2014-03-01,2014,39
PaJ-CA19,"Panetta, Jimmy",M,1969-10-01,Democratic,CA,19,0619,0,0,0,0,0,0,115,116,117,118,RepJimmyPanetta,2016-11-01,2016,47
CoJ-CT02,"Courtney, Joe",M,1953-04-06,Democratic,CT,2,0902,0,110,111,112,113,114,115,116,117,118,RepJoeCourtney,2009-10-01,2009,56
MoJ-NY25,"Morelle, Joseph D.",M,1957-04-29,Democratic,NY,25,3625,0,0,0,0,0,0,115,116,117,118,RepJoeMorelle,2018-11-01,2018,61
NeJ-CO02,"Neguse, Joe",M,1984-05-13,Democratic,CO,2,0802,0,0,0,0,0,0,0,116,117,118,RepJoeNeguse,2018-12-01,2018,34
BoJ-OH16,"Boccieri, John A.",M,1969-10-05,Democratic,OH,16,3916,0,0,111,0,0,0,0,0,0,0,RepJohnBoccieri,2016-02-01,2016,46
CoJ-MI13,"Conyers, John, Jr.",M,1929-05-16,Democratic,MI,13,2613,109,110,111,112,113,114,0,0,0,0,RepJohnConyers,2010-04-01,2010,80
LaJ-CT01,"Larson, John B.",M,1948-07-22,Democratic,CT,1,0901,109,110,111,112,113,114,115,116,117,118,RepJohnLarson,2009-06-01,2009,60
LeJ-GA05,"Lewis, John",M,1940-02-21,Democratic,GA,5,1305,109,110,111,112,113,114,115,116,0,0,repjohnlewis,2009-04-01,2009,69
SeJ-NY15,"Serrano, Jose E.",M,1943-10-24,Democratic,NY,15,3615,109,110,111,112,113,114,115,116,0,0,RepJoseSerrano,2009-04-01,2009,65
GoJ-NJ05,"Gottheimer, Josh",M,1975-03-08,Democratic,NJ,5,3405,0,0,0,0,0,0,115,116,117,118,RepJoshG,2016-12-01,2016,41
HaJ-CA09,"Harder, Josh",M,1986-08-01,Democratic,CA,9,0609,0,0,0,0,0,0,0,116,117,118,RepJoshHarder,2019-01-01,2019,32
VaJ-CA52,"Vargas, Juan",M,1961-03-07,Democratic,CA,52,0652,0,0,0,0,113,114,115,116,117,118,RepJuanVargas,2013-03-01,2013,52
ChJ-CA28,"Chu, Judy",F,1953-07-07,Democratic,CA,28,0628,0,0,111,112,113,114,115,116,117,118,RepJudyChu,2010-09-01,2010,57
KaK-HI02,"Kahele, Kaiali''i",M,1974-03-28,Democratic,HI,2,1502,0,0,0,0,0,0,0,0,117,0,RepKahele,2021-01-01,2021,46
KaS-CA37,"Kamlager-Dove, Sydney",F,1972-07-20,Democratic,CA,37,0637,0,0,0,0,0,0,0,0,0,118,RepKamlagerDove,2023-01-01,2023,50
BaK-CA37,"Bass, Karen",F,1953-10-03,Democratic,CA,37,0637,0,0,0,112,113,114,115,116,117,0,RepKarenBass,2011-01-01,2011,57
HoK-NY26,"Hochul, Kathleen C.",F,1958-08-27,Democratic,NY,26,3626,0,0,0,112,0,0,0,0,0,0,RepKathyHochul,2011-06-01,2011,52
HiK-CA25,"Hill, Katie",F,1987-08-25,Democratic,CA,25,0625,0,0,0,0,0,0,0,116,0,0,RepKatieHill,2018-11-01,2018,31
PoK-CA47,"Porter, Katie",F,1974-01-03,Democratic,CA,47,0647,0,0,0,0,0,0,0,116,117,118,RepKatiePorter,2019-01-01,2019,45
ClK-MA05,"Clark, Katherine M.",F,1963-07-17,Democratic,MA,5,2505,0,0,0,0,113,114,115,116,117,118,RepKClark,2014-01-01,2014,50
KiR-NV04,"Kihuen, Ruben J.",M,1980-04-25,Democratic,NV,4,3204,0,0,0,0,0,0,115,0,0,0,RepKihuen,2017-01-01,2017,36
ScK-WA08,"Schrier, Kim",F,1968-08-23,Democratic,WA,8,5308,0,0,0,0,0,0,0,116,117,118,RepKimSchrier,2019-01-01,2019,50
KiA-AZ02,"Kirkpatrick, Ann",F,1950-03-24,Democratic,AZ,2,0402,0,0,111,0,113,114,0,116,117,0,RepKirkpatrick,2019-01-01,2019,68
MfK-MD07,"Mfume, Kweisi",M,1948-10-24,Democratic,MD,7,2407,0,0,0,0,0,0,0,116,117,118,RepKweisiMfume,2020-06-01,2020,71
BlL-DE00,"Blunt Rochester, Lisa",F,1962-02-10,Democratic,DE,0,1000,0,0,0,0,0,0,115,116,117,118,RepLBR,2017-01-01,2017,54
SaL-CA38,"Sanchez, Linda T.",F,1969-01-28,Democratic,CA,38,0638,109,110,111,112,113,114,115,116,117,118,replindasanchez,2011-06-01,2011,42
LiD-IL03,"Lipinski, Daniel",M,1966-07-15,Democratic,IL,3,1703,109,110,111,112,113,114,115,116,0,0,RepLipinski,2012-12-01,2012,46
DoL-TX37,"Doggett, Lloyd",M,1946-10-06,Democratic,TX,37,4837,109,110,111,112,113,114,115,116,117,118,RepLloydDoggett,2010-06-01,2010,63
CaL-CA24,"Capps, Lois",F,1938-01-10,Democratic,CA,24,0624,109,110,111,112,113,114,0,0,0,0,RepLoisCapps,2011-05-01,2011,73
FrL-FL22,"Frankel, Lois",F,1948-05-16,Democratic,FL,22,1222,0,0,0,0,113,114,115,116,117,118,RepLoisFrankel,2013-01-01,2013,64
TrL-MA03,"Trahan, Lori",F,1973-10-27,Democratic,MA,3,2503,0,0,0,0,0,0,0,116,117,118,RepLoriTrahan,2018-12-01,2018,45
CoJ-CA46,"Correa, J. Luis",M,1958-01-24,Democratic,CA,46,0646,0,0,0,0,0,0,115,116,117,118,RepLouCorrea,2017-01-01,2017,58
LoA-CA47,"Lowenthal, Alan S.",M,1941-03-08,Democratic,CA,47,0647,0,0,0,0,113,114,115,116,117,0,RepLowenthal,2013-01-01,2013,71
McL-GA07,"McBath, Lucy",F,1960-06-01,Democratic,GA,7,1307,0,0,0,0,0,0,0,116,117,118,RepLucyMcBath,2019-01-01,2019,58
MaC-NY12,"Maloney, Carolyn B.",F,1946-02-19,Democratic,NY,12,3612,109,110,111,112,113,114,115,116,117,0,RepMaloney,2011-02-01,2011,64
FuM-OH11,"Fudge, Marcia L.",F,1952-10-29,Democratic,OH,11,3911,0,110,111,112,113,114,115,116,0,0,RepMarciaFudge,2010-06-01,2010,57
KaM-OH09,"Kaptur, Marcy",F,1946-06-17,Democratic,OH,9,3909,109,110,111,112,113,114,115,116,117,118,RepMarcyKaptur,2012-05-01,2012,65
NeM-IL03,"Newman, Marie",F,1964-04-13,Democratic,IL,3,1703,0,0,0,0,0,0,0,0,117,0,RepMarieNewman,2020-12-01,2020,56
PoM-WI02,"Pocan, Mark",M,1964-08-14,Democratic,WI,2,5502,0,0,0,0,113,114,115,116,117,118,repmarkpocan,2013-02-01,2013,48
TaM-HI01,"Takai, Mark",M,1967-07-01,Democratic,HI,1,1501,0,0,0,0,0,114,0,0,0,0,RepMarkTakai,2015-01-01,2015,47
TaM-CA39,"Takano, Mark",M,1960-12-10,Democratic,CA,39,0639,0,0,0,0,113,114,115,116,117,118,RepMarkTakano,2012-12-01,2012,52
WaM-CA43,"Waters, Maxine",F,1938-08-15,Democratic,CA,43,0643,109,110,111,112,113,114,115,116,117,118,RepMaxineWaters,2009-04-01,2009,70
RoM-NY11,"Rose, Max",M,1986-11-28,Democratic,NY,11,3611,0,0,0,0,0,0,0,116,0,0,RepMaxRose,2018-12-01,2018,32
FrM-FL10,"Frost, Maxwell",M,1997-01-17,Democratic,FL,10,1210,0,0,0,0,0,0,0,0,0,118,RepMaxwellFrost,2022-12-01,2022,25
McC-NY04,"McCarthy, Carolyn",F,1944-01-05,Democratic,NY,4,3604,109,110,111,112,113,0,0,0,0,0,RepMcCarthyNY,2010-06-01,2010,66
McA-VA04,"McEachin, A. Donald",M,1961-10-10,Democratic,VA,4,5104,0,0,0,0,0,0,115,116,117,0,RepMcEachin,2017-01-01,2017,55
McM-KY03,"McGarvey, Morgan",M,1979-12-23,Democratic,KY,3,2103,0,0,0,0,0,0,0,0,0,118,RepMcGarvey,2023-01-01,2023,43
McJ-MA02,"McGovern, James P.",M,1959-11-20,Democratic,MA,2,2502,109,110,111,112,113,114,115,116,117,118,RepMcGovern,2011-01-01,2011,51
NeG-CA35,"Negrete McLeod, Gloria",F,1941-09-06,Democratic,CA,35,0635,0,0,0,0,113,0,0,0,0,0,RepMcLeod,2012-12-01,2012,71
McJ-CA09,"McNerney, Jerry",M,1951-06-18,Democratic,CA,9,0609,0,110,111,112,113,114,115,116,117,0,RepMcNerney,2011-10-01,2011,60
MeR-NJ08,"Menendez, Robert",M,1985-07-12,Democratic,NJ,8,3408,0,0,0,0,0,0,0,0,0,118,RepMenendez,2022-12-01,2022,37
MeR-NJ13,"Menendez, Robert",M,1954-01-01,Democratic,NJ,13,3413,109,0,0,0,0,0,0,0,0,0,RepMenendez,2022-12-01,2022,68
PeM-WA03,"Perez, Marie Gluesenkamp",F,1988-06-04,Democratic,WA,3,5303,0,0,0,0,0,0,0,0,0,118,RepMGP,2022-10-01,2022,34
ScM-PA05,"Scanlon, Mary Gay",F,1959-08-30,Democratic,PA,5,4205,0,0,0,0,0,0,115,116,117,118,RepMGS,2018-11-01,2018,59
HoM-CA17,"Honda, Michael M.",M,1941-06-27,Democratic,CA,17,0617,109,110,111,112,113,114,0,0,0,0,RepMikeHonda,2008-10-01,2008,67
LeM-CA49,"Levin, Mike",M,1978-10-20,Democratic,CA,49,0649,0,0,0,0,0,0,0,116,117,118,RepMikeLevin,2018-12-01,2018,40
McM-NY13,"McMahon, Michael E.",M,1957-09-12,Democratic,NY,13,3613,0,0,111,0,0,0,0,0,0,0,RepMikeMcMahon,2009-06-01,2009,51
QuM-IL05,"Quigley, Mike",M,1958-10-17,Democratic,IL,5,1705,0,0,111,112,113,114,115,116,117,118,RepMikeQuigley,2009-07-01,2009,50
MoJ-FL23,"Moskowitz, Jared",M,1980-12-18,Democratic,FL,23,1223,0,0,0,0,0,0,0,0,0,118,RepMoskowitz,2023-01-01,2023,42
MrF-IN01,"Mrvan, Frank J.",M,1969-04-16,Democratic,IN,1,1801,0,0,0,0,0,0,0,0,117,118,RepMrvan,2021-01-01,2021,51
RaN-WV03,"Rahall, Nick J., II",M,1949-05-20,Democratic,WV,3,5403,109,110,111,112,113,0,0,0,0,0,RepNickRahall,2014-02-01,2014,64
WiN-GA05,"Williams, Nikema",F,1978-07-30,Democratic,GA,5,1305,0,0,0,0,0,0,0,0,117,118,RepNikema,2021-01-01,2021,42
BuN-IL13,"Budzinski, Nikki",F,1977-03-11,Democratic,IL,13,1713,0,0,0,0,0,0,0,0,0,118,RepNikkiB,2022-12-01,2022,45
O'T-AZ01,"O''Halleran, Tom",M,1946-01-24,Democratic,AZ,1,0401,0,0,0,0,0,0,115,116,117,0,RepOHalleran,2016-12-01,2016,70
RyP-NY18,"Ryan, Patrick",M,1982-03-28,Democratic,NY,18,3618,0,0,0,0,0,0,0,0,117,118,RepPatRyanNY,2022-09-01,2022,40
ToP-NY20,"Tonko, Paul",M,1949-06-18,Democratic,NY,20,3620,0,0,111,112,113,114,115,116,117,118,RepPaulTonko,2009-10-01,2009,60
PeE-CO07,"Perlmutter, Ed",M,1953-05-01,Democratic,CO,7,0807,0,110,111,112,113,114,115,116,117,0,RepPerlmutter,2009-02-01,2009,55
AgP-CA33,"Aguilar, Pete",M,1979-06-19,Democratic,CA,33,0633,0,0,0,0,0,114,115,116,117,118,RepPeteAguilar,2015-02-01,2015,35
DeP-OR04,"DeFazio, Peter A.",M,1947-05-27,Democratic,OR,4,4104,109,110,111,112,113,114,115,116,117,0,RepPeterDeFazio,2011-02-01,2011,63
PeB-CO07,"Pettersen, Brittany",F,1981-12-06,Democratic,CO,7,0807,0,0,0,0,0,0,0,0,0,118,RepPettersen,2023-01-01,2023,41
PrA-MA07,"Pressley, Ayanna",F,1974-02-03,Democratic,MA,7,2507,0,0,0,0,0,0,0,116,117,118,RepPressley,2019-01-01,2019,44
TlR-MI12,"Tlaib, Rashida",F,1976-07-24,Democratic,MI,12,2612,0,0,0,0,0,0,0,116,117,118,RepRashida,2018-12-01,2018,42
RaJ-MD08,"Raskin, Jamie",M,1962-12-13,Democratic,MD,8,2408,0,0,0,0,0,0,115,116,117,118,RepRaskin,2016-12-01,2016,54
GrR-AZ07,"Grijalva, Raúl M.",M,1948-02-19,Democratic,AZ,7,0407,109,110,111,112,113,114,115,116,117,118,RepRaulGrijalva,2009-04-01,2009,61
RuR-CA25,"Ruiz, Raul",M,1972-08-25,Democratic,CA,25,0625,0,0,0,0,113,114,115,116,117,118,RepRaulRuizMD,2013-01-01,2013,40
