uniqueid,fullname,gender,dob,party,stateabr,district,CongressSession,AgeWhenSessionStarted,sessionstartedon,sessionendedon,twitterhandle,joinedon,AgeWhenTwitterJoined,yearjoinedontwitter
WoL-CA06,"Woolsey, Lynn C.",F,1937-11-03,Democratic,CA,6,111,71,2009-01-03,2011-01-03,lynnwoolsey,2009-04-01,71,2009
NoE-DC00,"Norton, Eleanor Holmes",F,1937-06-13,Democratic,DC,0,111,71,2009-01-03,2011-01-03,EleanorNorton,2009-03-01,71,2009
LoN-NY17,"Lowey, Nita M.",F,1937-07-05,Democratic,NY,17,111,71,2009-01-03,2011-01-03,Lowey4Congress,2012-08-01,75,2012
PaB-NJ09,"Pascrell, Bill, Jr.",M,1937-01-25,Democratic,NJ,9,111,71,2009-01-03,2011-01-03,BillPascrell,2009-01-01,71,2009
BiJ-IL13,"Biggert, Judy",F,1937-08-15,Republican,IL,13,111,71,2009-01-03,2011-01-03,JudyBiggert,2009-02-01,71,2009
RoH-KY05,"Rogers, Harold",M,1937-12-31,Republican,KY,5,111,71,2009-01-03,2011-01-03,RepHalRogers,2012-04-01,74,2012
KaP-PA11,"Kanjorski, Paul E.",M,1937-04-02,Democratic,PA,11,111,71,2009-01-03,2011-01-03,PaulKanjorski,2010-06-01,73,2010
CaL-CA24,"Capps, Lois",F,1938-01-10,Democratic,CA,24,111,71,2009-01-03,2011-01-03,RepLoisCapps,2011-05-01,73,2011
HaA-FL20,"Hastings, Alcee L.",M,1936-09-05,Democratic,FL,20,111,72,2009-01-03,2011-01-03,AlceeHastingsFL,2013-11-01,77,2013
NaG-CA31,"Napolitano, Grace F.",F,1936-12-04,Democratic,CA,31,111,72,2009-01-03,2011-01-03,gracenapolitano,2010-06-01,73,2010
OlJ-MA01,"Olver, John W.",M,1936-09-03,Democratic,MA,1,111,72,2009-01-03,2011-01-03,,,,
McJ-WA07,"McDermott, Jim",M,1936-12-28,Democratic,WA,7,111,72,2009-01-03,2011-01-03,RepJimMcDermott,2010-04-01,73,2010
BrH-SC01,"Brown, Henry E., Jr.",M,1935-12-20,Republican,SC,1,111,73,2009-01-03,2011-01-03,,,,
JoE-TX30,"Johnson, Eddie Bernice",F,1935-12-03,Democratic,TX,30,111,73,2009-01-03,2011-01-03,RepEBJ,2010-07-01,74,2010
PaR-TX14,"Paul, Ron",M,1935-08-20,Republican,TX,14,111,73,2009-01-03,2011-01-03,RonPaul,2011-04-01,75,2011
PaSrD-NJ10,"Payne, Donald M.",M,1934-07-16,Democratic,NJ,10,111,74,2009-01-03,2011-01-03,,,,
ObJ-MN08,"Oberstar, James L.",M,1934-09-10,Democratic,MN,8,111,74,2009-01-03,2011-01-03,JimOberstar,2009-02-09,74,2009
LeJ-CA41,"Lewis, Jerry",M,1934-10-21,Republican,CA,41,111,74,2009-01-03,2011-01-03,RepJerryLewis,2009-09-01,74,2009
EhV-MI03,"Ehlers, Vernon J.",M,1934-02-06,Republican,MI,3,111,74,2009-01-03,2011-01-03,,,,
ToE-NY10,"Towns, Edolphus",M,1934-07-21,Democratic,NY,10,111,74,2009-01-03,2011-01-03,EdTowns,2010-03-01,75,2010
WaD-CA33,"Watson, Diane E.",F,1933-11-12,Democratic,CA,33,111,75,2009-01-03,2011-01-03,,,,
BoM-GU00,"Bordallo, Madeleine Z.",F,1933-05-31,Democratic,GU,0,111,75,2009-01-03,2011-01-03,,,,
BoL-IA03,"Boswell, Leonard L.",M,1934-01-10,Democratic,IA,3,111,75,2009-01-03,2011-01-03,LeonardBoswell,2009-02-01,75,2009
YoD-AK00,"Young, Don",M,1933-06-09,Republican,AK,0,111,75,2009-01-03,2011-01-03,repdonyoung,2009-05-01,75,2009
MuJ-PA12,"Murtha, John P.",M,1932-06-17,Democratic,PA,12,111,76,2009-01-03,2011-01-03,,,,
LeS-MI09,"Levin, Sander M.",M,1931-09-06,Democratic,MI,9,111,77,2009-01-03,2011-01-03,repsandylevin,2009-03-01,77,2009
SkI-MO04,"Skelton, Ike",M,1931-12-20,Democratic,MO,4,111,77,2009-01-03,2011-01-03,IkeSkelton,2010-01-01,78,2010
CoH-NC06,"Coble, Howard",M,1931-03-18,Republican,NC,6,111,77,2009-01-03,2011-01-03,HowardCoble,2011-06-01,80,2011
StF-CA13,"Stark, Fortney Pete",M,1931-11-11,Democratic,CA,13,111,77,2009-01-03,2011-01-03,,,,
RaC-NY13,"Rangel, Charles B.",M,1930-06-11,Democratic,NY,13,111,78,2009-01-03,2011-01-03,cbrangel,2009-02-01,78,2009
YoC-FL13,"Young, C. W. Bill",M,1930-12-16,Republican,FL,13,111,78,2009-01-03,2011-01-03,,,,
JoS-TX03,"Johnson, Sam",M,1930-10-11,Republican,TX,3,111,78,2009-01-03,2011-01-03,SamsPressShop,2011-02-01,80,2011
SlL-NY25,"Slaughter, Louise McIntosh",F,1929-08-14,Democratic,NY,25,111,79,2009-01-03,2011-01-03,louiseslaughter,2009-08-01,80,2009
KiD-MI05,"Kildee, Dale E.",M,1929-09-16,Democratic,MI,5,111,79,2009-01-03,2011-01-03,,,,
CoJ-MI13,"Conyers, John, Jr.",M,1929-05-16,Democratic,MI,13,111,79,2009-01-03,2011-01-03,RepJohnConyers,2010-04-01,80,2010
DiJ-MI12,"Dingell, John D.",M,1926-07-08,Democratic,MI,12,111,82,2009-01-03,2011-01-03,JohnDingell,2010-01-01,83,2010
BaR-MD06,"Bartlett, Roscoe G.",M,1926-06-03,Republican,MD,6,111,82,2009-01-03,2011-01-03,Roscoe_Bartlett,2011-12-01,85,2011
HaR-TX04,"Hall, Ralph M.",M,1923-05-03,Republican,TX,4,111,85,2009-01-03,2011-01-03,RalphHallPress,2013-02-01,89,2013
ScA-IL18,"Schock, Aaron",M,1981-05-28,Republican,IL,18,112,29,2011-01-03,2013-01-03,aaronschock,2009-03-01,27,2009
AmJ-MI03,"Amash, Justin",M,1980-04-18,Libertarian,MI,3,112,30,2011-01-03,2013-01-03,justinamash,2011-01-01,30,2011
KiA-IL16,"Kinzinger, Adam",M,1978-02-27,Republican,IL,16,112,32,2011-01-03,2013-01-03,RepKinzinger,2010-11-01,32,2010
HeJ-WA03,"Herrera Beutler, Jaime",F,1978-11-03,Republican,WA,3,112,32,2011-01-03,2013-01-03,HerreraBeutler,2011-01-01,32,2011
YoK-KS03,"Yoder, Kevin",M,1976-11-08,Republican,KS,3,112,34,2011-01-03,2013-01-03,kevinyoder,2011-02-01,34,2011
RoM-AL02,"Roby, Martha",F,1976-07-27,Republican,AL,2,112,34,2011-01-03,2013-01-03,MarthaRobyAL,2010-12-01,34,2010
QuB-AZ03,"Quayle, Benjamin",M,1976-11-03,Republican,AZ,3,112,34,2011-01-03,2013-01-03,bquayle,2010-02-01,33,2010
HuD-CA50,"Hunter, Duncan D.",M,1976-12-07,Republican,CA,50,112,34,2011-01-03,2013-01-03,,,,
StM-IN03,"Stutzman, Marlin A.",M,1976-08-31,Republican,IN,3,112,34,2011-01-03,2013-01-03,RepStutzman,2010-11-01,34,2010
McP-NC10,"McHenry, Patrick T.",M,1975-11-22,Republican,NC,10,112,35,2011-01-03,2013-01-03,PatrickMcHenry,2009-03-01,33,2009
PoJ-CO02,"Polis, Jared",M,1975-05-12,Democratic,CO,2,112,35,2011-01-03,2013-01-03,RepJaredPolis,2012-01-01,36,2012
CaA-IN07,"Carson, Andre",M,1974-10-16,Democratic,IN,7,112,36,2011-01-03,2013-01-03,RepAndreCarson,2010-10-01,35,2010
GaC-CO04,"Gardner, Cory",M,1974-08-22,Republican,CO,4,112,36,2011-01-03,2013-01-03,SenCoryGardner,2011-01-01,36,2011
FiS-TN08,"Fincher, Stephen Lee",M,1973-02-07,Republican,TN,8,112,37,2011-01-03,2013-01-03,RepFincherTN08,2011-02-01,38,2011
RuJ-NJ03,"Runyan, Jon",M,1973-11-27,Republican,NJ,3,112,37,2011-01-03,2013-01-03,RepJonRunyan,2011-06-01,37,2011
NuD-CA22,"Nunes, Devin",M,1973-10-01,Republican,CA,22,112,37,2011-01-03,2013-01-03,DevinNunes,2009-07-01,35,2009
RyT-OH13,"Ryan, Tim",M,1973-07-16,Democratic,OH,13,112,37,2011-01-03,2013-01-03,RepTimRyan,2008-02-01,34,2008
BoD-OK02,"Boren, Dan",M,1973-08-02,Democratic,OK,2,112,37,2011-01-03,2013-01-03,DanBorenOK,2020-04-01,46,2020
MuC-CT05,"Murphy, Christopher",M,1973-08-03,Democratic,CT,5,112,37,2011-01-03,2013-01-03,ChrisMurphyCT,2010-05-01,36,2010
RiC-LA02,"Richmond, Cedric L.",M,1973-09-13,Democratic,LA,2,112,37,2011-01-03,2013-01-03,RepRichmond,2011-03-01,37,2011
LuB-NM03,"Lujan, Ben Ray",M,1972-06-07,Democratic,NM,3,112,38,2011-01-03,2013-01-03,SenatorLujan,2009-01-01,36,2009
YoT-IN09,"Young, Todd",M,1972-08-24,Republican,IN,9,112,38,2011-01-03,2013-01-03,SenToddYoung,2011-01-01,38,2011
NoK-SD00,"Noem, Kristi L.",F,1971-11-30,Republican,SD,0,112,39,2011-01-03,2013-01-03,KristiNoem,2010-02-01,38,2010
ReT-NY23,"Reed, Tom",M,1971-11-18,Republican,NY,23,112,39,2011-01-03,2013-01-03,TomReedCongress,2009-08-01,37,2009
HeM-NM01,"Heinrich, Martin",M,1971-10-17,Democratic,NM,1,112,39,2011-01-03,2013-01-03,MartinHeinrich,2013-01-01,41,2013
DuS-WI07,"Duffy, Sean P.",M,1971-10-03,Republican,WI,7,112,39,2011-01-03,2013-01-03,SeanDuffyWI,2011-01-01,39,2011
ShH-NC11,"Shuler, Heath",M,1971-12-31,Democratic,NC,11,112,39,2011-01-03,2013-01-03,HeathShuler5,2017-07-01,45,2017
SmA-NE03,"Smith, Adrian",M,1970-12-19,Republican,NE,3,112,40,2011-01-03,2013-01-03,RepAdrianSmith,2011-01-01,40,2011
LaJ-LA03,"Landry, Jeffrey M.",M,1970-12-23,Republican,LA,3,112,40,2011-01-03,2013-01-03,AGJeffLandry,2010-11-01,39,2010
GuF-NH01,"Guinta, Frank C.",M,1970-09-26,Republican,NH,1,112,40,2011-01-03,2013-01-03,RepFrankGuinta,2011-01-01,40,2011
GrM-NY11,"Grimm, Michael G.",M,1970-02-07,Republican,NY,11,112,40,2011-01-03,2013-01-03,MichaelGrimmNY,2017-08-01,47,2017
RoT-FL17,"Rooney, Thomas J.",M,1970-11-21,Republican,FL,17,112,40,2011-01-03,2013-01-03,TomRooney,2009-03-01,38,2009
PaS-MS04,"Palazzo, Steven M.",M,1970-02-21,Republican,MS,4,112,40,2011-01-03,2013-01-03,CongPalazzo,2011-05-01,41,2011
RoT-IN04,"Rokita, Todd",M,1970-02-09,Republican,IN,4,112,40,2011-01-03,2013-01-03,ToddRokita,2008-11-01,38,2008
WoR-GA07,"Woodall, Rob",M,1970-02-11,Republican,GA,7,112,40,2011-01-03,2013-01-03,RepRobWoodall,2014-03-01,44,2014
RyP-WI01,"Ryan, Paul D.",M,1970-01-29,Republican,WI,1,112,40,2011-01-03,2013-01-03,SpeakerRyan,2009-01-01,38,2009
GiG-AZ08,"Giffords, Gabrielle",F,1970-06-08,Democratic,AZ,8,112,40,2011-01-03,2013-01-03,GabbyGiffords,2009-06-01,39,2009
GrT-GA14,"Graves, Tom",M,1970-02-03,Republican,GA,14,112,40,2011-01-03,2013-01-03,RepTomGraves,2010-09-01,40,2010
MaT-KY04,"Massie, Thomas",M,1971-01-13,Republican,KY,4,112,40,2011-01-03,2013-01-03,RepThomasMassie,2012-11-01,41,2012
HuR-VA05,"Hurt, Robert",M,1969-06-16,Republican,VA,5,112,41,2011-01-03,2013-01-03,RepRobertHurt,2011-01-01,41,2011
McC-WA05,"McMorris Rodgers, Cathy",F,1969-05-22,Republican,WA,5,112,41,2011-01-03,2013-01-03,cathymcmorris,2008-01-01,38,2008
HuB-MI04,"Huizenga, Bill",M,1969-01-31,Republican,MI,4,112,41,2011-01-03,2013-01-03,RepHuizenga,2011-01-01,41,2011
DoR-IL10,"Dold, Robert J.",M,1969-06-23,Republican,IL,10,112,41,2011-01-03,2013-01-03,RepDold,2011-01-01,41,2011
SaL-CA38,"Sanchez, Linda T.",F,1969-01-28,Democratic,CA,38,112,41,2011-01-03,2013-01-03,replindasanchez,2011-06-01,42,2011
ScA-GA08,"Scott, Austin",M,1969-12-10,Republican,GA,8,112,41,2011-01-03,2013-01-03,AustinScottGA08,2011-01-01,41,2011
HuT-KS01,"Huelskamp, Tim",M,1968-11-11,Republican,KS,1,112,42,2011-01-03,2013-01-03,CongHuelskamp,2011-01-01,42,2011
GrT-AR02,"Griffin, Tim",M,1968-08-21,Republican,AR,2,112,42,2011-01-03,2013-01-03,AGTimGriffin,2010-10-01,42,2010
AlJ-PA04,"Altmire, Jason",M,1968-03-07,Democratic,PA,4,112,42,2011-01-03,2013-01-03,jasonaltmire,2011-03-01,43,2011
LaJ-OK05,"Lankford, James",M,1968-03-04,Republican,OK,5,112,42,2011-01-03,2013-01-03,SenatorLankford,2010-12-01,42,2010
MaC-FL14,"Mack, Connie",M,1967-08-12,Republican,FL,14,112,43,2011-01-03,2013-01-03,ConnieMackIV,2009-03-01,41,2009
ChJ-UT03,"Chaffetz, Jason",M,1967-03-26,Republican,UT,3,112,43,2011-01-03,2013-01-03,jasoninthehouse,2008-12-01,41,2008
MuM-SC05,"Mulvaney, Mick",M,1967-07-21,Republican,SC,5,112,43,2011-01-03,2013-01-03,MickMulvaneyOMB,2017-07-01,49,2017
LaR-ID01,"Labrador, Raul R.",M,1967-12-08,Republican,ID,1,112,43,2011-01-03,2013-01-03,Raul_Labrador,2011-02-01,43,2011
DeJ-CA10,"Denham, Jeff",M,1967-07-29,Republican,CA,10,112,43,2011-01-03,2013-01-03,JeffDenham,2009-02-01,41,2009
HiJ-CT04,"Himes, James A.",M,1966-07-05,Democratic,CT,4,112,44,2011-01-03,2013-01-03,jahimes,2009-04-01,42,2009
HuR-IL14,"Hultgren, Randy",M,1966-03-01,Republican,IL,14,112,44,2011-01-03,2013-01-03,RepHultgren,2011-01-01,44,2011
DeT-FL22,"Deutch, Theodore E.",M,1966-05-07,Democratic,FL,22,112,44,2011-01-03,2013-01-03,RepTedDeutch,2010-04-10,43,2010
CrE-AR01,"Crawford, Eric A. Rick",M,1966-01-22,Republican,AR,1,112,44,2011-01-03,2013-01-03,reprickcrawford,2011-01-01,44,2011
LiD-IL03,"Lipinski, Daniel",M,1966-07-15,Democratic,IL,3,112,44,2011-01-03,2013-01-03,RepLipinski,2012-12-01,46,2012
CaK-FL14,"Castor, Kathy",F,1966-08-20,Democratic,FL,14,112,44,2011-01-03,2013-01-03,USRepKCastor,2013-11-01,47,2013
WaD-FL25,"Wasserman Schultz, Debbie",F,1966-09-27,Democratic,FL,25,112,44,2011-01-03,2013-01-03,RepDWStweets,2013-02-01,46,2013
JaJ-IL02,"Jackson, Jesse L., Jr.",M,1965-03-11,Democratic,IL,2,112,45,2011-01-03,2013-01-03,,,,
StS-OH15,"Stivers, Steve",M,1965-03-24,Republican,OH,15,112,45,2011-01-03,2013-01-03,RepSteveStivers,2010-11-01,45,2010
SoS-FL02,"Southerland, Steve II",M,1965-10-10,Republican,FL,2,112,45,2011-01-03,2013-01-03,Rep_Southerland,2011-01-01,45,2011
SmA-WA09,"Smith, Adam",M,1965-06-15,Democratic,WA,9,112,45,2011-01-03,2013-01-03,RepAdamSmith,2009-03-01,43,2009
RiD-FL25,"Rivera, David",M,1965-09-16,Republican,FL,25,112,45,2011-01-03,2013-01-03,RepRivera,2011-01-01,45,2011
AdR-AL04,"Aderholt, Robert B.",M,1965-07-22,Republican,AL,4,112,45,2011-01-03,2013-01-03,Robert_Aderholt,2009-09-01,44,2009
ScS-LA01,"Scalise, Steve",M,1965-10-06,Republican,LA,1,112,45,2011-01-03,2013-01-03,SteveScalise,2013-02-01,47,2013
McK-CA20,"McCarthy, Kevin",M,1965-01-26,Republican,CA,20,112,45,2011-01-03,2013-01-03,SpeakerMcCarthy,2009-01-01,43,2009
McT-MI11,"McCotter, Thaddeus G.",M,1965-08-22,Republican,MI,11,112,45,2011-01-03,2013-01-03,,,,
DuJ-SC03,"Duncan, Jeff",M,1966-01-07,Republican,SC,3,112,45,2011-01-03,2013-01-03,RepJeffDuncan,2011-01-01,45,2011
PaE-MN03,"Paulsen, Erik",M,1965-05-14,Republican,MN,3,112,45,2011-01-03,2013-01-03,ErikPaulsen,2008-11-01,43,2008
ScT-SC01,"Scott, Tim",M,1965-09-19,Republican,SC,1,112,45,2011-01-03,2013-01-03,SenatorTimScott,2010-11-01,45,2010
ScR-IL17,"Schilling, Robert T.",M,1964-01-23,Republican,IL,17,112,46,2011-01-03,2013-01-03,,,,
ClY-NY09,"Clarke, Yvette D.",F,1964-11-21,Democratic,NY,9,112,46,2011-01-03,2013-01-03,RepYvetteClarke,2011-01-01,46,2011
SeT-AL07,"Sewell, Terri A.",F,1965-01-01,Democratic,AL,7,112,46,2011-01-03,2013-01-03,RepTerriSewell,2011-09-01,46,2011
GiC-NY19,"Gibson, Christopher P.",M,1964-05-13,Republican,NY,19,112,46,2011-01-03,2013-01-03,ChrisGibsonNY,2010-03-01,45,2010
GoT-SC04,"Gowdy, Trey",M,1964-08-22,Republican,SC,4,112,46,2011-01-03,2013-01-03,TGowdySC,2011-01-01,46,2011
SuJ-OK01,"Sullivan, John",M,1965-01-01,Republican,OK,1,112,46,2011-01-03,2013-01-03,TEAMSullivan,2009-11-01,44,2009
DeS-TN04,"DesJarlais, Scott",M,1964-02-21,Republican,TN,4,112,46,2011-01-03,2013-01-03,DesJarlaisTN04,2011-01-01,46,2011
GuB-KY02,"Guthrie, Brett",M,1964-02-18,Republican,KY,2,112,46,2011-01-03,2013-01-03,RepGuthrie,2013-01-01,48,2013
LaJ-RI02,"Langevin, James R.",M,1964-04-22,Democratic,RI,2,112,46,2011-01-03,2013-01-03,JimLangevin,2009-01-01,44,2009
WaT-MN01,"Walz, Timothy J.",M,1964-04-06,Democratic,MN,1,112,46,2011-01-03,2013-01-03,RepTimWalz,2013-03-01,48,2013
JoJ-OH04,"Jordan, Jim",M,1964-02-17,Republican,OH,4,112,46,2011-01-03,2013-01-03,Jim_Jordan,2008-01-01,43,2008
ElR-NC02,"Ellmers, Renee L.",F,1964-02-09,Republican,NC,2,112,46,2011-01-03,2013-01-03,RepReneeEllmers,2010-11-01,46,2010
PoM-KS04,"Pompeo, Mike",M,1963-12-30,Republican,KS,4,112,47,2011-01-03,2013-01-03,mikepompeo,2019-08-01,55,2019
GrS-MO06,"Graves, Sam",M,1963-11-07,Republican,MO,6,112,47,2011-01-03,2013-01-03,RepSamGraves,2009-04-01,45,2009
RoM-MI08,"Rogers, Mike J.",M,1963-06-02,Republican,MI,8,112,47,2011-01-03,2013-01-03,RepMikeRogers,2010-06-01,47,2010
BiG-FL12,"Bilirakis, Gus M.",M,1963-02-08,Republican,FL,12,112,47,2011-01-03,2013-01-03,RepGusBilirakis,2009-03-01,46,2009
JeL-KS02,"Jenkins, Lynn",F,1963-06-10,Republican,KS,2,112,47,2011-01-03,2013-01-03,,,,
KiR-WI03,"Kind, Ron",M,1963-03-16,Democratic,WI,3,112,47,2011-01-03,2013-01-03,RepRonKind,2010-02-01,46,2010
ElK-MN05,"Ellison, Keith",M,1963-08-04,Democratic,MN,5,112,47,2011-01-03,2013-01-03,keithellison,2008-03-01,44,2008
FiM-PA08,"Fitzpatrick, Michael G.",M,1963-06-28,Republican,PA,8,112,47,2011-01-03,2013-01-03,RepFitzpatrick,2011-01-01,47,2011
CaE-VA07,"Cantor, Eric",M,1963-06-06,Republican,VA,7,112,47,2011-01-03,2013-01-03,EricCantor,2009-01-01,45,2009
SuB-OH13,"Sutton, Betty",F,1963-07-31,Democratic,OH,13,112,47,2011-01-03,2013-01-03,BettySutton,2010-04-01,46,2010
OlP-TX22,"Olson, Pete",M,1962-12-09,Republican,TX,22,112,48,2011-01-03,2013-01-03,RepPeteOlson,2009-02-01,46,2009
RiL-CA37,"Richardson, Laura",F,1962-04-14,Democratic,CA,37,112,48,2011-01-03,2013-01-03,,,,
PlT-PA19,"Platts, Todd Russell",M,1962-03-05,Republican,PA,19,112,48,2011-01-03,2013-01-03,,,,
BaT-WI02,"Baldwin, Tammy",F,1962-02-11,Democratic,WI,2,112,48,2011-01-03,2013-01-03,SenatorBaldwin,2013-01-01,50,2013
FlJ-AZ06,"Flake, Jeff",M,1962-12-31,Republican,AZ,6,112,48,2011-01-03,2013-01-03,JeffFlake,2008-08-01,45,2008
CrJ-NY14,"Crowley, Joseph",M,1962-03-16,Democratic,NY,14,112,48,2011-01-03,2013-01-03,JoeCrowleyNY,2010-02-01,47,2010
TeL-NE02,"Terry, Lee",M,1962-01-29,Republican,NE,2,112,48,2011-01-03,2013-01-03,LEETERRYNE,2008-12-01,46,2008
SaJ-MD03,"Sarbanes, John P.",M,1962-05-22,Democratic,MD,3,112,48,2011-01-03,2013-01-03,RepSarbanes,2011-08-01,49,2011
TiP-OH12,"Tiberi, Patrick J.",M,1962-10-21,Republican,OH,12,112,48,2011-01-03,2013-01-03,PatTiberi,2012-10-01,49,2012
FlC-TN03,"Fleischmann, Charles J. Chuck",M,1962-10-11,Republican,TN,3,112,48,2011-01-03,2013-01-03,RepChuck,2011-01-01,48,2011
BuL-IN08,"Bucshon, Larry",M,1962-05-31,Republican,IN,8,112,48,2011-01-03,2013-01-03,RepLarryBucshon,2011-01-01,48,2011
ScD-AZ01,"Schweikert, David",M,1962-03-03,Republican,AZ,1,112,48,2011-01-03,2013-01-03,RepDavid,2010-12-01,48,2010
DeS-WA01,"DelBene, Suzan K.",F,1962-02-17,Democratic,WA,1,112,48,2011-01-03,2013-01-03,RepDelBene,2012-12-01,50,2012
CrM-PA12,"Critz, Mark S.",M,1962-01-05,Democratic,PA,12,112,49,2011-01-03,2013-01-03,realMarkCritz,2010-02-01,48,2010
HeJ-NV03,"Heck, Joseph J.",M,1961-10-30,Republican,NV,3,112,49,2011-01-03,2013-01-03,,,,
BoM-CA45,"Bono Mack, Mary",F,1961-10-24,Republican,CA,45,112,49,2011-01-03,2013-01-03,MaryBonoUSA,2009-01-01,47,2009
RoP-IL06,"Roskam, Peter J.",M,1961-09-13,Republican,IL,6,112,49,2011-01-03,2013-01-03,PeterRoskam,2009-02-01,47,2009
RoM-AR04,"Ross, Mike",M,1961-08-02,Democratic,AR,4,112,49,2011-01-03,2013-01-03,MikeRossUpdates,2010-01-01,48,2010
WaJ-IL08,"Walsh, Joe",M,1961-12-27,Republican,IL,8,112,49,2011-01-03,2013-01-03,WalshFreedom,2011-01-01,49,2011
McM-TX10,"McCaul, Michael T.",M,1962-01-14,Republican,TX,10,112,49,2011-01-03,2013-01-03,RepMcCaul,2009-03-01,47,2009
WeA-FL22,"West, Allen B.",M,1961-02-07,Republican,FL,22,112,49,2011-01-03,2013-01-03,AllenWest,2011-01-01,49,2011
FaB-TX27,"Farenthold, Blake",M,1961-12-12,Republican,TX,27,112,49,2011-01-03,2013-01-03,farenthold,2008-12-01,47,2008
DiM-FL26,"Diaz-Balart, Mario",M,1961-09-25,Republican,FL,26,112,49,2011-01-03,2013-01-03,MarioDB,2009-01-01,47,2009
CiD-RI01,"Cicilline, David N.",M,1961-07-15,Democratic,RI,1,112,49,2011-01-03,2013-01-03,davidcicilline,2009-03-01,47,2009
HaV-MO04,"Hartzler, Vicky",F,1960-10-13,Republican,MO,4,112,50,2011-01-03,2013-01-03,RepHartzler,2011-01-01,50,2011
ShB-PA09,"Shuster, Bill",M,1961-01-10,Republican,PA,9,112,50,2011-01-03,2013-01-03,ShusterForPA9,2012-09-01,51,2012
MaJ-UT04,"Matheson, Jim",M,1960-03-21,Democratic,UT,4,112,50,2011-01-03,2013-01-03,RepJimMatheson,2009-06-01,49,2009
ScA-CA30,"Schiff, Adam B.",M,1960-06-22,Democratic,CA,30,112,50,2011-01-03,2013-01-03,RepAdamSchiff,2009-04-01,48,2009
FoJ-NE01,"Fortenberry, Jeff",M,1960-12-27,Republican,NE,1,112,50,2011-01-03,2013-01-03,JeffFortenberry,2009-01-01,48,2009
DeC-PA15,"Dent, Charles W.",M,1960-05-24,Republican,PA,15,112,50,2011-01-03,2013-01-03,RepCharlieDent,2011-01-01,50,2011
RiE-VA02,"Rigell, E. Scott",M,1960-05-28,Republican,VA,2,112,50,2011-01-03,2013-01-03,RepScottRigell,2010-12-01,50,2010
MiJ-FL01,"Miller, Jeff",M,1959-06-27,Republican,FL,1,112,51,2011-01-03,2013-01-03,,,,
BoJ-AL01,"Bonner, Jo",M,1959-11-19,Republican,AL,1,112,51,2011-01-03,2013-01-03,,,,
HaN-NY19,"Hayworth, Nan A. S.",F,1959-12-14,Republican,NY,19,112,51,2011-01-03,2013-01-03,NanHayworth,2011-01-01,51,2011
BeR-ND00,"Berg, Rick",M,1959-08-16,Republican,ND,0,112,51,2011-01-03,2013-01-03,,,,
ChB-KY06,"Chandler, Ben",M,1959-09-12,Democratic,KY,6,112,51,2011-01-03,2013-01-03,,,,
GaS-NJ05,"Garrett, Scott",M,1959-07-09,Republican,NJ,5,112,51,2011-01-03,2013-01-03,RepGarrett,2012-11-01,53,2012
TuM-OH10,"Turner, Michael R.",M,1960-01-11,Republican,OH,10,112,51,2011-01-03,2013-01-03,RepMikeTurner,2009-06-01,49,2009
PiP-PR00,"Pierluisi, Pedro R.",M,1959-04-26,Democratic,PR,0,112,51,2011-01-03,2013-01-03,pedropierluisi,2009-04-01,49,2009
WiR-VA01,"Wittman, Robert J.",M,1959-02-03,Republican,VA,1,112,51,2011-01-03,2013-01-03,RobWittman,2008-07-01,49,2008
SaL-CA46,"Sanchez, Loretta",F,1960-01-07,Democratic,CA,46,112,51,2011-01-03,2013-01-03,LorettaSanchez,2010-01-01,50,2010
LuF-OK03,"Lucas, Frank D.",M,1960-01-06,Republican,OK,3,112,51,2011-01-03,2013-01-03,RepFrankLucas,2011-01-01,51,2011
RoD-FL15,"Ross, Dennis A.",M,1959-10-18,Republican,FL,15,112,51,2011-01-03,2013-01-03,DennisRossSEU,2009-04-01,49,2009
CrC-MN08,"Cravaack, Chip",M,1959-12-29,Republican,MN,8,112,51,2011-01-03,2013-01-03,,,,
ThG-PA15,"Thompson, Glenn",M,1959-07-27,Republican,PA,15,112,51,2011-01-03,2013-01-03,CongressmanGT,2009-01-01,49,2009
CaD-CA18,"Cardoza, Dennis A.",M,1959-03-31,Democratic,CA,18,112,51,2011-01-03,2013-01-03,RepCardoza,2010-01-01,50,2010
HiB-NY26,"Higgins, Brian",M,1959-10-06,Democratic,NY,26,112,51,2011-01-03,2013-01-03,RepBrianHiggins,2009-04-01,49,2009
PeM-IN06,"Pence, Mike",M,1959-06-07,Republican,IN,6,112,51,2011-01-03,2013-01-03,Mike_Pence,2009-02-01,49,2009
McJ-MA02,"McGovern, James P.",M,1959-11-20,Democratic,MA,2,112,51,2011-01-03,2013-01-03,RepMcGovern,2011-01-01,51,2011
CaR-MO03,"Carnahan, Russ",M,1958-07-10,Democratic,MO,3,112,52,2011-01-03,2013-01-03,,,,
BeX-CA34,"Becerra, Xavier",M,1958-01-26,Democratic,CA,34,112,52,2011-01-03,2013-01-03,SecBecerra,2021-03-01,63,2021
IsS-NY03,"Israel, Steve",M,1958-05-30,Democratic,NY,3,112,52,2011-01-03,2013-01-03,RepSteveIsrael,2009-02-01,50,2009
PeG-MI14,"Peters, Gary C.",M,1958-12-01,Democratic,MI,14,112,52,2011-01-03,2013-01-03,SenGaryPeters,2011-01-01,52,2011
DaG-KY04,"Davis, Geoff",M,1958-10-26,Republican,KY,4,112,52,2011-01-03,2013-01-03,RepGeoffDavis,2011-01-01,52,2011
